strategy,pass,fddp_converged,iterations,final_cost,pass_1_iterations,pass_2_iterations,total_fddp_iterations,pass_1_converged,pass_2_converged,rollout_error,terminal_position_error_m,terminal_orientation_error_rad,terminal_ee_linear_velocity_mps,terminal_ee_angular_velocity_radps,maximum_base_tilt_rad,maximum_rotor_occupancy,maximum_joint_torque_occupancy,minimum_rotor_margin_N,minimum_joint_torque_margin_Nm,delta_u_cost,input_saturation,control_bounds_satisfied,terminal_reference_trim_strict,minimum_arm_distance_to_fully_extended_rad,passed_near_fully_extended,pose_source,terminal_base_linear_velocity_norm_mps,terminal_base_angular_velocity_norm_radps,terminal_max_arm_joint_velocity_radps,terminal_full_body_velocity_norm,terminal_rest_pass,terminal_rest_mode,terminal_rest_window_steps
ARM_DOMINANT_SOFT_BASE_HOLD,True,True,3,11.587172586866917,12,3,15,True,True,0.0,0.000580519514123008,0.003025662930448367,0.0010046932909040063,0.00017505346495386067,0.17616800420496184,0.49525758491717875,0.2530939774459325,0.23112018054120373,0.4983807367911264,19.25318742177334,False,True,True,1.0,False,SCENE_FILE,0.0010565111827098067,0.00017077271181011015,5.987458358911943e-05,0.00107364419613277,True,strong-soft terminal rest condition,4
UAV_DOMINANT_SOFT_ARM_HOLD,True,True,3,15.424745490752105,14,3,17,True,True,0.0,0.0004199943327356497,0.004342406967871756,0.0004383064641923206,0.00043985151542819,0.16351485581011452,0.4685403258304277,0.2378077369913696,0.2585874689074405,0.49879444490567987,18.062636256140998,False,True,True,1.0,False,SCENE_FILE,0.0004283239617264092,0.00014037927570428792,0.00021822770779422566,0.0005243174486388742,True,strong-soft terminal rest condition,4
WHOLE_BODY,True,True,3,12.669628749720236,5,3,8,True,True,0.0,0.0003687286503185141,0.0024387258263824556,0.0009069118585566864,0.0001266987892576239,0.17503812441822078,0.48244729542009035,0.2434845032804511,0.1641291132644337,0.49851498805634364,18.137654683090965,False,True,True,1.0,False,SCENE_FILE,0.0009368894462807412,0.00013042190251048033,9.451497255143953e-05,0.0009510738808354557,True,strong-soft terminal rest condition,4
