case_id,Qp_multiplier,Qv_multiplier,Qp_terminal_multiplier,initial_position_error_m,final_position_error_m,maximum_position_error_m,final_attitude_error_rad,final_joint_error_rad,maximum_thrust_N,maximum_body_rate_radps,maximum_joint_velocity_radps,maximum_command_rate,input_bound_ok,input_rate_bound_ok,status_zero_count,cycles,solver_build_count,average_solve_time_s,maximum_solve_time_s,p95_solve_time_s,final_position_error_less_than_initial
0,1,1,3,0.04123105625617661,0.011881412475851073,0.2866321939823996,0.017978021295468806,7.774281246948889e-07,18.534878523600888,0.44129808255190045,0.9335540669934391,39.9779642193217,True,True,350,350,1,0.002425117214391191,0.0038833110011182725,0.0026593095517455367,True
1,1,3,3,0.04123105625617661,0.0149671412509902,0.1527333087997939,0.01649028303477277,7.774283772210386e-07,18.533237521305573,0.7202000977236668,0.9335540667859474,42.627618040890226,True,True,350,350,1,0.0023615408458447615,0.0035277560018585064,0.002606541000204743,True
2,1,10,10,0.04123105625617661,0.004808316429724859,0.06319338396160182,0.016577969536927993,7.77428390009755e-07,18.54414739186585,1.0179838660045644,0.9335540671513802,47.55991459802657,True,True,350,350,1,0.002403547548528877,0.0039903199976834,0.002714422001008643,True
3,3,1,3,0.04123105625617661,0.011292609544461223,0.2831025842889332,0.019549782904826025,7.774281196466713e-07,18.561567043385775,0.44137204138021874,0.9335540669932318,39.954836470579686,True,True,350,350,1,0.0027648669085569315,0.00793925900143222,0.0035331412522282336,True
4,3,3,10,0.04123105625617661,0.0035802727601443297,0.11933027878624063,0.01611159345046789,7.774284145291775e-07,18.844119162960293,0.7518881115310415,0.933554066840373,42.244319442742665,True,True,350,350,1,0.0024242699085984245,0.0039810360030969605,0.002824553450045642,True
5,3,10,10,0.04123105625617661,0.004701408493075862,0.06314880142958329,0.01657807377314634,7.774283853220553e-07,18.54689987041343,1.0180232658008825,0.9335540671513796,47.537703926200024,True,True,350,350,1,0.0023641488628969197,0.0038408879991038702,0.002633263450479717,True
6,10,1,3,0.04123105625617661,0.018228907675328605,0.27199776471792536,0.028550958058155863,7.77428102308725e-07,18.651593546721326,0.44163552323008354,0.9335540669925044,39.87407637021615,True,True,350,350,1,0.0024301005943561903,0.004083176998392446,0.002875863000008394,True
7,10,3,10,0.04123105625617661,0.0033816964523131557,0.1179866492831638,0.01605503701440285,7.774284223609981e-07,18.871622833587157,0.7529243791599791,0.9335540668390454,42.16552542653,True,True,350,350,1,0.002408551659994243,0.003655586999229854,0.002738369901089755,True
8,10,10,10,0.04123105625617661,0.004354703110122105,0.06300241935334414,0.016578454300737178,7.774283951064341e-07,18.556519537297095,1.018161345587236,0.9335540671513327,47.4600831537971,True,True,350,350,1,0.002372974365633646,0.0036541830013447907,0.0027033139997001856,True
