sim_time_s,wall_time_s,state,active_reference_kind,ref_px,ref_py,ref_pz,px,py,pz,vx,vy,vz,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,position_error_m,position_error_to_active_reference_m,position_error_to_final_hold_m,position_error_to_initial_m,takeoff_transition_error_m,speed_mps,yaw_error_rad,max_joint_error_rad,offboard,armed,q_shoulder_pan_joint,qd_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint
10.108,0.15953277300013724,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.006928540766239166,0.015223831869661808,0.019478917121887207,-0.022016908665344878,0.024740977676486742,-0.06160791847727737,0.0014117197133600712,-0.007076378911733627,-0.0001829788961913428,0.0,0.0,0.9764487208572653,0.0,nan,0.02567485046084045,-0.061607918477277375,0.44508301617958246,False,False,-0.44508301617958246,-0.05297653063243364,0.0,nan,-0.10325088709643548,-0.00039266461630279095,0.0,nan,0.17789211685592665,0.007212525359983565,0.0,nan,0.09790492332021827,0.003430881406008616,0.0,nan,0.007292699180698747,-0.08622027895801851,0.0,nan,0.009130202629620499,0.03284004930394284,0.0,nan
10.125,0.19490162400006739,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.017453057691454887,0.008894890546798706,0.023366263136267662,-0.006696220953017473,0.015820277854800224,0.018532617017626762,-0.021981539838995943,0.024636304165147536,-0.061501778198647945,0.0016742369625717402,-0.006335343234241009,-5.949228216195402e-05,0.0003976383054955928,0.0003976383054955928,0.9768301716680535,0.0003976383054955928,nan,0.025270110011172124,-0.061501778198647945,3.3949631089713606e-07,False,False,-0.44508301617958246,-0.05297653063243364,-0.44508267668327156,nan,-0.10325088709643548,-0.00039266461630279095,-0.10325080833967777,nan,0.17789211685592665,0.007212525359983565,0.17789198116502133,nan,0.09790492332021827,0.003430881406008616,0.09790484864120542,nan,0.007292699180698747,-0.08622027895801851,0.007292693618041045,nan,0.009130202629620499,0.03284004930394284,0.009130195665368893,nan
10.14,0.2658753219998289,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.017359038814902306,0.008910837583243847,0.02247510477900505,-0.007485401351004839,0.016358498483896255,0.016623007133603096,-0.021961713267241233,0.0246855498903385,-0.06136468875931629,0.0016742369625717402,-0.006335343234241009,-5.949228216195402e-05,0.0012884123846720627,0.0012884123846720627,0.9777196224029818,0.0012884123846720627,nan,0.024494000738896873,-0.06136468875931629,0.0011091355544424197,False,False,-0.4461899001673757,-0.04966307954151497,-0.4450807646129333,nan,-0.10322498757745446,0.0030363393380761178,-0.1032503647753281,nan,0.17805600800604182,0.008916866065182619,0.177891216943005,nan,0.0979849530986554,0.003705860170345427,0.09790442804304048,nan,0.007185576078074796,-0.7772774083007811,0.007292662288708577,nan,0.009144029465129044,0.048057326259450896,0.009130156442147614,nan
10.143,0.34085436900022614,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.017359038814902306,0.008910837583243847,0.02247510477900505,-0.007485401351004839,0.016358498483896255,0.016623007133603096,-0.021961713267241233,0.0246855498903385,-0.06136468875931629,0.0016775843687355518,-0.004985284060239792,0.00025934330187738,0.0012884123846720627,0.0012884123846720627,0.9777196224029818,0.0012884123846720627,nan,0.024494000738896873,-0.06136468875931629,0.0011098266983288751,False,False,-0.4461899001673757,-0.04966307954151497,-0.4450800734690468,nan,-0.10322498757745446,0.0030363393380761178,-0.10325020444294787,nan,0.17805600800604182,0.008916866065182619,0.1778909407045404,nan,0.0979849530986554,0.003705860170345427,0.09790427601210075,nan,0.007185576078074796,-0.7772774083007811,0.007292650964294319,nan,0.009144029465129044,0.048057326259450896,0.009130142264379647,nan
10.176,0.41402044000005844,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.01719493791460991,0.009040853008627892,0.020935384556651115,-0.008115673437714577,0.018148809671401978,0.014790674671530724,-0.02188628618630212,0.02470025724480627,-0.061127143562874305,0.0021698791533708572,-0.004408228676766157,0.0012415773235261445,0.002841948302646166,0.002841948302646166,0.9792573329448412,0.002841948302646166,nan,0.024779174826362972,-0.061127143562874305,0.003256392933240204,False,False,-0.44831809599919126,-0.05403918500944785,-0.44506170306595105,nan,-0.10331275869838663,0.001249528619879663,-0.10324594285500359,nan,0.17819317602006013,0.007478458843932011,0.1778835983666497,nan,0.09785568172730841,0.0038440657665785583,0.09790023507402612,nan,0.007124782256755502,-0.05882769727802351,0.007292349964663384,nan,0.008004792765480495,0.03708362169676551,0.00912976542343862,nan
10.191,0.4865032180000526,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.01719493791460991,0.009040853008627892,0.020935384556651115,-0.008115673437714577,0.018148809671401978,0.014790674671530724,-0.02188628618630212,0.02470025724480627,-0.061127143562874305,0.0009216560865752399,-0.004541422240436077,0.0018415786325931556,0.002841948302646166,0.002841948302646166,0.9792573329448412,0.002841948302646166,nan,0.024779174826362972,-0.061127143562874305,0.004272380580443658,False,False,-0.44931685967520885,-0.04910519192352947,-0.4450444790947652,nan,-0.10330545902487565,-0.002972682552666012,-0.10324194721769635,nan,0.17831907571571648,0.003949661313870177,0.1778767142381084,nan,0.0979107103754302,0.002126053068830547,0.09789644631661026,nan,0.00714332884491764,-0.06217370577623653,0.007292067749355252,nan,0.007195943715441189,0.043665281954768584,0.009129412099808427,nan
10.199,0.5696116630001598,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.017117956653237343,0.009123665280640125,0.02030950039625168,-0.0076716141775250435,0.01805794984102249,0.013770936988294125,-0.021924642237500774,0.024678119640094726,-0.06104050057414171,0.0009216560865752399,-0.004541422240436077,0.0018415786325931556,0.003477243041574987,0.003477243041574987,0.9798825137341605,0.003477243041574987,nan,0.023970438504233808,-0.06104050057414171,0.004284477906086992,False,False,-0.44931685967520885,-0.04910519192352947,-0.44503238176912185,nan,-0.10330545902487565,-0.002972682552666012,-0.10323914086571534,nan,0.17831907571571648,0.003949661313870177,0.1778718791426571,nan,0.0979107103754302,0.002126053068830547,0.09789378526755552,nan,0.00714332884491764,-0.06217370577623653,0.007291869534295138,nan,0.007195943715441189,0.043665281954768584,0.009129163941531465,nan
10.235,0.6441088159999708,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.016988305374979973,0.009270095266401768,0.019656505435705185,-0.007934409193694592,0.018296992406249046,0.012506084516644478,-0.021844999823569532,0.024607569503906315,-0.06097755052817659,0.0014118911931291223,-0.006015084218233824,-0.00044883758528157993,0.004152562571132774,0.004152562571132774,0.9805344994034098,0.004152562571132774,nan,0.023540113217756096,-0.06097755052817659,0.006279816844619535,False,False,-0.4512270779962293,-0.045835449454399095,-0.44494726115160976,nan,-0.1033785449990896,-0.00420697115668566,-0.10321939448369484,nan,0.17839379523758847,0.00047317108124286453,0.17783785787856285,nan,0.09775262143947305,-0.0014048005395002096,0.09787506128297838,nan,0.00709028276278989,-0.03759856293668455,0.0072904748303072855,nan,0.005821984389495327,0.03930603099619663,0.009127417821240212,nan
10.235,0.7181157750001148,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.016988305374979973,0.009270095266401768,0.019656505435705185,-0.007934409193694592,0.018296992406249046,0.012506084516644478,-0.021844999823569532,0.024607569503906315,-0.06097755052817659,0.0014118911931291223,-0.006015084218233824,-0.00044883758528157993,0.004152562571132774,0.004152562571132774,0.9805344994034098,0.004152562571132774,nan,0.023540113217756096,-0.06097755052817659,0.006279816844619535,False,False,-0.4512270779962293,-0.045835449454399095,-0.44494726115160976,nan,-0.1033785449990896,-0.00420697115668566,-0.10321939448369484,nan,0.17839379523758847,0.00047317108124286453,0.17783785787856285,nan,0.09775262143947305,-0.0014048005395002096,0.09787506128297838,nan,0.00709028276278989,-0.03759856293668455,0.0072904748303072855,nan,0.005821984389495327,0.03930603099619663,0.009127417821240212,nan
10.256,0.7944264060001842,ABORT,INITIAL_HOLD,-0.0175323523581028,0.008819369599223137,0.023748526349663734,-0.016723472625017166,0.009555640630424023,0.018276605755090714,-0.0064575886353850365,0.018617777153849602,0.011681368574500084,-0.021837415534793594,0.02463828186843291,-0.060845550203234865,0.00130211072973907,-0.0056844474747776985,5.3075404139236314e-05,0.005580169929965813,0.005580169929965813,0.9819123217539553,0.005580169929965813,nan,0.022907999670586175,-0.060845550203234865,0.007229988553829225,False,False,-0.4520998840087813,-0.04370073506119435,-0.4448698954549521,nan,-0.1033698664445657,-0.00202781074137336,-0.10320144709743125,nan,0.17847684290234422,0.0025550994391371883,0.17780693612453008,nan,0.0977899031080165,0.0016000906565623424,0.09785804314855505,nan,0.007148576902723747,-0.008230587867020266,0.007289207190940876,nan,0.005252525746308301,0.04311899873330964,0.009125830781381603,nan
