time_s,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_roll_joint,base_vx_body,base_vy_body,base_vz_body,base_wx_body,base_wy_body,base_wz_body,shoulder_lift_joint_velocity,elbow_joint_velocity,wrist_1_joint_velocity,wrist_roll_joint_velocity
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0004557260720002581,-0.0002808211533872694,0.9882995296126883,0.015383029343264038,0.021515245084203948,-0.000676193929475196,0.9996499384279282,-0.14890593533372248,0.04893487012227337,0.0558631001853376,-0.005415002240075496,0.014152460651336707,-0.009207867887600025,-0.2336722985206255,0.6153929838849874,0.8607102395720765,-0.02705091374780933,1.0218812933255508,0.9786974024454672,1.1172620037067518,-0.1083000448015099
0.1,0.0016683642522855135,-0.0009886352704951001,0.9680374116690263,0.029753654998360364,0.046274155363977415,-0.0017900303587498286,0.9984839599867911,-0.10429196194283709,0.09001968224118537,0.10421615935124356,-0.010448182403577838,0.05168995870583006,-0.03229519997714653,-0.40167188774139706,0.5757090445179528,0.9908522740776622,-0.04744307905204392,0.8922794678177078,0.8216962423782398,0.9670611833181191,-0.10066360327004684
0.15000000000000002,0.004846976632208855,-0.002922722790510118,0.9442952265634734,0.03882696823478538,0.06374946995497367,-0.0030719694019144374,0.9972056130117543,-0.06417093011860914,0.1262129060636972,0.14826580245873638,-0.013829116914058838,0.11545093639521217,-0.07041898123423085,-0.4612553947008406,0.36504908981054385,0.699488577690444,-0.05529874066716824,0.8024206364845591,0.7238644764502368,0.8809928621498564,-0.06761869020961998
0.2,0.011117734943576166,-0.006732043450421348,0.9200924129695829,0.043157583820350905,0.07305702165899064,-0.004329955588007794,0.9963841357778198,-0.027420334710940332,0.15871095671362595,0.189051695077022,-0.015712552034758315,0.19053450514133227,-0.11361612540609245,-0.45457773263314855,0.17608368216323877,0.3719415235760859,-0.05369312347642136,0.735011908153376,0.6499610129985747,0.8157178523657123,-0.03766870241398958
0.25,0.02110408240470315,-0.012744950215573814,0.8968358154597266,0.04375647913191119,0.07556989280850794,-0.005428389521696059,0.9961651943438348,0.006584386765600143,0.18808735912004637,0.2269851084825473,-0.016416027835007847,0.2669751673746515,-0.1565054301649892,-0.41824825680849603,0.027021894180659506,0.09899883453553754,-0.046404304990347506,0.6800944295308093,0.5875280481284086,0.7586682681105059,-0.014069516004990658
0.30000000000000004,0.0349714854942413,-0.021023307946509716,0.8749846514831081,0.04162082114190375,0.0729941422212306,-0.0062929580203877665,0.9964436567755419,0.03823711815276093,0.21468803586523127,0.2622845898753946,-0.016262707621549653,0.34005736894989896,-0.1967484151972414,-0.3754677066540022,-0.08241357174860382,-0.10545381596473513,-0.036337157300199416,0.6330546277432156,0.5320135349036981,0.705989627856946,0.003066404269163856
0.35000000000000003,0.05256945199211441,-0.031451737985867756,0.8545426102287967,0.03762102327946626,0.06686804423039037,-0.006898070758384802,0.9970284549038811,0.0678067772031984,0.23875987000375617,0.29510659136157613,-0.01553449511735996,0.40728565635074643,-0.2332344991216372,-0.3380135509081118,-0.1570891009319601,-0.24789640762963291,-0.025450999042488234,0.5913931810087493,0.48143668277049795,0.6564400297236302,0.014564250083793882
0.4,0.07355677932523211,-0.043811330033571134,0.8353549754445001,0.03246410670148254,0.058452825826163325,-0.007249783948797109,0.9977358315514716,0.09549174936702283,0.2605021176928649,0.32558894154314416,-0.014455737122199674,0.4669762904346899,-0.26528323439865115,-0.31004454146042326,-0.2034688307191663,-0.33945825368482613,-0.01496153737599338,0.5536994432764886,0.43484495378217425,0.6096470036313603,0.021575159903205698
0.45,0.09748758445941486,-0.05782904616067974,0.8172614810074066,0.026696547458920424,0.04873719324852736,-0.007372400651229909,0.9984275777725028,0.12144882763779687,0.2800888885734006,0.3538654342758729,-0.013193848246273085,0.5179011860492442,-0.29242170884377044,-0.2913904228071957,-0.22797902574798176,-0.39120289441118106,-0.005561913598936225,0.5191415654154808,0.3917354176107131,0.565529854654575,0.02523777751853179
0.5,0.12386497368493045,-0.07320799083249532,0.8001574466614443,0.02072505145898622,0.03847333132655274,-0.007299498721407884,0.9990180140203058,0.14580902108843488,0.2976794080385817,0.38006998876616116,-0.011867579677107075,0.5592839664689556,-0.31436904054616904,-0.27987009959738524,-0.23623567089424485,-0.4127528058324838,0.002404694741303332,0.48720386901276036,0.35181038930362324,0.5240910898057655,0.026525371383320194
