time_s,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,position_error,orientation_error
0.0,0.12112216647170818,-0.0038521757723641798,0.8350956448921654,0.6339053888772125,-0.0005047960390691492,0.7734101911767679,0.0006158874120459006,0.0,0.0,0.0,0.0,0.0,0.0,0.8073088096828895,1.768407866163549
0.05,0.11233995565519611,-0.00022306927158685652,0.7968995613968053,0.7074414933911475,-0.012658338307540961,0.7066450870445313,-0.00436129059128824,-0.22566310214061588,0.09160077970715534,-0.7578091011225985,0.5196254621191546,3.9760688460390097,-0.09512947079315598,0.788794891640664,1.569849393510386
0.1,0.0992588160596215,0.004094348778079843,0.753682364922526,0.7690876622154724,-0.022340537065328916,0.6386568919285026,-0.011065379514359423,-0.30962365966024774,0.10478545135940491,-0.850806420670338,0.501445325713884,3.669763582393249,0.005688811384758019,0.7718728524309921,1.3867676843508088
0.15000000000000002,0.08860977161542063,0.005955313345672529,0.7117172243674873,0.8161970493916159,-0.027875798349693247,0.5768786299880321,-0.016011330173305863,-0.246731904252671,0.0485307126200299,-0.8282402392672463,0.34077397751242977,3.104337654754044,0.051601157704678345,0.7551898704022324,1.2319966446982142
0.2,0.08335405423278586,0.004352081858622731,0.6730811906803995,0.8515266493190119,-0.030291544600423177,0.5230973506367277,-0.01881354783377035,-0.12566229367384538,-0.026791667979043463,-0.7652982577702987,0.19442763140882752,2.5706042891804164,0.07085152108418927,0.7369500944807292,1.1038123163957645
0.25,0.08448050729620214,-0.0009651346709048216,0.6381491727056229,0.8781188803735025,-0.030573736575151302,0.4770608758811735,-0.01963158849679187,0.011474047935700726,-0.1052327320613037,-0.6931561911326478,0.07616704706860672,2.1243770516040734,0.07616146468545656,0.7157513693703607,0.9977603661386082
0.30000000000000004,0.09193962343992163,-0.009813001804067745,0.6066205140942489,0.8983862997954571,-0.029486541282772075,0.437811525469545,-0.018806073195551158,0.1443092834294767,-0.17839736861869437,-0.6252604809776331,-0.01380733923380642,1.7661222497468116,0.07430723221091552,0.690863441685965,0.9094297206789039
0.35000000000000003,0.10516133643837045,-0.02177712907322114,0.5779937534083769,0.9140875653182864,-0.02758696693113615,0.4042313361980584,-0.016730481808973654,0.26336823063456205,-0.24211047750149514,-0.5663436733621514,-0.07833805583945606,1.4832734794151479,0.06905093363691114,0.6621486959068976,0.8350883936424417
0.4,0.12334369040036809,-0.036347108255557314,0.5517821111128509,0.9264723796584429,-0.025262415449516858,0.37526098434520566,-0.01378164445722541,0.36480892929506636,-0.2948460078935819,-0.516816162979794,-0.12151677514676998,1.261748980656923,0.062490568185224055,0.6298825833364665,0.7717345045766564
0.45,0.1456093148342233,-0.0529946208121376,0.5275983062294263,0.936424484279486,-0.022771808301522235,0.349978291505198,-0.010287150415934136,0.44767851963788,-0.3365335736506415,-0.4751628880154142,-0.14761977340819926,1.0889851960718981,0.055749739000743426,0.5945897982788945,0.7169982766615766
0.5,0.1710868830921936,-0.07121315214089009,0.5051718930920391,0.9445711228000865,-0.02028177144022867,0.32761500733074067,-0.006515419488348911,0.5124608556484337,-0.36780247802527843,-0.43929460663934433,-0.1605315164712241,0.9545495479339487,0.04938074622538824,0.5569239004590487,0.6690210377061283
