strategy,pass,fddp_converged,iterations,final_cost,pass_1_iterations,pass_2_iterations,total_fddp_iterations,pass_1_converged,pass_2_converged,rollout_error,terminal_position_error_m,terminal_orientation_error_rad,terminal_ee_linear_velocity_mps,terminal_ee_angular_velocity_radps,maximum_base_tilt_rad,maximum_rotor_occupancy,maximum_joint_torque_occupancy,minimum_rotor_margin_N,minimum_joint_torque_margin_Nm,delta_u_cost,input_saturation,control_bounds_satisfied,terminal_reference_trim_strict,minimum_arm_distance_to_fully_extended_rad,passed_near_fully_extended,left_knuckle_max_abs_torque_Nm,left_knuckle_static_margin_Nm,pose_source,terminal_base_linear_velocity_norm_mps,terminal_base_angular_velocity_norm_radps,terminal_max_arm_joint_velocity_radps,terminal_full_body_velocity_norm,terminal_rest_pass,terminal_rest_mode,terminal_rest_window_steps
ARM_DOMINANT_SOFT_BASE_HOLD,True,True,3,11.541896715310122,17,3,20,True,True,0.0,0.0005426695955715825,0.002605652090768129,0.001002873671927823,0.00015836931703019984,0.17552102568214378,0.4957822958823571,0.2528016515288981,0.21559107033669028,0.19980767103920993,18.869776559414134,False,True,True,1.0,False,0.0001923289607900781,0.19984637956497772,SCENE_FILE,0.001050727074088974,0.00015268885334203148,6.186924469222827e-05,0.0010655715632428113,True,strong-soft terminal rest condition,4
UAV_DOMINANT_SOFT_ARM_HOLD,True,True,3,15.417508533186615,14,3,17,True,True,0.0,0.00041977712583476234,0.004340638006278933,0.00043759033787087745,0.0004398003787443018,0.16349240091008316,0.4688684798228081,0.23784800135762113,0.2479893659705705,0.19982118199211787,18.005250038618563,False,True,True,1.0,False,0.00017881800788212529,0.19984637956497772,SCENE_FILE,0.00042787290771042124,0.000140195845203214,0.00021823450007429565,0.0005239665889296856,True,strong-soft terminal rest condition,4
WHOLE_BODY,True,True,3,12.649844661047506,14,3,17,True,True,0.0,0.0003672875217501023,0.002416610757866422,0.000908623250045135,0.00012571823694069927,0.17484919986718825,0.4828791569382747,0.24330961495547732,0.13866841063964203,0.19981872045756616,17.985757829641873,False,True,True,1.0,False,0.00018127954243386072,0.19984637956497772,SCENE_FILE,0.0009388222635804976,0.00012938389782390756,9.461535642861117e-05,0.0009529599203742274,True,strong-soft terminal rest condition,4
