time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_pan_joint_torque_Nm,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm,left_knuckle_joint_torque_Nm
0.0,0.27794724220697875,4.164409982394493,1.237726725034698,3.1526001664356333,-0.013445760185063015,0.1695207662008713,0.1086762738297601,0.05941784114217601,0.0010615262797763632,4.8102946195482135e-05
0.05,2.7944914578599085,3.157154680254837,2.6912437164939647,3.159016028139926,-0.012495351584251083,-0.16653306574445662,-0.10783938506137522,-0.047400788420834096,-0.00043748921022276405,8.881654198717725e-05
0.1,4.489893156582008,3.1170872864949977,4.0632704497253345,3.48614374131646,0.005122003275620826,-0.2327220614728372,-0.14109850622839207,-0.06281705939786245,-0.0011012728740260708,4.497929847026891e-05
0.15000000000000002,5.037626155130418,3.50120018259116,4.670823166712553,3.882398413626982,0.007863057792071474,-0.2514992102653047,-0.1500159768139849,-0.06602977646763221,-0.0012441237894757968,4.1896318808189185e-05
0.2,5.096971979164742,3.8230722984549663,4.8332678146614425,4.153382557490614,0.006861190854871314,-0.24745136995399028,-0.1467723020261702,-0.06313682771566559,-0.0012051246844601289,5.489483291134203e-05
0.25,4.956373445383261,4.033666057997733,4.785933989853569,4.298370830726721,0.004822159929387726,-0.23351227676548678,-0.1380105591224655,-0.05748297357299752,-0.0010912448978095239,7.304988399153645e-05
0.30000000000000004,4.76015824497598,4.165314024631007,4.662473540364606,4.364815698273371,0.0027499560321446698,-0.2164943426226104,-0.12740254212112473,-0.05092904968031806,-0.0009538157948027554,9.134366454346198e-05
0.35000000000000003,4.576738880643168,4.253055827895748,4.530530023601045,4.394470134441454,0.0010580891497259431,-0.19972719680889794,-0.11682666116228213,-0.04442986839001064,-0.0008191230235006156,0.00010769362084104299
0.4,4.4320571529263635,4.3197380828706615,4.419114490380186,4.41259537076097,-0.000153855965839606,-0.1846070244847404,-0.1071166660236596,-0.038410754517923376,-0.0006984543103148597,0.00012152647936922837
0.45,4.329782102610359,4.37671190649216,4.336210409839001,4.4306898369538095,-0.0009360537023038636,-0.171507730254336,-0.09853083317141545,-0.03300857254674604,-0.0005947411631861196,0.00013292930358347997
0.5,4.263537529337487,4.427696600482966,4.279581287714836,4.451648713699135,-0.00138614830358324,-0.160323914393697,-0.09104747226206729,-0.0282229825503744,-0.0005070763429794509,0.0001421914632577964
0.55,4.223799985202803,4.472396012363201,4.243054984046652,4.474063950078594,-0.00159931352091318,-0.15077696708559862,-0.08453790596879909,-0.024002452550293964,-0.00043330273850581167,0.00014960866260192355
0.6000000000000001,4.201377048804081,4.509064037629225,4.219886308411373,4.495073079983215,-0.0016513484425753305,-0.14256865673812125,-0.07885517011909284,-0.020285948686714246,-0.00037121507738472833,0.00015542989957995678
0.65,4.188851972582298,4.536028123928083,4.204324333026198,4.51196482709827,-0.0015975077577466742,-0.13544369188799435,-0.07387055394449749,-0.017018386243659835,-0.0003189599298781651,0.00015986319934015929
0.7000000000000001,4.180923451121479,4.552411661958647,4.192147050201848,4.522907690904151,-0.0014766382189172374,-0.1292041879793141,-0.0694822422164622,-0.014153149561903512,-0.00027506297785044636,0.00016309446971850936
0.75,4.17421316062817,4.55832400169768,4.180652418565456,4.5271304582447955,-0.0013158528948159522,-0.12370300074611448,-0.06561185016501397,-0.011649871262757874,-0.0002383326048441206,0.0001653011771212899
0.8,4.166867439949353,4.554744463540894,4.168402094862036,4.524801768240486,-0.0011341925832337345,-0.11883077349846204,-0.062197611697624965,-0.00947160805805026,-0.00020775642594038625,0.00016665725232084967
0.8500000000000001,4.158124507622925,4.543266558825979,4.154887018849671,4.516777129292627,-0.0009451315200136258,-0.1145035981399928,-0.05918820365948363,-0.007582966989864523,-0.00018242999772296483,0.000167331522341857
0.9,4.147927944756831,4.525811868728457,4.140204433564013,4.5043187797677176,-0.0007582200900470498,-0.11065366106255185,-0.056538450371638536,-0.0059493877956855535,-0.00016152002730274832,0.00016748314879831626
