strategy,pass,fddp_converged,iterations,rollout_error,terminal_position_error_m,terminal_orientation_error_rad,terminal_ee_linear_velocity_mps,terminal_ee_angular_velocity_radps,maximum_base_tilt_rad,maximum_rotor_occupancy,maximum_joint_torque_occupancy,minimum_rotor_margin_N,minimum_joint_torque_margin_Nm,delta_u_cost,input_saturation,terminal_reference_trim_strict,minimum_arm_distance_to_fully_extended_rad,passed_near_fully_extended,left_knuckle_max_abs_torque_Nm,left_knuckle_static_margin_Nm,pose_source
ARM_DOMINANT_SOFT_BASE_HOLD,True,True,9,0.0,0.00027359595537656043,0.0010533652258723528,0.0028459512407596086,0.0009287519777720893,0.16931306137999738,0.4927571054490672,0.2514992102653047,0.27794724220697875,0.19981552597281504,16.27599789331034,False,True,1.0,False,0.00018447402718496506,0.19984637956497772,SCENE_FILE
UAV_DOMINANT_SOFT_ARM_HOLD,True,True,8,0.0,0.00024716571366671555,0.0022872352482213674,0.0031304687178786202,0.0010686498765134372,0.15350864242668558,0.4630348676610315,0.23509267370329479,0.36420900500519715,0.1998277232213068,14.39531552988971,False,True,1.0,False,0.0001722767786932131,0.19984637956497772,SCENE_FILE
WHOLE_BODY,True,True,8,0.0,0.00019151621487591982,0.0010809324007665432,0.0019460720701383388,0.0007256443319961305,0.1670032124441167,0.47858177382833045,0.24135649536359147,0.22749129096109363,0.19982508026992568,15.643796720512684,False,True,1.0,False,0.00017491973007434324,0.19984637956497772,SCENE_FILE
