strategy,pass,fddp_converged,iterations,final_cost,rollout_error,terminal_position_error_m,terminal_orientation_error_rad,terminal_ee_linear_velocity_mps,terminal_ee_angular_velocity_radps,maximum_base_tilt_rad,maximum_rotor_occupancy,maximum_joint_torque_occupancy,minimum_rotor_margin_N,minimum_joint_torque_margin_Nm,delta_u_cost,input_saturation,control_bounds_satisfied,terminal_reference_trim_strict,minimum_arm_distance_to_fully_extended_rad,passed_near_fully_extended,left_knuckle_max_abs_torque_Nm,left_knuckle_static_margin_Nm,pose_source,terminal_base_linear_velocity_norm_mps,terminal_base_angular_velocity_norm_radps,terminal_max_arm_joint_velocity_radps,terminal_full_body_velocity_norm,terminal_rest_pass,terminal_rest_mode,terminal_rest_window_steps
ARM_DOMINANT_SOFT_BASE_HOLD,True,True,21,11.441081718159419,0.0,0.0005157332550013246,0.002954376149307757,0.0009687772847790013,0.00017810131876353183,0.17473324003478713,0.4947773879928827,0.2526460288667112,0.23187684966234406,0.19980702567401035,18.85958057899058,False,True,True,1.0,False,0.0001929743259896506,0.19984637956497772,MANUAL_UNVALIDATED,0.00102265999242471,0.0001740753743387978,6.0091848555074396e-05,0.001041451527732468,True,strong-soft terminal rest condition,4
UAV_DOMINANT_SOFT_ARM_HOLD,True,True,16,15.362390776716653,0.0,0.00042399988443670176,0.004737780364228407,0.00044798041427980865,0.0004508211156540284,0.16357660819238826,0.4683174059376133,0.2381091385636826,0.24926932916384476,0.19981513416322008,18.088122910280788,False,True,True,1.0,False,0.00018486583677992504,0.19984637956497772,MANUAL_UNVALIDATED,0.000484790941893647,0.00018575765937735,0.00018557838720371922,0.000605662279683235,True,strong-soft terminal rest condition,4
WHOLE_BODY,True,True,17,12.593019396810366,0.0,0.0003770433498218584,0.0030494887821654122,0.0008388367447736378,0.00016155481676021787,0.17452291551189328,0.4821242109155828,0.24342372951283858,0.14823653893711783,0.19981678630216673,18.08059448968181,False,True,True,1.0,False,0.00018321369783327136,0.19984637956497772,MANUAL_UNVALIDATED,0.0008786092438768552,0.00016274677091406665,7.964431606868275e-05,0.0009009794167577623,True,strong-soft terminal rest condition,4
