time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm
0.0,0.2585874689074405,3.695494551964783,0.974489507645984,2.5238694501085766,0.09065889235651872,0.0558752213916164,0.03208144465443523,0.0012055550943201518
0.05,2.709365731590753,2.8440941937582274,2.4881038156031985,2.730106296836351,-0.14893245567752803,-0.09173117737464057,-0.04095849549885771,-0.0004937586586201571
0.1,4.178384649271623,3.062074883110246,3.813610154620165,3.2873114180706744,-0.21229410632550125,-0.1256628017760906,-0.056901740802559816,-0.0009742127129857981
0.15000000000000002,4.6944180941171165,3.5300355225238267,4.422760225496278,3.808439639453836,-0.23372825747937795,-0.13782077739026255,-0.062055481742920256,-0.0010863695133490688
0.2,4.846478894890848,3.8522612578101296,4.663895317153832,4.132065262801016,-0.2378077369913696,-0.14058997844047302,-0.06269981072356792,-0.0010954488337292809
0.25,4.831922776406135,4.041117162547918,4.72229260977301,4.297960614768906,-0.23402158427410352,-0.1389190463388497,-0.06125697939948655,-0.0010539938478074512
0.30000000000000004,4.748988670307821,4.149235774581555,4.696023781196153,4.371769214840531,-0.22701118558364355,-0.13533745992682514,-0.058928852404874936,-0.000989888499690682
0.35000000000000003,4.6503897944030035,4.216682801557017,4.639061700824893,4.401528786876163,-0.21917928968879843,-0.13119774898139455,-0.05634548473929925,-0.0009199642184900249
0.4,4.561954440400686,4.267311656499912,4.579479023352377,4.415362747855069,-0.2116779063667205,-0.12716562380519633,-0.05381208913457528,-0.0008530534325272807
0.45,4.493441128891681,4.3128794029287825,4.529600579606024,4.427056921458338,-0.2049384091745836,-0.12349914456290059,-0.051444885318669774,-0.000792856565542254
0.5,4.445700851255447,4.3574885892425215,4.492675341946283,4.441556258193152,-0.19900397565388023,-0.12023185475791245,-0.04925827164446313,-0.0007402118201095507
0.55,4.415302926535326,4.40103493403162,4.467287944524687,4.459012679277177,-0.193738158051602,-0.11729121946509213,-0.04722009112116632,-0.0006945832391033021
0.6000000000000001,4.397334655390231,4.441583739543692,4.450124446913201,4.477461010047002,-0.1889477284945194,-0.11457002196400459,-0.04528407082653023,-0.0006549159762514393
0.65,4.386951281616302,4.476857601317959,4.437573469323817,4.494443238389663,-0.18444769777152126,-0.11196493254781385,-0.04340662457444546,-0.0006200691414958996
0.7000000000000001,4.380118785830823,4.505055544357557,4.426546083336004,4.507887247877578,-0.18008960794513598,-0.10939366804013571,-0.041553732528834056,-0.0005889990720657578
0.75,4.373865238597606,4.525204981417356,4.414800779561555,4.516486962514886,-0.17576827183272037,-0.1067992987366817,-0.039702106003821,-0.0005608106564078644
0.8,4.366254554841886,4.537213597214063,4.40097627638067,4.5197718187970946,-0.17141723425368674,-0.10414768479065699,-0.037837500399822,-0.0005347479879197473
0.8500000000000001,4.356222069325457,4.5417507530489925,4.384470118660859,4.518002886014965,-0.16699948537508433,-0.10142194489376413,-0.03595197068674397,-0.0005101634198097794
0.9,4.343359393151611,4.540052329165345,4.365253180790337,4.511991301507839,-0.1624972647965374,-0.0986163035387243,-0.03404108527667377,-0.0004864840874166725
0.9500000000000001,4.327700324302618,4.533711633426313,4.34367559623052,4.502901248743126,-0.15790295882518116,-0.09573056700710408,-0.0321015867332283,-0.00046318361121241167
1.0,4.309535198842813,4.524493317705161,4.320294909313217,4.492073679214687,-0.15321190600673334,-0.09276575127362097,-0.03012965653975304,-0.0004397608314258953
1.05,4.289264512842249,4.514187404155263,4.295739849874616,4.480887505828632,-0.14841720644354753,-0.08972093542520437,-0.02811975235357924,-0.00041572476726872964
1.1,4.267291571295191,4.504506073137443,4.270611210865321,4.470661082029274,-0.14350623365458262,-0.08659116191298684,-0.026063894688293548,-0.00039058406970428496
1.1500000000000001,4.24394671738339,4.49701589258215,4.245413463103562,4.462587311919177,-0.13845836582742369,-0.08336608703453134,-0.023951251880529142,-0.0003638391978796067
1.2000000000000002,4.219431266110041,4.4930915326696335,4.220505923958562,4.457689546956083,-0.13324341502498066,-0.08002905801028433,-0.02176788541045202,-0.00033497598757517577
1.25,4.193767001946017,4.493872455809093,4.196059869122325,4.456781338585937,-0.12782030653802454,-0.07655633580919499,-0.019496562711259994,-0.00030346011121664047
1.3,4.166737142815519,4.50020012364332,4.1720080181968235,4.460409798564735,-0.12213577277251078,-0.07291630759872982,-0.01711662997841935,-0.0002687333891609686
1.35,4.137808913739644,4.512507492421013,4.147977135267079,4.46875756221303,-0.11612333403790402,-0.0690688241874433,-0.014604110605135875,-0.00023021583320459948
1.4000000000000001,4.106043263130286,4.530618981948808,4.123209705579905,4.481466671260648,-0.10970417350393301,-0.06496554699038033,-0.011932614181427628,-0.0001873243125839884
1.4500000000000002,4.07004674835702,4.553379399060925,4.096527804125819,4.4973129820840025,-0.10279536674562559,-0.0605543243715353,-0.009076809188701294,-0.00013953908718892578
1.5,4.028179946648515,4.577904585403258,4.066534974743887,4.513554062548621,-0.09534264794783902,-0.05579707834060906,-0.006023715866876769,-8.661926228817697e-05
1.55,3.9797629758365733,4.597831248815522,4.032673059066751,4.524463225673107,-0.08743136971154394,-0.05073075474156623,-0.0028079030136764836,-2.934334187625123e-05
1.6,3.929826318015352,4.598513121813087,3.9989224121406557,4.517727582885632,-0.07964368886656155,-0.045663830013507975,0.00037956102528928655,2.763705166907327e-05
1.6500000000000001,3.9065266879185034,4.541894497084343,3.984735907367865,4.4655993005327295,-0.07418961961044454,-0.04179889908606726,0.0028531630543591983,6.342279851384334e-05
1.7000000000000002,4.026117146837839,4.313258072940965,4.051523833943802,4.306818731681567,-0.07852340373272655,-0.043226545829029274,0.002368806874500358,-1.8286758515978035e-05
1.75,4.748457374299799,3.515266267200801,4.3335506378311415,3.9404540929746896,-0.17565839000122727,-0.09905814764529348,-0.02633030985203013,-0.0009219115438243059
1.8,4.0117194211234715,4.346924666216042,4.003246682920381,4.368543666804496,-0.07436388196070351,-0.040205092615993726,0.004075056714913964,-2.994126144172073e-05
1.85,4.006162575840022,4.410802759373569,3.9999087096064607,4.418006400189821,-0.07027526841253144,-0.037800664871002955,0.005513677261531254,-1.3177538024088497e-06
1.9000000000000001,4.005549163000408,4.415335786862886,3.999636554546297,4.421672182526001,-0.06957450626744568,-0.037358318607872046,0.005771578567908411,2.8099431135675095e-06
1.9500000000000002,4.01614321338949,4.403641709490366,4.0068271740258306,4.4154133262503725,-0.07131596981644166,-0.03835416928660464,0.0052707938497816,-9.022623046867904e-06
