sim_time_s,wall_time_s,state,active_position_reference_kind,active_joint_reference_kind,px,py,pz,ref_px,ref_py,ref_pz,hold_ref_px,hold_ref_py,hold_ref_pz,position_error_m,position_error_to_active_reference_m,position_error_to_final_hold_m,position_error_to_initial_m,vx,vy,vz,speed_mps,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,yaw_error_rad,max_joint_error_rad,max_joint_error_to_active_reference_deg,max_joint_error_to_neutral_deg,offboard,armed,mavros_state_age_sim_s,mavros_state_age_wall_s,mavros_state_receive_count,q_shoulder_pan_joint,qd_shoulder_pan_joint,qref_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qref_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qref_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qref_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qref_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qref_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint
2.518,2.9546813030010526,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0,0.0,0.999998698057946,0.0,0.000699344149325043,-0.00025073421420529485,0.0006163965445011854,0.0009653468731193552,0.0,0.0,0.0,-0.0022806101478636265,0.005220137536525726,0.001588293933309614,0.0,0.0,0.0,4.669228272018914,False,False,0.0,0.0,1,-0.08149340687393547,-0.04535605435495224,-0.08149340687393547,-0.08149340687393547,nan,0.019240659882217237,0.006563472059783456,0.019240659882217237,0.019240659882217237,nan,0.0397466034037226,0.01604912985440516,0.0397466034037226,0.0397466034037226,nan,0.019267787444702478,0.009374885739746236,0.019267787444702478,0.019267787444702478,nan,0.030684983228701057,-0.9697075492212051,0.030684983228701057,0.030684983228701057,nan,0.002393804343054029,0.11077709051095323,0.002393804343054029,0.002393804343054029,nan
2.545,2.99633988000096,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,1.043433712766273e-05,-8.740711564314552e-06,-0.00021566596115007997,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0002172020986620622,0.0002172020986620622,1.0002156660537678,0.0002172020986620622,-0.00018115885904990137,-0.0005017132498323917,0.00306874536909163,0.0031147604815765476,-0.018975385841770945,0.021426677840716234,-0.04383372476027951,0.0014862193493172526,0.0064744772389531136,0.001180412480607628,-0.04383372476027951,0.0,0.0,4.785725573278874,False,False,0.027000000000000135,0.05508707599983609,1,-0.08352666835060951,-0.054745350018707374,-0.08352666835060951,-0.08352666835060951,nan,0.019084498008454354,-0.0020244980022117746,0.019084498008454354,0.019084498008454354,nan,0.039987884216538205,0.00953989526826465,0.039987884216538205,0.039987884216538205,nan,0.019239411086449998,0.005161161133936059,0.019239411086449998,0.019239411086449998,nan,0.030831110496914782,0.1382257412957213,0.030831110496914782,0.030831110496914782,nan,0.002237141079818983,0.10638762883905803,0.002237141079818983,0.002237141079818983,nan
2.583,3.0698535120009183,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-1.213564786439747e-07,-2.401300116616767e-05,-0.0008066587615758181,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0008083277801991493,0.0008083277801991493,1.000806659049663,0.0008083277801991493,-0.00046812620712444186,-0.00027038410189561546,0.01011673640459776,0.010131169981224685,-0.018896035875217335,0.02174830200564755,-0.042983644889383735,0.0016385449562221766,0.00743133295327425,0.001687508891336619,-0.042983644889383735,0.0,0.0,4.844140833618688,False,False,0.06500000000000039,0.13135797699942486,1,-0.08454620697694892,-0.043119021614913974,-0.08454620697694892,-0.08454620697694892,nan,0.018998050607319072,-0.00850653675521459,0.018998050607319072,0.018998050607319072,nan,0.040099004486611634,0.002956337561225819,0.040099004486611634,0.040099004486611634,nan,0.019214694346668892,-0.0025596396056464183,0.019214694346668892,0.019214694346668892,nan,0.030976473335427634,0.15565777286176802,0.030976473335427634,0.030976473335427634,nan,0.002054817205510595,0.11472634588593965,0.002054817205510595,0.002054817205510595,nan
2.617,3.146396021000328,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-3.892333552357741e-05,-6.551421392941847e-05,-0.001193489064462483,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0011973821661070594,0.0011973821661070594,1.0011934919645704,0.0011973821661070594,-0.0015556503785774112,-0.0013184540439397097,0.01890541799366474,0.019015078192885025,-0.018918803181843916,0.021975307432698106,-0.04311781125914181,0.0003676306805573404,0.0056649502366781235,0.001471222261898219,-0.04311781125914181,0.0,0.0,4.959161891786936,False,False,0.0990000000000002,0.20498464099910052,1,-0.08655370315111277,-0.04440023538069493,-0.08655370315111277,-0.08655370315111277,nan,0.01887011256078086,-0.007610090748268886,0.01887011256078086,0.01887011256078086,nan,0.04035589566068598,0.0026642444679433695,0.04035589566068598,0.04035589566068598,nan,0.019183223061662424,-0.004692040428726857,0.019183223061662424,0.019183223061662424,nan,0.03089238805911787,0.1216811293934171,0.03089238805911787,0.03089238805911787,nan,0.001680037074991425,0.10673137268326995,0.001680037074991425,0.001680037074991425,nan
2.659,3.227013102001365,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-6.811485945945606e-05,-0.00014918381930328906,7.3318908107467e-05,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.00018092226967663104,0.00018092226967663104,0.9999266945406016,0.00018092226967663104,0.0005345403333194554,-0.0014261611504480243,0.027716146782040596,0.02775796212690355,-0.01904811506208031,0.022253120358594364,-0.04318959763378928,-0.0017921171383932233,0.005368112586438656,0.0013328333152458065,-0.04318959763378928,0.0,0.0,5.0761261459275016,False,False,0.14100000000000001,0.2838926559998072,1,-0.08859511449300506,-0.05371035907970578,-0.08859511449300506,-0.08859511449300506,nan,0.018719536971689266,0.007049942923081957,0.018719536971689266,0.018719536971689266,nan,0.04059944074793087,0.016970653419969665,0.04059944074793087,0.04059944074793087,nan,0.019156243765579895,0.01101850155807213,0.019156243765579895,0.019156243765579895,nan,0.029991833484322328,-1.0166159204876903,0.029991833484322328,0.029991833484322328,nan,0.0013337618068725021,0.10668528761058257,0.0013337618068725021,0.0013337618068725021,nan
2.69,3.3025874140002998,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-6.260169902816415e-05,-0.00019781917217187583,-0.0014906442956998944,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.001506495811021633,0.001506495811021633,1.001490665789359,0.001506495811021633,0.00025265401927754283,-0.0015538012376055121,0.031586259603500366,0.03162546328639568,-0.019016533181637953,0.022409946884095682,-0.043144896587043735,0.0013223326532170177,0.00450002308934927,0.002075391355901956,-0.04314489658704374,0.0,0.0,5.19135312967988,False,False,0.17200000000000015,0.36130622899872833,1,-0.09060620474662606,-0.05045162305183787,-0.09060620474662606,-0.09060620474662606,nan,0.01862659851043791,-0.0007281185916330241,0.01862659851043791,0.01862659851043791,nan,0.04090186097737725,0.009461041385041377,0.04090186097737725,0.04090186097737725,nan,0.019188496038719194,0.003419489745041698,0.019188496038719194,0.019188496038719194,nan,0.028204281986561774,-1.0227524265194168,0.028204281986561774,0.028204281986561774,nan,0.0011586035924038285,0.11794511662464896,0.0011586035924038285,0.0011586035924038285,nan
2.727,3.3761683360007737,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-5.6328972277697176e-05,-0.0002906278532464057,-4.6185479732230306e-05,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0003006067188212177,0.0003006067188212177,1.0000462292964587,0.0003006067188212177,0.0011313692666590214,-0.0011945512378588319,0.040371399372816086,0.040404911043050516,-0.018958228104606775,0.02265581405037731,-0.042894750166489276,0.001940854941494763,0.0049456036649644375,0.002436656970530748,-0.042894750166489276,0.0,0.0,5.302582032877528,False,False,0.20900000000000007,0.43881063899971195,1,-0.09254751533080707,-0.045631824094004056,-0.09254751533080707,-0.09254751533080707,nan,0.018589417906379246,-0.0009214627336635705,0.018589417906379246,0.018589417906379246,nan,0.041251669761165566,0.009699724429436847,0.041251669761165566,0.041251669761165566,nan,0.01924103579084857,0.0032370461014188164,0.01924103579084857,0.01924103579084857,nan,0.027416862881231907,0.0729295417658415,0.027416862881231907,0.027416862881231907,nan,0.0012213661582070046,0.08857581926516812,0.0012213661582070046,0.0012213661582070046,nan
2.733,3.452058823000698,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-5.6328972277697176e-05,-0.0002906278532464057,-4.6185479732230306e-05,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0003006067188212177,0.0003006067188212177,1.0000462292964587,0.0003006067188212177,0.0011313692666590214,-0.0011945512378588319,0.040371399372816086,0.040404911043050516,-0.018958228104606775,0.02265581405037731,-0.042894750166489276,0.001940854941494763,0.0049456036649644375,0.002436656970530748,-0.042894750166489276,0.0,0.0,5.302582032877528,False,False,0.2150000000000003,0.5125772379997215,1,-0.09254751533080707,-0.045631824094004056,-0.09254751533080707,-0.09254751533080707,nan,0.018589417906379246,-0.0009214627336635705,0.018589417906379246,0.018589417906379246,nan,0.041251669761165566,0.009699724429436847,0.041251669761165566,0.041251669761165566,nan,0.01924103579084857,0.0032370461014188164,0.01924103579084857,0.01924103579084857,nan,0.027416862881231907,0.0729295417658415,0.027416862881231907,0.027416862881231907,nan,0.0012213661582070046,0.08857581926516812,0.0012213661582070046,0.0012213661582070046,nan
2.749,3.5317262790013046,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-3.111468686256558e-05,-0.0003133061109110713,0.0013540894724428654,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0013890177160587522,0.0013890177160587522,0.9986459601591829,0.0013890177160587522,0.0016717242542654276,-0.002013456542044878,0.043360259383916855,0.043439161629450815,-0.018930525572918327,0.022893689822541516,-0.04284783473824394,0.0012066122144460678,0.006386782508343458,0.0022124098613858214,-0.04284783473824394,0.0,0.0,5.3616602569144405,False,False,0.23100000000000032,0.5901616679984727,1,-0.09357862485648205,-0.053558334511638495,-0.09357862485648205,-0.09357862485648205,nan,0.018522189548648704,-0.007962832305954678,0.018522189548648704,0.018522189548648704,nan,0.04136564092150152,0.0014991108354888618,0.04136564092150152,0.04136564092150152,nan,0.019213853400509073,-0.005398235650991021,0.019213853400509073,0.019213853400509073,nan,0.027325412522039016,0.06968145651331266,0.027325412522039016,0.027325412522039016,nan,0.0020998389410271656,0.10484712133609037,0.0020998389410271656,0.0020998389410271656,nan
2.751,3.6093998410015047,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,-3.111468686256558e-05,-0.0003133061109110713,0.0013540894724428654,5.0550420382933225e-06,-2.1203800315561239e-07,1.3019548532611225e-06,0.0,0.0,1.0,0.0013890177160587522,0.0013890177160587522,0.9986459601591829,0.0013890177160587522,0.0016717242542654276,-0.002013456542044878,0.043360259383916855,0.043439161629450815,-0.018930525572918327,0.022893689822541516,-0.04284783473824394,0.0012066122144460678,0.006386782508343458,0.0022124098613858214,-0.04284783473824394,0.0,0.0,5.3616602569144405,False,False,0.2330000000000001,0.6666481489992293,1,-0.09357862485648205,-0.053558334511638495,-0.09357862485648205,-0.09357862485648205,nan,0.018522189548648704,-0.007962832305954678,0.018522189548648704,0.018522189548648704,nan,0.04136564092150152,0.0014991108354888618,0.04136564092150152,0.04136564092150152,nan,0.019213853400509073,-0.005398235650991021,0.019213853400509073,0.019213853400509073,nan,0.027325412522039016,0.06968145651331266,0.027325412522039016,0.027325412522039016,nan,0.0020998389410271656,0.10484712133609037,0.0020998389410271656,0.0020998389410271656,nan
