time_s,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_roll_joint,left_knuckle_joint,base_vx_body,base_vy_body,base_vz_body,base_wx_body,base_wy_body,base_wz_body,shoulder_pan_joint_velocity,shoulder_lift_joint_velocity,elbow_joint_velocity,wrist_1_joint_velocity,wrist_roll_joint_velocity,left_knuckle_joint_velocity
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.00038565899777027806,-0.0002610767128758038,0.9871981025758149,0.014338999213496073,0.01977337482929124,-0.000739785730137449,0.9997013851478296,-0.0011829317943736408,-0.16440436917479972,0.03312102185862383,0.036361622182343206,0.0026711740143367997,-1.2092836604793436e-06,0.012779686523974607,-0.008885184220473632,-0.2557596114833836,0.5736170665350969,0.7910137308886511,-0.02959437503745453,-0.023658635887472815,0.7119126165040056,0.6624204371724765,0.727232443646864,0.053423480286735985,-2.418567320958687e-05
0.1,0.0013399890436390704,-0.0008908335008579227,0.9653217715345372,0.02762528620488578,0.04182614553055375,-0.0019255125221070294,0.9987410622947683,-0.0035777025323399146,-0.13374196077292452,0.060407689500086584,0.067143631955322,0.005546245001117162,-3.4112273593400756e-07,0.04603103298213974,-0.030826957526422553,-0.4346559757692351,0.5321878441796544,0.8824178741086712,-0.04958882082780632,-0.047895414759325475,0.6132481680375041,0.5457333528292551,0.6156401954595758,0.05750141973560723,1.7363218490906716e-05
0.15000000000000002,0.003978161641573635,-0.0026330719914122143,0.9394819900308715,0.03636280357302044,0.05753452975304029,-0.0032785433166206616,0.9976756865615837,-0.00663326573075995,-0.10659575248038301,0.08409876445823475,0.0947721317909598,0.009376849430328564,4.624620681603629e-07,0.1039247074343975,-0.06721484320214793,-0.5057539302883834,0.3513108542018224,0.6285387672817049,-0.056877920772020286,-0.06111126396840071,0.5429241658508301,0.47382149916296323,0.5525699967127559,0.07661208858422804,1.6071696081887408e-05
0.2,0.009338794068426609,-0.006112206274062524,0.9127337937894874,0.04100942588509135,0.06647615433400758,-0.004615582184889439,0.9969342226519414,-0.010365025432586286,-0.08200194689756027,0.10520821426826601,0.12014380150290141,0.014059011015549515,1.0131454738093734e-06,0.17292899733121392,-0.10903550156013211,-0.5106269658221907,0.18841903064730234,0.35721086024109266,-0.05576750157581335,-0.07463519403652669,0.49187611165645484,0.4221889962006251,0.5074333942388322,0.093643231704419,1.101366811298021e-05
0.25,0.01804286542303242,-0.011678534480267563,0.8865956253946885,0.04232274822990473,0.06979664668951296,-0.005810925077401565,0.9966460987948089,-0.014741504398191246,-0.05933620942483368,0.12432072458817602,0.1437288577732193,0.019425516387998117,1.3460499540629551e-06,0.24421810706902292,-0.15118884851446743,-0.483198066483653,0.05541003483795476,0.13146060259802153,-0.049675116599149756,-0.0875295793120992,0.45331474945453165,0.38225020639819995,0.4717011254063579,0.107330107448972,6.658089605071635e-06
0.30000000000000004,0.03032576274118346,-0.019443406143615408,0.8616774223939107,0.041074454783806086,0.06880011904872728,-0.006795732085140824,0.9967613810779995,-0.01969584948472299,-0.038171729087671656,0.14183230826053397,0.1658396879534712,0.025307901477150493,1.5137991160019122e-06,0.31343906482471223,-0.19122847404345525,-0.44499420593387917,-0.04697838295440504,-0.042006631987106,-0.041031427122346316,-0.09908690173063485,0.4232896067432405,0.3502316734471591,0.4422166036050378,0.11764770178304751,3.3549832387791386e-06
0.35000000000000003,0.04614377865220255,-0.029347644671780485,0.8381302869365242,0.03796744925888902,0.06464908736925619,-0.007543345208361186,0.997156991773193,-0.025147703675848218,-0.01820784547313141,0.1580309458586899,0.18670829788984647,0.03155524448306039,1.5626942415236648e-06,0.3782227621033498,-0.2279162024265523,-0.40757027088985404,-0.12134245579919481,-0.16866590831191594,-0.0314307210570831,-0.10903708382250461,0.39927767229080496,0.32397275196311875,0.4173721987275052,0.12494686011819792,9.779025104350552e-07
0.4,0.06527192775979566,-0.04122273703086031,0.8159201708078125,0.03359827818771818,0.05831098967895766,-0.008053624454686447,0.9977004176197503,-0.03101401107344921,0.0007738197188055448,0.17313518267186823,0.20651712935809474,0.03804240509216808,1.5293386405668121e-06,0.43700602878594064,-0.260514971970341,-0.37582299496280436,-0.17186501055513193,-0.2563042583638369,-0.021862249528781953,-0.11732614795201983,0.37963330383873906,0.3020847362635663,0.39617662936496534,0.12974321218215365,-6.671120191370535e-07
0.45,0.08737474318850447,-0.054835048138036586,0.7949742538951869,0.028450342612593122,0.050565569382396314,-0.008341751189093126,0.9982805799900943,-0.03721479954027822,0.018936659829185385,0.18731620362030427,0.22541473223998224,0.044670927709918665,1.44135586169991e-06,0.4886516269968913,-0.28853110365473045,-0.3507230217072334,-0.20305935214569093,-0.31250768715196603,-0.012909794435072845,-0.12401576933658012,0.36325680220759676,0.2836204189687208,0.3779520576377501,0.1325704523550117,-1.7596555773380404e-06
0.5,0.1120529399671375,-0.0699150393843099,0.7752455546526269,0.02290291853144505,0.04202782452029127,-0.008431135073513214,0.9988183189400393,-0.04367642423253247,0.03640653026814862,0.20071164732123287,0.24352500389350676,0.051366278670312064,1.3190700185150548e-06,0.5323749613177395,-0.3116526046558205,-0.33124458400499657,-0.21910160031230524,-0.3439689281935077,-0.004894140893174163,-0.12923249384508506,0.3493974087792647,0.2679088740185719,0.36220543307049063,0.13390701920786796,-2.445716863697104e-06
0.55,0.13887364869044583,-0.08617626697760258,0.7567298266854644,0.017245696598693433,0.03317298923272561,-0.008349039227892915,0.9992659467219737,-0.050333257089817916,0.053283341363132834,0.21343480970354414,0.26095326228349497,0.05807393756897789,1.17717124378469e-06,0.5677401573511817,-0.3297406799460211,-0.31560385337793934,-0.22358743743085385,-0.35636661364291644,0.002032584887818647,-0.13313665714570896,0.3375362218996842,0.2544632476462254,0.34856516779976454,0.1341531779733165,-2.8379754946072955e-06
0.6000000000000001,0.1673908604361285,-0.10332825082169927,0.739458017104771,0.011693709527300946,0.024359174282540905,-0.008123857071640386,0.9996018661107248,-0.057128372092092615,0.06964903299914185,0.22558109025198683,0.27779061670715693,0.06475557807916431,1.0261390401433683e-06,0.5946409812222261,-0.3428187823310432,-0.3019812191704252,-0.21950749009055304,-0.3544447767101752,0.007825975178851755,-0.135902300045494,0.3273138327201804,0.24292561096885373,0.3367470884732392,0.13363281020372836,-3.0206440728264315e-06
0.65,0.19716029643829053,-0.12108580127182941,0.7234791298694357,0.006400716251833705,0.01584675429639589,-0.007783391265506814,0.9998236494653151,-0.0640135884654273,0.0855731520124989,0.23723264545003594,0.29411730182591145,0.0713857769309639,8.733720335518649e-07,0.6132525279322215,-0.3510480132893419,-0.28888761203223245,-0.2093082792133581,-0.34214380204606876,0.01250984233501845,-0.13770432746669367,0.3184823802671411,0.23303110396098242,0.3265337023750903,0.1326039770359918,-3.0553401318300675e-06
0.7000000000000001,0.2277508357187095,-0.13917611469424157,0.7088421894446612,0.0014706725964699029,0.007814930760750323,-0.00735376801216175,0.9999413413172504,-0.0709491161539887,0.10111673020413979,0.24846176842312367,0.31000527009402934,0.07794930700269008,7.240290149512752e-07,0.623964416299885,-0.3546937047011844,-0.27530076588238866,-0.19497172696885529,-0.32272057639893714,0.016150150148669537,-0.1387105537712279,0.3108715638328176,0.22458245946175448,0.3177593653623582,0.13127060143452357,-2.9868603720117936e-06
0.75,0.2587533336192555,-0.15734415981013092,0.695581742463409,-0.0030324852221148193,0.0003762318069274411,-0.006858780968046218,0.9999718094059639,-0.07790296885225467,0.11633491573956053,0.2593333100278376,0.3255201893066899,0.08443893166146131,5.816305636185935e-07,0.6273101174002015,-0.35409063004347496,-0.2606636422541998,-0.1780864236073605,-0.29883929544862375,0.018837441693562915,-0.13907705396531925,0.3043637107084149,0.21743083209427846,0.3102983842532112,0.12979249317542454,-2.8479690266536326e-06
