rotor_id,name,spin,delta_thrust_N,Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm
0,front_right,ccw,0.5,0.0,0.0,0.5,-0.10999999999999999,-0.06499999999999995,-0.030000000000000027
1,back_left,ccw,0.5,0.0,0.0,0.5,0.10000000000000009,0.06499999999999995,-0.030000000000000027
2,front_left,cw,0.5,0.0,0.0,0.5,0.10999999999999999,-0.06499999999999995,0.030000000000000027
3,back_right,cw,0.5,0.0,0.0,0.5,-0.10000000000000009,0.06499999999999995,0.030000000000000027
