time_s,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_roll_joint,left_knuckle_joint,base_vx_body,base_vy_body,base_vz_body,base_wx_body,base_wy_body,base_wz_body,shoulder_pan_joint_velocity,shoulder_lift_joint_velocity,elbow_joint_velocity,wrist_1_joint_velocity,wrist_roll_joint_velocity,left_knuckle_joint_velocity
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0004877402569298041,-0.0001820612060844761,0.9886768256360261,0.01544927705730879,0.021508591245401314,-0.00023630981556934893,0.9996492607403438,0.009033347404176606,-0.14448537975763492,0.03569310314735442,0.06430264370319451,-0.006346181270830284,-1.9228286642913876e-06,0.014625513210595006,-0.007136270535991084,-0.22614444102876555,0.6180433413367172,0.8604442493614735,-0.009453497886236055,0.1806669480835321,1.1102924048473017,0.7138620629470882,1.28605287406389,-0.12692362541660565,-3.8456573285827744e-05
0.1,0.001748451751099675,-0.0008218788203987132,0.969069365965626,0.029769025575512587,0.04623565444858483,-0.0007698216049408903,0.9984865931742359,0.016685722304829488,-0.09539579518367355,0.06354931796510588,0.12107374296103202,-0.012322804142579226,-1.0479841290811363e-06,0.05171156552958787,-0.030430409969792925,-0.3886161937808812,0.5736110251527727,0.9896765219932305,-0.024307996492808792,0.15304749801305761,0.9817916914792273,0.5571242963550294,1.13542198515675,-0.11953245743497885,1.7496890704205016e-05
0.15000000000000002,0.004984083767841406,-0.0027051137101773612,0.9461281997343378,0.03881437962059803,0.06365904375887858,-0.001423076874680377,0.9972155960145138,0.023422654945652245,-0.05073599970514795,0.08653774267445138,0.17354778833526058,-0.016690102343178224,-5.0653895362628716e-08,0.11462256234411752,-0.06854325820091074,-0.44532751097554263,0.36347514580339435,0.6977771600334086,-0.030150128007802257,0.13473865281645514,0.893195909570512,0.4597684941869101,1.0494809074845712,-0.08734596401197994,1.994660467437015e-05
0.2,0.0113102817611789,-0.006472497189420062,0.9227801012751297,0.043149076638617834,0.07291706501393702,-0.002076002750102962,0.996402001717966,0.029049159543066718,-0.009385923169358178,0.10585397880139749,0.22277429773035404,-0.01958335453422124,6.709902534618454e-07,0.18882840782687366,-0.11198785011905185,-0.43766431452930427,0.17530694065275254,0.3706009824285392,-0.02942721217062097,0.11253009194828947,0.8270015307157954,0.38632472253892197,0.9845301879018692,-0.05786504382086033,1.4432882976489481e-05
0.25,0.021342058277817814,-0.012446144562332503,0.900371096444318,0.043774789622109615,0.0753962256277784,-0.0026369363998404796,0.9961888493257934,0.03348336421008082,0.029274756634563005,0.12206779423261999,0.2691680867771489,-0.021279699471898294,1.1107357581696678e-06,0.26453452102973746,-0.1554417401688748,-0.4015641161824898,0.026736586309905025,0.09851524357230634,-0.024828278679987197,0.08868409334028214,0.7732135960784237,0.3242763086244498,0.9278757809358972,-0.033926898753541046,8.79491009415645e-06
0.30000000000000004,0.035240100798868135,-0.020684433130733086,0.8793225401137247,0.04167567681339152,0.07280637501595409,-0.003054573293825702,0.9964702902250395,0.03675300377440964,0.06563320820977506,0.1355191584029755,0.3129473591994654,-0.022059019037933444,1.3295601139029505e-06,0.3370580001509238,-0.19648837587520737,-0.3597387565144697,-0.08260476741154604,-0.10500088199246513,-0.018407958569096564,0.06539279128657628,0.7271690315042408,0.26902728340710985,0.8755854484463313,-0.015586391320703007,4.376487114665651e-06
0.35000000000000003,0.052852390796451126,-0.031070865817271524,0.8596159525261635,0.03771122473327707,0.06668369801097614,-0.003312068494647543,0.9970557547855505,0.03895016323213335,0.0999501833624381,0.14644799592370614,0.3542658799260508,-0.022167140553455113,1.3935680217436191e-06,0.40388321893903134,-0.23389927170416697,-0.3236408113646356,-0.15749776288079614,-0.2466634952977904,-0.01153084902908175,0.04394318915447419,0.6863395030532611,0.2185767504146131,0.8263704145317071,-0.00216243031043337,1.2801581568133717e-06
0.4,0.07383843634443751,-0.043386947295973415,0.841084837445408,0.03258157008366206,0.05828472660206774,-0.003414914280189585,0.9977623315681268,0.04020015520982436,0.13241549336569208,0.1550467098502335,0.3932577373245592,-0.021803767583192878,1.3570879843660683e-06,0.46329704051251364,-0.2668816065870405,-0.29722564207196733,-0.20426417307463446,-0.3376946055442504,-0.005021345279115897,0.024999839553820194,0.6493062000650792,0.1719742785305474,0.7798371479701686,0.007267459405244739,-7.296007475510178e-07
0.45,0.09775432464376697,-0.05736084198687033,0.8235638718128273,0.02683017632713203,0.04859297248045941,-0.0033810424692558507,0.9984525192594735,0.04064125971393419,0.16317765667844367,0.1614834293726861,0.43005279197096874,-0.02112348668930111,1.2601484222773968e-06,0.5140471129704774,-0.29487436045656445,-0.28020065762546364,-0.22920043570461265,-0.38916152922405406,0.0006682982927138318,0.008822090082196619,0.6152432662550319,0.1287343904490516,0.7359010929281901,0.013605617877835388,-1.93879124177343e-06
