time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm
0.0,0.23112018054120373,4.260152958260133,1.1536444224270916,3.0470093995295002,0.17250003924511942,0.11024890455018443,0.060175340508326826,0.0016192632088736032
0.05,2.8027646358756186,3.199227789545573,2.6338867010536475,3.108253116911415,-0.16680512550477283,-0.10812011718591344,-0.04752424749859937,-0.0004778769036644838
0.1,4.527035608417081,3.1384181566072695,4.059244795687298,3.480940307861501,-0.2342879029773192,-0.14210987485499918,-0.06326953000924525,-0.001152523943866746
0.15000000000000002,5.074968657081481,3.5180377587390947,4.7049723224248465,3.9023184242853795,-0.2530939774459325,-0.15102400250793754,-0.06646311499121346,-0.0013069222548570117
0.2,5.122836393178268,3.8352217668954918,4.886405540160863,4.184169664847216,-0.24870594873329474,-0.14757020978882948,-0.06345942327374578,-0.0012601513940223479
0.25,4.967150933216257,4.039954736909978,4.84454086084171,4.330344050589416,-0.2343789267713169,-0.1385734853142196,-0.057691465988762125,-0.0011256346832264395
0.30000000000000004,4.756814834522249,4.165630456935486,4.7184914512180915,4.3922834230148045,-0.21703521580107524,-0.12776811969942778,-0.05104888854806756,-0.0009633839849609016
0.35000000000000003,4.562337279427223,4.248128009395386,4.579821673653881,4.414564828878282,-0.20002143905282324,-0.1170423846579148,-0.04448892541691985,-0.0008056393918908698
0.4,4.410132649990402,4.310616742845263,4.460012571227503,4.42419628228983,-0.18472022861118584,-0.1072220492560533,-0.0384306409759187,-0.0006666170796691966
0.45,4.303479544945053,4.364384245610788,4.368454063615712,4.4336660019836,-0.17148710100364709,-0.09855419044621055,-0.03300348099247164,-0.0005500475719918333
0.5,4.235282230497104,4.4128951640241025,4.303635156991019,4.446393821069174,-0.16020077363233107,-0.09100704679532941,-0.028200738588194437,-0.0004546469415487984
0.55,4.195272639796737,4.4555595311395555,4.259711033661259,4.461231960416207,-0.15057012226303232,-0.08444366698883177,-0.02396583037123937,-0.000377376596394462
0.6000000000000001,4.173624979316546,4.490385993460544,4.230044099388155,4.475434221228979,-0.14228711018001672,-0.07871037647592741,-0.020233764588215707,-0.00031502705635149883
0.65,4.1624363336986345,4.515540436280367,4.2088725756747785,4.4863275286155755,-0.1350885953105923,-0.07367298411679435,-0.016946329841570327,-0.0002648013788807053
0.7000000000000001,4.156052642702473,4.53007100253745,4.191898944865914,4.492074863096538,-0.12877020323419663,-0.06922514112212177,-0.014054401782913157,-0.00022441310262738383
0.75,4.150844254098924,4.534086376414576,4.176309345247335,4.491874723843907,-0.12317921358892849,-0.0652846443700195,-0.01151555252261849,-0.00019200395389668692
0.8,4.144774690834177,4.528626646889701,4.1605341428086176,4.485854638773059,-0.11820127200300527,-0.061786432780259096,-0.009291079589409354,-0.00016602860546720613
0.8500000000000001,4.136942294725941,4.5154009394454215,4.143926978546986,4.474833432773298,-0.11374780843227406,-0.05867625457999604,-0.007343991087090799,-0.00014516076492034828
0.9,4.127178698013606,4.496505422307964,4.126456480012656,4.460061254946845,-0.10974652684783119,-0.05590625058667251,-0.005638141981028603,-0.00012822993666965638
0.9500000000000001,4.115735434932769,4.474186776349079,4.108454876668963,4.442998276633281,-0.10613513477631024,-0.05343239966682484,-0.004138185753880885,-0.00011418142978577146
1.0,4.103062444740718,4.450680831245687,4.090438578547985,4.425159689517112,-0.10285763942108662,-0.05121331674155739,-0.0028099116929817636,-0.00010204909127956504
1.05,4.089668373408949,4.428132172839345,4.07299913766043,4.408032743425285,-0.09986237140247695,-0.049209851684428235,-0.0016206293880823867,-9.093234875270535e-05
1.1,4.076045825888089,4.408585507574616,4.0567537598429375,4.393057855642489,-0.09710100286477923,-0.04738505113004914,-0.0005393998521059966,-7.997226482772843e-05
