time_s,x,y,z,qx,qy,qz,qw,vx_world,vy_world,vz_world,wx_world,wy_world,wz_world,position_error_m,rotation_error_rad
0.0,0.12112216647170818,-0.0038521757723641798,0.8350956448921654,0.6339053888772125,-0.0005047960390691492,0.7734101911767679,0.0006158874120459006,0.0,0.0,0.0,0.0,0.0,0.0,0.10703923041139084,2.705042355533995e-08
0.05,0.1251528326291881,-0.004040356541570936,0.8267304519634925,0.6337776339478838,-0.0008173665318307872,0.7735143111376681,0.0009236257866694754,0.08312392144081071,-0.003738540634695112,-0.16566524022561416,0.0024700611284072145,-0.006595808314911137,-0.01742796760832998,0.10849733410424213,0.0009371366825342382
0.1,0.12720179056792785,-0.004161604211343142,0.8200323679042221,0.6306430399438896,-0.001037782764812642,0.77607152888054,0.0011230486561487132,0.04269824416147336,-0.002410998020634764,-0.13330441008520896,0.001805998191013785,-0.16181741194627638,-0.01174522419875612,0.10905785969843941,0.008547973440789598
0.15000000000000002,0.1251053427952486,-0.004225256453535326,0.8145205635457272,0.6295908443432973,-0.0011766502957712588,0.7769249959335571,0.0012389135635568203,-0.041761285836910814,-0.0012628284151739262,-0.11023617013048725,0.0013479690167850329,-0.054194168066605236,-0.007100618866199448,0.10610429146456865,0.011279857014043881
0.2,0.11913791068062676,-0.004243839844537682,0.810169903446823,0.6306821127007521,-0.001248548926734487,0.7760392023166872,0.0012924057307867375,-0.11988021408423502,-0.000364430405798799,-0.08646880114649616,0.0009680109662166994,0.05621983164667215,-0.003467319668077356,0.09965895534301358,0.008558524254647827
0.25,0.11044506200183588,-0.004230472472108561,0.8069190853419882,0.632744841229771,-0.001268516116984261,0.7743582285894564,0.0013002229701830415,-0.1744243402124492,0.0002709670250237221,-0.0636433663631098,0.0006063917100255468,0.10643623106070706,-0.0007308236671168172,0.09071013031512899,0.0036316475382061684
0.30000000000000004,0.1002434015371701,-0.004196810363969567,0.8045926905614412,0.6347911945117473,-0.0012504667676851476,0.7726816604990739,0.0012756298859651523,-0.20440469219677213,0.0006736147050084582,-0.04470626387796439,0.0002721231725101609,0.10581777690277731,0.0012368352901540123,0.08037547246689887,0.003037541495017906
0.35000000000000003,0.0895170108772515,-0.004152099865405264,0.802966140085934,0.6363151343954507,-0.0012064098709774526,0.7714273025148128,0.0012293287770856027,-0.2147167238732342,0.0008924640697759814,-0.03072370453206938,-1.057240126315647e-05,0.07895091157269911,0.0025643587618589727,0.06958091730241824,0.006513758607036552
0.4,0.07896157725206818,-0.004103094710653488,0.8018355893859124,0.6371901310409047,-0.0011461484043280737,0.7707049075577572,0.0011699206378127497,-0.2111911513094845,0.0009774113415812907,-0.021104182012746914,-0.00022834861263256666,0.04538666960454522,0.003375754480810038,0.05899068602226828,0.008677870966171695
0.45,0.06902484455172116,-0.004054400173459927,0.801049242175931,0.6374966612499191,-0.0010773002583235143,0.7704515735469316,0.00110414601227834,-0.19877076448929504,0.0009711110202829762,-0.014617666791495083,-0.0003818119847517906,0.01590674508263672,0.0037860478774813704,0.04903649734529462,0.009426942111157717
0.5,0.05996855368108257,-0.004008937381827251,0.8005064553419143,0.6373911590695146,-0.0010055161079069825,0.770539047526656,0.0010370699548678621,-0.18114742466719072,0.0009068839824231244,-0.010121506241482843,-0.0004798550590037957,-0.005481755979891073,0.003897690721347029,0.03997207827299295,0.009126263070588841
0.55,0.051923260501300625,-0.003968379881385367,0.8001430811436854,0.6370320920227057,-0.0009347947755800399,0.7708361009709629,0.0009722817420810683,-0.1609260351952113,0.0008093966843145486,-0.006832829694955012,-0.0005336591036429229,-0.018640310972937082,0.0037981610948109178,0.03192380063595022,0.008176580047213692
0.6000000000000001,0.044929732973537403,-0.003933513579371141,0.7999161827582342,0.6365481901330924,-0.0008678168019208125,0.7712359020161338,0.0009121258922899882,-0.13989330537907257,0.0006962132170569453,-0.004316659639865054,-0.0005534679458653011,-0.025107489934319986,0.0035590404865832505,0.024930013758115634,0.006908387390815805
0.65,0.03896863139350414,-0.0039045159511978105,0.7997934697579202,0.6360308415562218,-0.0008062485740649785,0.7716627388133476,0.0008579508169680328,-0.1192478260049659,0.0005793952854454458,-0.0023701813895447635,-0.0005477015064201671,-0.026827656424491492,0.0032364989584085066,0.018969834044410074,0.0055571888967247875
0.7000000000000001,0.03398166414727663,-0.0038811655648286992,0.799747855572534,0.6355377736465382,-0.0007509980548349735,0.7720689850010867,0.0008103515997574763,-0.09976741352190638,0.00046687455472158387,-0.0009068428425572442,-0.0005231465437020374,-0.025554339263630054,0.0028728081973418487,0.013983972269422376,0.004271734061389112
0.75,0.029886809122182827,-0.003862995818058188,0.7997555851611863,0.6351006059919766,-0.0007024205990507807,0.7724287248136802,0.0007693871834811074,-0.08192632182146575,0.00036354819738679885,0.00012216163414367938,-0.00048536933938639294,-0.022645732266892604,0.002498406729121965,0.00988983832644381,0.0031333200213356557
0.8,0.026589331974100024,-0.0038494055989247078,0.7997961777244107,0.6347326471895649,-0.000660480615225535,0.7727311890193534,0.0007347610636269067,-0.06597878139489362,0.00027212340223742423,0.0007673138799696409,-0.000439023756799191,-0.019052367183963567,0.002134121111321377,0.00659248357891288,0.002176013171862077
0.8500000000000001,0.023989717784407505,-0.0038397372091991113,0.7998529121744204,0.6344354697787733,-0.0006248770619516022,0.7729752556403284,0.0007059624732518236,-0.05202056485630485,0.00019375911795893746,0.0010925357315235765,-0.00038799329218548257,-0.015381923939822089,0.0017932742194430053,0.003992441377468964,0.0014038238200978841
0.9,0.021989270975716305,-0.0038333298152996576,0.799913162719345,0.6342038825824038,-0.0005951396364613914,0.7731653222282541,0.0006823707919668894,-0.040035540962672284,0.0001285467436386242,0.0011720009024651212,-0.0003354487086722177,-0.011983593080516601,0.001483543186167404,0.001991235200371068,0.0008040810678896853
0.9500000000000001,0.020493932909950677,-0.003829554728957239,0.7999683349196917,0.6340294003707909,-0.0005707014741655208,0.7733084467147483,0.000663328656218005,-0.029931252991908495,7.586853539684417e-05,0.0010814991229827877,-0.0002838760093183112,-0.009026731489159672,0.0012085097313052251,0.0004953689594143858,0.00035956809752338227
1.0,0.019416739643425773,-0.003827837310726062,0.8000134158405784,0.6339024859603163,-0.0005509529548404894,0.773412512566008,0.0006481901783553781,-0.021566060513721362,3.466302507085518e-05,0.0008899669510788735,-0.0002351157602854726,-0.006564811237266666,0.0009689027075287194,0.0005838354332561285,0.00011289978230930903
1.05,0.01867925246886403,-0.0038276691096886337,0.800046269320348,0.6338138718254253,-0.0005352803653783841,0.7734851546182131,0.000636350401210304,-0.014769651365876255,3.6200553093635913e-06,0.0006537048910859561,-0.00019042545961472348,-0.004583183439719484,0.0007635600991968539,0.0013217464052038548,0.0002477327005427702
1.1,0.018212223876004005,-0.0038286129619802918,0.8000668306878364,0.6337552385548874,-0.0005230925534278162,0.7735332122939106,0.0006272612552889737,-0.009358324892715774,-1.8677612510825647e-05,0.0004138155641666191,-0.00015056116473731722,-0.0030323469468937977,0.0005901505141087256,0.0017891526530070246,0.0003906106966428059
1.1500000000000001,0.01795570531279507,-0.0038303031083205532,0.8000763295572856,0.6337194755194312,-0.0005138382231852767,0.7735625232481507,0.0006204382420835577,-0.005146164689863313,-3.36534926446717e-05,0.000196360750346366,-0.00011586871764368234,-0.001849504808644567,0.00044569743656159536,0.002045814003518292,0.00048113436295618543
1.2000000000000002,0.017858758178808262,-0.0038324418984146116,0.8000766260404885,0.6337006937923543,-0.000507016106546187,0.7735779177493649,0.0006154610575729964,-0.0019529907957742496,-4.2667911932961406e-05,1.4355590655325723e-05,-8.637485104535089e-05,-0.0009713182893104483,0.00032694748228204244,0.002142684385025645,0.0005292975644866578
1.25,0.01787889398993029,-0.003834794279947284,0.8000697033183827,0.6336941114458889,-0.0005021798612667036,0.7735833157626293,0.0006119704963090066,0.00039020619201816654,-4.697268355380286e-05,-0.00012927460355546474,-6.187090759736609e-05,-0.00034045909001486014,0.00023061917371087278,0.0021223054616312225,0.000546385306282525
1.3,0.017981341694523895,-0.0038371809861403967,0.8000573267377924,0.6336958904954397,-0.0004989391985357656,0.7735818623387989,0.0006096632707914172,0.002037794128904453,-4.768431040338795e-05,-0.0002384583081541698,-4.198482635493786e-05,9.192361655245649e-05,0.0001535629281654749,0.002019512821511641,0.0005419794685597814
1.35,0.018138217846629237,-0.003839471114076223,0.8000408588465705,0.6337029738956081,-0.0004969584302661408,0.7735760621273897,0.0006082858388962149,0.0031275473597423037,-4.5771275372471305e-05,-0.0003209020462864691,-2.6239523999920668e-05,0.00036622707062172803,9.28570036312747e-05,0.0018622602099040136,0.0005238550866551771
1.4000000000000001,0.0183276572363932,-0.00384157461112838,0.8000212099096989,0.6337129494980448,-0.0004959533553483877,0.7735678913043452,0.0006076279343302418,0.0037798512279982217,-4.205187848757868e-05,-0.00038539178397459944,-1.409762536204214e-05,0.0005158017434121476,4.585864380180264e-05,0.0016724984802489662,0.000498198485053332
1.4500000000000002,0.01853294658098263,-0.003843435050815122,0.7999989017047374,0.6337239543812959,-0.0004956871718118407,0.7735588761442818,0.000607516219345921,0.004097761857528067,-3.71998475681286e-05,-0.00043952056569686315,-4.9938876726262385e-06,0.0005690461001575057,1.0224880094468348e-05,0.0014670685188704839,0.0004698103410347057
1.5,0.018741691372567718,-0.0038450229793222535,0.7999742255860409,0.6337346258043852,-0.0004959658972314157,0.7735501332450694,0.0006078083087843162,0.004167669707285734,-3.175567210252425e-05,-0.00048778823144100163,1.641934770500536e-06,0.000551821341947597,-1.608654534440254e-05,0.0012585824140755656,0.00044221558149626675
1.55,0.018945035741237015,-0.0038463300512537567,0.7999474809340542,0.6337441025451523,-0.0004966335798804935,0.7735423683995366,0.0006083873455871774,0.004060361021942074,-2.6142367367869816e-05,-0.0005299767099993319,6.3669413036972966e-06,0.0004900586962488041,-3.4828941636266146e-05,0.0010562770981513126,0.0004176528919112317
