time_s,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,position_error,orientation_error
0.0,0.12112216647170818,-0.0038521757723641798,0.8350956448921654,0.6339053888772125,-0.0005047960390691492,0.7734101911767679,0.0006158874120459006,0.0,0.0,0.0,0.0,0.0,0.0,0.8210671957807658,1.768407866163549
0.05,0.11219392930722893,-0.0009561871552336478,0.7938206692658811,0.7181658858695618,-0.01289612923166129,0.6957509131840766,-0.0014550008768841904,-0.24312403396630428,0.08033881646876667,-0.8198773196109302,0.4647048344539832,4.589895352273712,-0.16690717964755158,0.7996484515915399,1.5392666237381047
0.1,0.0976447163729589,0.002883254244215594,0.7489595224667451,0.7866275776585959,-0.022232571782992257,0.6169947417613294,-0.006344718886942396,-0.3498949071780936,0.09802428583025959,-0.880771296380443,0.46187590642325793,4.174168030882509,-0.02676908956347704,0.7817315661403424,1.3309370936649147
0.15000000000000002,0.08540087138820432,0.0039620524374307225,0.7065914289952994,0.8377941841191437,-0.026972982332153513,0.5452316480185665,-0.009788425777706928,-0.2853758905910069,0.0339259648585689,-0.8330357492007743,0.2989110554554257,3.52280845771537,0.034108622544772434,0.7649211644972627,1.1551315494065655
0.2,0.07911740285636834,0.0012190931249846,0.6685457877062587,0.875206113536405,-0.028530251383577596,0.4827789675746277,-0.011169245814636103,-0.14965600831981596,-0.04955502115113003,-0.7507296640663162,0.1513449703958032,2.909607129270419,0.05613547383032141,0.7466744499164921,1.0098692001022855
0.25,0.07988718015448883,-0.005405515853414649,0.6349213513940939,0.9025936195664855,-0.028169286630234217,0.42943749598925307,-0.010709166498581332,0.00289793337514882,-0.13160991818245016,-0.6644639529781675,0.03927096897721147,2.397389814207746,0.05980689097742721,0.7253306212267155,0.8900791953071187
0.30000000000000004,0.08745453225594121,-0.015499009976929962,0.6051870536274618,0.922879554245205,-0.02676488017595908,0.3840551443188959,-0.008866547666948383,0.1459711893317593,-0.20340373929142364,-0.5868359845061095,-0.03852377153573893,1.9888018377510763,0.05586953934581301,0.7002292483802169,0.7906079261494463
0.35000000000000003,0.10095711894425244,-0.0284582659996656,0.5786688585660659,0.9381522271931927,-0.024871921080252577,0.3452741663498731,-0.006126679821066071,0.2687794996856048,-0.26183645219468527,-0.5217253170370675,-0.08758273893127383,1.668742331952066,0.049664237036225745,0.671432078970391,0.7070842980259738
0.4,0.11932913057296685,-0.043647974215726304,0.5547519010496984,0.949856475874535,-0.022819206806661826,0.3118388798736487,-0.0029106767377863867,0.3683715360572972,-0.3067987824478696,-0.4688054755442666,-0.11441926831483894,1.419232120346118,0.043600167122478176,0.6394155241936048,0.6360395068559946
0.45,0.14150012439122692,-0.06047701670147824,0.5329509269144223,0.9589845416279867,-0.020787956694877183,0.28269471675016666,0.00045485882993401234,0.44540846136321816,-0.33952152884924414,-0.4259454149943852,-0.12510429868929962,1.2241730555061265,0.03856304507539966,0.6048498929698463,0.5747969658399332
0.5,0.16648297667083364,-0.07842717362712302,0.5129171096672862,0.9662207754080552,-0.018868876139229326,0.25699692268237306,0.003736363859352098,0.5020264673903405,-0.3616709864940625,-0.3905661628528299,-0.12466250772180934,1.0704955380788488,0.03470647504434264,0.5684643373212738,0.5213147158696962
0.55,0.19340690398312815,-0.09705850641452513,0.4944153542020684,0.9720419202983409,-0.017099988656298342,0.2340857560117138,0.006778967701117903,0.5408393683828804,-0.3749335728135815,-0.360361698356239,-0.11697757242747056,0.9480382648312526,0.03187854181807345,0.5309696315699199,0.4740408040669417
0.6000000000000001,0.22152554410908623,-0.11600543225466695,0.47729132821892145,0.9767843127412091,-0.01549014510653882,0.2134535222629464,0.009489764001487797,0.5645133071061667,-0.3808657031218587,-0.33360308575082476,-0.10494650967596052,0.8490518593937592,0.029834083359715366,0.49301519199026955,0.43179694836762195
0.65,0.25021442371105,-0.13497004029895188,0.46143915230154375,0.9806885147136487,-0.014033028721114732,0.19471344411973454,0.011823108418727307,0.5755986409715125,-0.3808600630463813,-0.30918523284608135,-0.09070163002712747,0.7676665930325616,0.028328433509283844,0.4551660944158476,0.39368985710758975
0.7000000000000001,0.2789637749046554,-0.15371498162730213,0.44677516476417045,0.9839290776666669,-0.012715296008109622,0.1775733861695612,0.013768946718044385,0.5764612007075979,-0.376148886364276,-0.28653736969567667,-0.07580906564047908,0.6994401982763392,0.02715188975736112,0.41789266179975015,0.3590448832689095
