t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
4.2440,-0.280971,0.079620,-0.229160,-0.265915,-0.015302,-0.229682,0.096110,7.902271,0.085386,-0.280971,0.175620,-0.094160,-0.019570,0.159234,0.000000,-0.012841,0.077483,0.000000,0.000000,0.000000,0.000000,1.045576,0.764097
4.2950,-0.281471,0.082578,-0.229160,-0.266315,-0.017355,-0.229682,0.101078,8.046206,0.090103,-0.281471,0.178578,-0.094160,-0.020534,0.162114,0.000000,-0.013306,0.077404,0.000000,0.000000,0.000000,0.000000,1.083780,0.732645
4.3440,-0.281976,0.085469,-0.229160,-0.266442,-0.018238,-0.229758,0.104866,8.064028,0.093570,-0.281976,0.181469,-0.094160,-0.021494,0.164925,0.000000,-0.013760,0.077325,0.000000,0.000000,0.000000,0.000000,1.121145,0.709535
4.3960,-0.282462,0.088156,-0.229160,-0.266887,-0.020374,-0.229526,0.109643,8.292226,0.098104,-0.282462,0.184156,-0.094160,-0.022402,0.167536,0.000000,-0.014182,0.077249,0.000000,0.000000,0.000000,0.000000,1.155913,0.679306
4.4440,-0.282971,0.090884,-0.229160,-0.267009,-0.021313,-0.229653,0.113328,8.316569,0.101472,-0.282971,0.186884,-0.094160,-0.023339,0.170183,0.000000,-0.014611,0.077169,0.000000,0.000000,0.000000,0.000000,1.191237,0.656852
4.4940,-0.283437,0.093315,-0.229160,-0.267398,-0.023471,-0.229625,0.117883,8.521162,0.105794,-0.283437,0.189315,-0.094160,-0.024187,0.172542,0.000000,-0.014993,0.077096,0.000000,0.000000,0.000000,0.000000,1.222765,0.628042
4.5440,-0.283914,0.095735,-0.229160,-0.267526,-0.024416,-0.229661,0.121265,8.591865,0.108879,-0.283914,0.191735,-0.094160,-0.025044,0.174887,0.000000,-0.015373,0.077021,0.000000,0.000000,0.000000,0.000000,1.254168,0.607474
4.5940,-0.284387,0.098073,-0.229160,-0.267804,-0.026153,-0.229591,0.125329,8.770558,0.112674,-0.284387,0.194073,-0.094160,-0.025884,0.177151,0.000000,-0.015740,0.076946,0.000000,0.000000,0.000000,0.000000,1.284541,0.582174
4.6490,-0.284850,0.100312,-0.229160,-0.267890,-0.027039,-0.229670,0.128477,8.848953,0.115527,-0.284850,0.196312,-0.094160,-0.026699,0.179317,0.000000,-0.016092,0.076874,0.000000,0.000000,0.000000,0.000000,1.313650,0.563153
4.6940,-0.285354,0.102692,-0.229160,-0.268092,-0.028580,-0.229694,0.132404,8.984091,0.119152,-0.285354,0.198692,-0.094160,-0.027577,0.181617,0.000000,-0.016466,0.076794,0.000000,0.000000,0.000000,0.000000,1.344623,0.538987
4.7440,-0.285757,0.104554,-0.229160,-0.268214,-0.029618,-0.229739,0.135315,9.086847,0.121818,-0.285757,0.200554,-0.094160,-0.028272,0.183416,0.000000,-0.016758,0.076731,0.000000,0.000000,0.000000,0.000000,1.368878,0.521217
4.7940,-0.286198,0.106553,-0.229160,-0.268408,-0.031160,-0.229679,0.138858,9.271829,0.125091,-0.286198,0.202553,-0.094160,-0.029027,0.185346,0.000000,-0.017072,0.076662,0.000000,0.000000,0.000000,0.000000,1.394939,0.499393
4.8460,-0.286628,0.108466,-0.229160,-0.268534,-0.032284,-0.229759,0.141909,9.384784,0.127883,-0.286628,0.204466,-0.094160,-0.029758,0.187191,0.000000,-0.017373,0.076594,0.000000,0.000000,0.000000,0.000000,1.419908,0.480778
4.8940,-0.287066,0.110380,-0.229160,-0.268695,-0.033794,-0.229790,0.145341,9.550667,0.131046,-0.287066,0.206380,-0.094160,-0.030496,0.189037,0.000000,-0.017673,0.076526,0.000000,0.000000,0.000000,0.000000,1.444909,0.459696
4.9520,-0.287459,0.112068,-0.229160,-0.268834,-0.035270,-0.229906,0.148513,9.715396,0.133977,-0.287459,0.208068,-0.094160,-0.031154,0.190663,0.000000,-0.017938,0.076464,0.000000,0.000000,0.000000,0.000000,1.466974,0.440150
5.0020,-0.287921,0.114019,-0.229160,-0.268963,-0.036405,-0.229962,0.151616,9.833805,0.136805,-0.287921,0.210019,-0.094160,-0.031923,0.192541,0.000000,-0.018245,0.076391,0.000000,0.000000,0.000000,0.000000,1.492503,0.421301
5.0470,-0.288308,0.115628,-0.229160,-0.269035,-0.037417,-0.230166,0.154257,9.923616,0.139210,-0.288308,0.211628,-0.094160,-0.032562,0.194089,0.000000,-0.018497,0.076331,0.000000,0.000000,0.000000,0.000000,1.513568,0.405263
5.0940,-0.288647,0.117019,-0.229160,-0.269291,-0.038929,-0.228454,0.157146,10.484544,0.141784,-0.288647,0.213019,-0.094160,-0.033120,0.195427,0.000000,-0.018716,0.076277,0.000000,0.000000,0.000000,0.000000,1.531805,0.388108
5.1440,-0.288990,0.118410,-0.229160,-0.269335,-0.039920,-0.228924,0.159545,10.511011,0.143989,-0.288990,0.214410,-0.094160,-0.033682,0.196764,0.000000,-0.018935,0.076223,0.000000,0.000000,0.000000,0.000000,1.550046,0.373407
5.1950,-0.289346,0.119833,-0.229160,-0.269559,-0.041846,-0.228798,0.162885,10.822628,0.147111,-0.289346,0.215833,-0.094160,-0.034261,0.198131,0.000000,-0.019158,0.076167,0.000000,0.000000,0.000000,0.000000,1.568716,0.352593
5.2440,-0.289692,0.121202,-0.229160,-0.269512,-0.042686,-0.229428,0.165126,10.807209,0.149139,-0.289692,0.217202,-0.094160,-0.034823,0.199446,0.000000,-0.019373,0.076113,0.000000,0.000000,0.000000,0.000000,1.586698,0.339072
5.2940,-0.290016,0.122466,-0.229160,-0.269620,-0.044246,-0.229377,0.167955,11.052970,0.151744,-0.290016,0.218466,-0.094160,-0.035345,0.200659,0.000000,-0.019572,0.076062,0.000000,0.000000,0.000000,0.000000,1.603313,0.321703
5.3440,-0.290332,0.123689,-0.229160,-0.269740,-0.045332,-0.229036,0.170271,11.287923,0.153842,-0.290332,0.219689,-0.094160,-0.035853,0.201833,0.000000,-0.019764,0.076012,0.000000,0.000000,0.000000,0.000000,1.619398,0.307717
5.3940,-0.290638,0.124858,-0.229160,-0.269811,-0.047207,-0.229532,0.173321,11.468105,0.156699,-0.290638,0.220858,-0.094160,-0.036342,0.202954,0.000000,-0.019947,0.075964,0.000000,0.000000,0.000000,0.000000,1.634784,0.288672
5.4440,-0.290927,0.125954,-0.229160,-0.269902,-0.048292,-0.229337,0.175511,11.664499,0.158688,-0.290927,0.221954,-0.094160,-0.036804,0.204004,0.000000,-0.020120,0.075919,0.000000,0.000000,0.000000,0.000000,1.649218,0.275411
5.4950,-0.291205,0.126999,-0.229160,-0.269949,-0.049669,-0.229406,0.177943,11.858932,0.160919,-0.291205,0.222999,-0.094160,-0.037246,0.205006,0.000000,-0.020284,0.075875,0.000000,0.000000,0.000000,0.000000,1.662988,0.260543
5.5440,-0.291476,0.128007,-0.229160,-0.269979,-0.050608,-0.229450,0.179905,11.991943,0.162694,-0.291476,0.224007,-0.094160,-0.037675,0.205971,0.000000,-0.020442,0.075833,0.000000,0.000000,0.000000,0.000000,1.676276,0.248708
5.5940,-0.291726,0.128931,-0.229160,-0.270024,-0.052064,-0.229524,0.182292,12.199478,0.164892,-0.291726,0.224931,-0.094160,-0.038070,0.206856,0.000000,-0.020587,0.075794,0.000000,0.000000,0.000000,0.000000,1.688463,0.234054
5.6440,-0.291967,0.129818,-0.229160,-0.270069,-0.053107,-0.229507,0.184231,12.369117,0.166659,-0.291967,0.225818,-0.094160,-0.038451,0.207705,0.000000,-0.020727,0.075756,0.000000,0.000000,0.000000,0.000000,1.700165,0.222273
5.6950,-0.292199,0.130660,-0.229160,-0.270086,-0.054500,-0.229620,0.186476,12.569282,0.168721,-0.292199,0.226660,-0.094160,-0.038815,0.208510,0.000000,-0.020859,0.075719,0.000000,0.000000,0.000000,0.000000,1.711279,0.208525
5.7440,-0.292421,0.131465,-0.229160,-0.270133,-0.055548,-0.229494,0.188336,12.761082,0.170412,-0.292421,0.227465,-0.094160,-0.039163,0.209280,0.000000,-0.020985,0.075684,0.000000,0.000000,0.000000,0.000000,1.721914,0.197253
5.8100,-0.292624,0.132196,-0.229160,-0.270136,-0.056911,-0.229651,0.190440,12.934591,0.172350,-0.292624,0.228196,-0.094160,-0.039482,0.209980,0.000000,-0.021100,0.075652,0.000000,0.000000,0.000000,0.000000,1.731579,0.184335
5.8450,-0.292882,0.133116,-0.229160,-0.270134,-0.057781,-0.229682,0.192248,13.066994,0.173969,-0.292882,0.229116,-0.094160,-0.039884,0.210859,0.000000,-0.021245,0.075612,0.000000,0.000000,0.000000,0.000000,1.743745,0.173540
5.8940,-0.293011,0.133576,-0.229160,-0.270121,-0.059090,-0.229681,0.194021,13.283581,0.175601,-0.293011,0.229576,-0.094160,-0.040085,0.211298,0.000000,-0.021317,0.075592,0.000000,0.000000,0.000000,0.000000,1.749819,0.162659
5.9440,-0.293182,0.134178,-0.229160,-0.270089,-0.059924,-0.229695,0.195471,13.425640,0.176901,-0.293182,0.230178,-0.094160,-0.040350,0.211874,0.000000,-0.021411,0.075565,0.000000,0.000000,0.000000,0.000000,1.757789,0.153993
