t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z
4.2190,0.134439,0.328432,-0.226830,-0.268410,-0.029776,-0.228052,0.539076,12.491688,0.492295,0.134439,0.424432,-0.091830,-0.115502,0.276874,0.000000,-0.048323,0.061915,0.000000,0.000000,0.000000,0.000000
4.2690,0.132011,0.331518,-0.226830,-0.268183,-0.029762,-0.228170,0.539148,12.455508,0.493989,0.132011,0.427518,-0.091830,-0.116630,0.276401,0.000000,-0.048807,0.061533,0.000000,0.000000,0.000000,0.000000
4.3190,0.129559,0.334585,-0.226830,-0.268064,-0.029764,-0.228080,0.539311,12.463083,0.495723,0.129559,0.430585,-0.091830,-0.117755,0.275923,0.000000,-0.049289,0.061148,0.000000,0.000000,0.000000,0.000000
4.3690,0.127082,0.337633,-0.226830,-0.267842,-0.029723,-0.228133,0.539368,12.431187,0.497343,0.127082,0.433633,-0.091830,-0.118877,0.275442,0.000000,-0.049768,0.060759,0.000000,0.000000,0.000000,0.000000
4.4190,0.124582,0.340661,-0.226830,-0.267696,-0.029695,-0.228102,0.539488,12.425625,0.498981,0.124582,0.436661,-0.091830,-0.119997,0.274956,0.000000,-0.050244,0.060366,0.000000,0.000000,0.000000,0.000000
4.4690,0.122058,0.343670,-0.226830,-0.267469,-0.029585,-0.228085,0.539492,12.393378,0.500484,0.122058,0.439670,-0.091830,-0.121114,0.274466,0.000000,-0.050716,0.059970,0.000000,0.000000,0.000000,0.000000
4.5190,0.119511,0.346658,-0.226830,-0.267311,-0.029537,-0.228036,0.539588,12.390259,0.502045,0.119511,0.442658,-0.091830,-0.122229,0.273971,0.000000,-0.051186,0.059570,0.000000,0.000000,0.000000,0.000000
4.5690,0.116940,0.349627,-0.226830,-0.267173,-0.029524,-0.227994,0.539722,12.387327,0.503619,0.116940,0.445627,-0.091830,-0.123341,0.273472,0.000000,-0.051652,0.059166,0.000000,0.000000,0.000000,0.000000
4.6190,0.114345,0.352575,-0.226830,-0.266916,-0.029379,-0.228039,0.539676,12.338844,0.504991,0.114345,0.448575,-0.091830,-0.124450,0.272969,0.000000,-0.052115,0.058758,0.000000,0.000000,0.000000,0.000000
4.6690,0.111728,0.355502,-0.226830,-0.266775,-0.029334,-0.227917,0.539782,12.347316,0.506482,0.111728,0.451502,-0.091830,-0.125556,0.272462,0.000000,-0.052575,0.058347,0.000000,0.000000,0.000000,0.000000
4.7190,0.109088,0.358409,-0.226830,-0.266518,-0.029180,-0.227975,0.539728,12.292834,0.507791,0.109088,0.454409,-0.091830,-0.126660,0.271951,0.000000,-0.053031,0.057932,0.000000,0.000000,0.000000,0.000000
4.7690,0.106425,0.361295,-0.226830,-0.266366,-0.029134,-0.227875,0.539824,12.298960,0.509219,0.106425,0.457295,-0.091830,-0.127761,0.271435,0.000000,-0.053485,0.057514,0.000000,0.000000,0.000000,0.000000
4.8190,0.103740,0.364161,-0.226830,-0.266121,-0.029022,-0.227908,0.539806,12.256610,0.510515,0.103740,0.460161,-0.091830,-0.128860,0.270915,0.000000,-0.053935,0.057092,0.000000,0.000000,0.000000,0.000000
4.8690,0.101032,0.367005,-0.226830,-0.265967,-0.028970,-0.227817,0.539893,12.258968,0.511879,0.101032,0.463005,-0.091830,-0.129956,0.270391,0.000000,-0.054382,0.056667,0.000000,0.000000,0.000000,0.000000
4.9190,0.098301,0.369827,-0.226830,-0.265728,-0.028873,-0.227810,0.539889,12.224940,0.513136,0.098301,0.465827,-0.091830,-0.131049,0.269863,0.000000,-0.054825,0.056238,0.000000,0.000000,0.000000,0.000000
4.9690,0.095549,0.372628,-0.226830,-0.265503,-0.028816,-0.227700,0.539923,12.223230,0.514411,0.095549,0.468628,-0.091830,-0.132140,0.269331,0.000000,-0.055265,0.055806,0.000000,0.000000,0.000000,0.000000
5.0190,0.092775,0.375408,-0.226830,-0.265313,-0.028709,-0.227771,0.539943,12.183324,0.515620,0.092775,0.471408,-0.091830,-0.133228,0.268794,0.000000,-0.055702,0.055370,0.000000,0.000000,0.000000,0.000000
5.0690,0.089979,0.378165,-0.226830,-0.265158,-0.028684,-0.227742,0.540045,12.177344,0.516892,0.089979,0.474165,-0.091830,-0.134313,0.268254,0.000000,-0.056135,0.054931,0.000000,0.000000,0.000000,0.000000
5.1190,0.087162,0.380901,-0.226830,-0.264884,-0.028498,-0.227748,0.539948,12.129340,0.517940,0.087162,0.476901,-0.091830,-0.135396,0.267709,0.000000,-0.056564,0.054488,0.000000,0.000000,0.000000,0.000000
5.1690,0.084323,0.383614,-0.226830,-0.264729,-0.028439,-0.227641,0.540023,12.131906,0.519126,0.084323,0.479614,-0.091830,-0.136476,0.267160,0.000000,-0.056991,0.054042,0.000000,0.000000,0.000000,0.000000
5.2190,0.081463,0.386305,-0.226830,-0.264456,-0.028288,-0.227705,0.539951,12.077089,0.520147,0.081463,0.482305,-0.091830,-0.137553,0.266607,0.000000,-0.057413,0.053593,0.000000,0.000000,0.000000,0.000000
5.2690,0.078581,0.388973,-0.226830,-0.264286,-0.028189,-0.227560,0.539985,12.083963,0.521234,0.078581,0.484973,-0.091830,-0.138628,0.266050,0.000000,-0.057832,0.053141,0.000000,0.000000,0.000000,0.000000
5.3190,0.075679,0.391619,-0.226830,-0.264014,-0.028021,-0.227586,0.539898,12.032058,0.522182,0.075679,0.487619,-0.091830,-0.139700,0.265488,0.000000,-0.058248,0.052685,0.000000,0.000000,0.000000,0.000000
5.3690,0.072757,0.394242,-0.226830,-0.263873,-0.027947,-0.227292,0.539966,12.071251,0.523249,0.072757,0.490242,-0.091830,-0.140769,0.264923,0.000000,-0.058660,0.052226,0.000000,0.000000,0.000000,0.000000
5.4190,0.069813,0.396842,-0.226830,-0.263549,-0.027715,-0.227516,0.539796,11.973458,0.524055,0.069813,0.492842,-0.091830,-0.141836,0.264353,0.000000,-0.059068,0.051763,0.000000,0.000000,0.000000,0.000000
5.4690,0.066850,0.399418,-0.226830,-0.263262,-0.027507,-0.227541,0.539666,11.914098,0.524873,0.066850,0.495418,-0.091830,-0.142900,0.263780,0.000000,-0.059473,0.051298,0.000000,0.000000,0.000000,0.000000
5.5190,0.063866,0.401971,-0.226830,-0.263099,-0.027430,-0.227333,0.539715,11.941081,0.525837,0.063866,0.497971,-0.091830,-0.143961,0.263202,0.000000,-0.059874,0.050829,0.000000,0.000000,0.000000,0.000000
5.5690,0.060863,0.404501,-0.226830,-0.262769,-0.027182,-0.227512,0.539526,11.849539,0.526540,0.060863,0.500501,-0.091830,-0.145019,0.262620,0.000000,-0.060271,0.050357,0.000000,0.000000,0.000000,0.000000
