t,target_x,target_y,target_z,gripper_x,gripper_y,gripper_z,pos_error,axis_error_deg,centerline_error,target_local_x,target_local_y,target_local_z,uav_cmd_vx,uav_cmd_vy,uav_cmd_vz,uav_ff_vx,uav_ff_vy,uav_ff_vz,uav_x,uav_y,uav_z,path_progress,path_progress_scale
4.1020,-0.278708,-0.002258,-0.234532,-0.246557,-0.063607,-0.287272,0.087057,13.247688,0.080859,-0.318076,0.104289,-0.044808,0.002388,-0.001556,0.002748,-0.000246,0.007826,0.000000,0.037505,-0.004331,-0.056731,0.499962,0.482308
4.1560,-0.278732,-0.001501,-0.234532,-0.247822,-0.060247,-0.288651,0.085647,13.569614,0.080242,-0.316237,0.098830,-0.042801,0.003028,-0.003720,0.002994,-0.000249,0.007572,0.000000,0.037007,-0.002466,-0.057450,0.524077,0.459313
4.2020,-0.278759,-0.000722,-0.234532,-0.249023,-0.056240,-0.290334,0.084144,13.805119,0.079556,-0.315039,0.094838,-0.040950,0.003448,-0.005479,0.003220,-0.000249,0.007211,0.000000,0.035002,0.005238,-0.060324,0.548880,0.442491
4.2520,-0.278781,-0.000083,-0.234532,-0.250827,-0.050910,-0.292640,0.082105,14.076283,0.078611,-0.313161,0.089123,-0.038628,0.004105,-0.007744,0.003505,-0.000249,0.006946,0.000000,0.032946,0.010926,-0.062259,0.569235,0.423123
4.3020,-0.278805,0.000581,-0.234532,-0.252206,-0.047468,-0.293937,0.080902,14.268213,0.078063,-0.311752,0.085655,-0.037273,0.004601,-0.009262,0.003671,-0.000246,0.006642,0.000000,0.030942,0.018090,-0.064381,0.590391,0.409413
4.3520,-0.278830,0.001224,-0.234532,-0.254119,-0.041331,-0.295965,0.078712,14.555461,0.076793,-0.309772,0.079134,-0.035151,0.005293,-0.011760,0.003931,-0.000247,0.006426,0.000000,0.030446,0.020020,-0.064932,0.610862,0.388896
4.4020,-0.278853,0.001834,-0.234532,-0.255294,-0.037000,-0.297281,0.077463,14.744314,0.076052,-0.308551,0.074809,-0.033740,0.005725,-0.013596,0.004104,-0.000242,0.006104,0.000000,0.027732,0.029155,-0.067321,0.630306,0.375406
4.4530,-0.278877,0.002423,-0.234532,-0.257167,-0.031873,-0.298648,0.075884,15.046897,0.075043,-0.306609,0.069268,-0.032211,0.006407,-0.015747,0.004291,-0.000240,0.005892,0.000000,0.026862,0.031258,-0.067819,0.649077,0.353793
4.5020,-0.278901,0.002990,-0.234532,-0.258497,-0.028884,-0.299339,0.075048,15.262768,0.074488,-0.305250,0.066213,-0.031322,0.006890,-0.017156,0.004400,-0.000233,0.005552,0.000000,0.024017,0.039694,-0.070107,0.667120,0.338374
4.5620,-0.278923,0.003510,-0.234532,-0.260682,-0.022895,-0.301239,0.074025,15.518110,0.073858,-0.302940,0.059816,-0.029425,0.007703,-0.019637,0.004632,-0.000228,0.005310,0.000000,0.024017,0.039694,-0.070107,0.683701,0.320135
