time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_pan_joint_torque_Nm,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm,left_knuckle_joint_torque_Nm
0.0,0.13866841063964203,3.940830149171136,1.0283738834054865,2.869922013584961,-0.021622670174989714,0.1491000310269603,0.09383573850359928,0.051500710139026254,0.0011770642884694385,6.370231391116133e-05
0.05,2.6992599103652397,2.980474751300079,2.565093675154357,2.9416773166109627,-0.010373573415312469,-0.1546741867178966,-0.09868679656295495,-0.04356153937687149,-0.00041393518016497765,6.696617440084512e-05
0.1,4.322869787788294,3.0807093380751405,3.943776636219619,3.3824439011867287,0.004380276712792076,-0.22254078320055184,-0.1343091541342863,-0.06017251133208174,-0.0010081861694652779,3.129695137763472e-05
0.15000000000000002,4.874364335945606,3.520587465803254,4.559235802080482,3.8527659129831826,0.007087277085720415,-0.24330961495547732,-0.1453224411600993,-0.06450898722112003,-0.0011476167126248933,3.0804828090113304e-05
0.2,4.99479663513747,3.8459113431065726,4.764004455966354,4.15621889312006,0.007135299445107037,-0.24313594134574407,-0.14498513124640308,-0.06325615964122656,-0.001144590722455496,4.21415783975765e-05
0.25,4.925891525836556,4.043349471143025,4.7705350498487205,4.312132807592247,0.006052302700571641,-0.23366419545367043,-0.13938701261169603,-0.05944292259276863,-0.0010743421919113991,5.753499745578677e-05
0.30000000000000004,4.787983085831786,4.159670014889965,4.693719857881274,4.379848840605393,0.004543266023276591,-0.2207437453372703,-0.13172263063626444,-0.05464103499937366,-0.0009752808784025159,7.357114445560822e-05
0.35000000000000003,4.642817750327855,4.234620540386762,4.594449356750841,4.406454017868415,0.003036412212017999,-0.20731564643338846,-0.12365893845189863,-0.04966319670728183,-0.0008699022029425581,8.871342092173699e-05
0.4,4.51848252368714,4.292434495168972,4.502318247796102,4.419964880552249,0.0017393541963665613,-0.19472567979567543,-0.11598789748490486,-0.04489363376878606,-0.0007697702446372596,0.00010238865592874384
0.45,4.423835696649437,4.344831865951446,4.428728418023844,4.4336904187933905,0.0007171929640523618,-0.18344326651897097,-0.10900491219803346,-0.04047827317645345,-0.0006795908419722249,0.00011447323268580308
0.5,4.357679978105086,4.395491471815091,4.3751524698315025,4.451740723513483,-3.753956289326511e-05,-0.17349353920457902,-0.1027474040641128,-0.03644262387029287,-0.0006003900912944777,0.0001250104277099396
0.55,4.31443649124924,4.443766931913608,4.338348051557045,4.473349022492821,-0.0005609964684445713,-0.16471328779731953,-0.09714062638094782,-0.03276167039592904,-0.0005315491703576713,0.00013408241198677095
0.6000000000000001,4.287413348369302,4.487285660469572,4.313479981013698,4.495769717285054,-0.0008959204816506525,-0.15689095297238373,-0.09207888562740887,-0.029396896499169496,-0.0004719059443283755,0.00014177075861864958
0.65,4.270491343624079,4.523551087419031,4.295826123212547,4.516010669969165,-0.0010826077420582245,-0.14983287042706145,-0.08746428167110978,-0.026312455356889322,-0.0004202512664356195,0.00014815650523231454
0.7000000000000001,4.258830739761274,4.5507812840933415,4.2815701633369745,4.531725059467961,-0.0011562469397912245,-0.14338636809227784,-0.08322017309864506,-0.023479676127356366,-0.00037549388302059416,0.00015333073158912142
0.75,4.249016550494797,4.568219267348926,4.268043060660572,4.541546970094803,-0.0011467898161803844,-0.13744058593905326,-0.07929156287708651,-0.020876167373536154,-0.0003366747326404862,0.00015740232167874544
0.8,4.238914463244801,4.576115339489565,4.253660968528235,4.545092065077508,-0.001079541314068177,-0.13191800000420506,-0.07564013017194775,-0.018483233987454425,-0.0003029315326371921,0.0001604992633331598
0.8500000000000001,4.227405373167712,4.575535873349457,4.237721132089911,4.542784045241691,-0.0009757909892806962,-0.12676385469586654,-0.0722382050653581,-0.016283457739916005,-0.0002734605279180765,0.00016276452877500447
0.9,4.214096031840914,4.568107450686421,4.220155271666863,4.5356158278171685,-0.000853325737437667,-0.12193690317782226,-0.0690636763704554,-0.014259114341181938,-0.00024749129135229734,0.00016434907270591764
0.9500000000000001,4.199057575491655,4.555765759429057,4.2012970618630145,4.524913139196542,-0.0007268460095540235,-0.11740261247778161,-0.06609645711042586,-0.012391469388831752,-0.0002242755166368538,0.0001654043345306621
1.0,4.1826149561531345,4.540547380034065,4.18169158458837,4.512137211597846,-0.0006083386493081454,-0.11312883118371457,-0.06331643708812999,-0.010660730817761642,-0.00020308530059539017,0.00016607586621587004
1.05,4.165192794734829,4.524439704442016,4.161956049873404,4.498741288923631,-0.000507439716675433,-0.10908343017204061,-0.060702574946868156,-0.009046380265223888,-0.00018321577215059314,0.0001664988815644151
1.1,4.147212914102051,4.509288710037949,4.142689586871627,4.4860810168561045,-0.000431795233179885,-0.10523330816255988,-0.05823273258885461,-0.0075276499094222085,-0.00016398820837149026,0.00016679586842136492
1.1500000000000001,4.129033139726573,4.496754586972857,4.124423266370357,4.475369725285938,-0.000387411649484813,-0.1015442107392397,-0.05588390956120969,-0.006083988944508362,-0.0001447514732081989,0.00016707597337000166
1.2000000000000002,4.110914213660487,4.488299570510985,4.10759816406159,4.4676643820000415,-0.0003789821528203433,-0.09798094038135156,-0.05363262781093499,-0.004695443500382106,-0.0001248811123377229,0.00016743562641000404
1.25,4.093001024488897,4.48518903939359,4.092558315015493,4.463864982578969,-0.00041017600590846946,-0.09450770504879544,-0.05145532725997857,-0.003342949458070241,-0.00010377669441972985,0.00016795976142913792
1.3,4.07530597541043,4.488484121719492,4.079546842924065,4.464707622939434,-0.00048388147676640513,-0.09108860802132422,-0.04932878370457591,-0.0020086264593148413,-8.085940116671724e-05,0.00016872294547059556
1.35,4.057687991085517,4.498999088305215,4.068699226318763,4.470726853953094,-0.0006024021564512389,-0.08768879790396493,-0.047230850537354624,-0.0006763187611203147,-5.5574099021455234e-05,0.00016978973176619283
1.4000000000000001,4.039838781370762,4.5171822489022695,4.060042386341564,4.482151650786624,-0.0007675491479887679,-0.08427807681916161,-0.04514253104394166,0.0006669957489356181,-2.7409180463562494e-05,0.0001712132048476842
1.4500000000000002,4.021333145830149,4.542842851310989,4.053551037744851,4.498666750742326,-0.0009805747920651727,-0.0808421463480629,-0.043054248645728536,0.0020273212278498214,4.03596480860704e-06,0.00017303041733133934
