time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm
0.0,0.1641291132644337,3.999462521659045,0.9869711775724512,2.801672797971841,0.14977059475109,0.09426379748539303,0.051700505873713005,0.0014850119436563359
0.05,2.725033325590526,3.0119957633534686,2.5320107090683655,2.9047250749698597,-0.155288559381547,-0.09907448929237632,-0.0437497405274431,-0.00046479185236175896
0.1,4.338651103108944,3.096066574338822,3.931542548253797,3.368057592246071,-0.22300431922281772,-0.13462288785450396,-0.06031680125401144,-0.0010484738923947667
0.15000000000000002,4.879308096803645,3.52747956694648,4.563634684146756,3.8509704824841187,-0.2434845032804511,-0.14546927397019063,-0.06456483656372007,-0.0011918475671134725
0.2,4.990329553825554,3.846746680273741,4.778704675953153,4.1613178742781685,-0.24306515562612632,-0.1449871622106362,-0.0632360585880495,-0.0011854744313332826
0.25,4.914047657376916,4.039750332964957,4.790772249098905,4.320410106479635,-0.23343953349770538,-0.13929458610694131,-0.05937414627875319,-0.0011064304260772228
0.30000000000000004,4.771062444426425,4.153148433994222,4.716314237035044,4.3891007404549764,-0.22045738537975726,-0.13158782758473078,-0.054551400334340326,-0.0009963896862888425
0.35000000000000003,4.62299457317824,4.2265866368831295,4.617394737643773,4.415456383556254,-0.20703289663678595,-0.12351976046403966,-0.04957277362716848,-0.000880111949697616
0.4,4.497556428946152,4.28407949262961,4.52438774911658,4.428056643710061,-0.19448110680059608,-0.11586531274034198,-0.04481338593356709,-0.0007704313844287636
0.45,4.403152961236395,4.337051766063501,4.449195209297179,4.44052391552897,-0.18324817522734602,-0.10890663432046657,-0.040412204491435795,-0.0006726086197367758
0.5,4.338162191707296,4.388877773740755,4.393615498324757,4.457151032589026,-0.17334547974149517,-0.10267312560582675,-0.036390594666035656,-0.0005877737623427623
0.55,4.2966545948455614,4.4386439541560465,4.354625749749763,4.477287699975446,-0.16460355334731044,-0.09708626410948203,-0.03272161928280605,-0.000515158267697
0.6000000000000001,4.271669609086072,4.483768598488811,4.327541420036191,4.498267942164705,-0.15680928512272463,-0.09203928501841059,-0.02936621949698287,-0.00045332704071499724
0.65,4.256892811849543,4.521606613183583,4.307742233144464,4.517154825616343,-0.14976991314832908,-0.08743464336021371,-0.026288712506611807,-0.00040075542136743214
0.7000000000000001,4.24734949594401,4.5502810627580645,4.291477146155511,4.531638172725024,-0.14333467138438313,-0.08319664712903611,-0.023460874970640533,-0.00035604162342075683
0.75,4.239536961229591,4.568982699456943,4.276114766310441,4.540373904756145,-0.13739480622480424,-0.07927138119144878,-0.02086082065945111,-0.0003179472993634429
0.8,4.231269092403986,4.5779411497270415,4.26008858596553,4.542987777249952,-0.13187471280752924,-0.07562151725037018,-0.018470314437383173,-0.000285374661037384
0.8500000000000001,4.221401356174277,4.578223745719155,4.2426988768089835,4.53990448167907,-0.12672121242882514,-0.0722202007305418,-0.016272315498243786,-0.000257331833222448
0.9,4.209533606552906,4.571471531216594,4.223870814543556,4.532111079021422,-0.12189425722708416,-0.0690459383996014,-0.01424938826935435,-0.00023290561700665705
0.9500000000000001,4.1957423455553045,4.559641971232473,4.203925567579589,4.52092250822912,-0.11736015710080744,-0.06607907541177803,-0.012383005486520753,-0.00021124499866538682
1.0,4.180365343266287,4.544796354812714,4.183392425455171,4.507785934523657,-0.1130872954247814,-0.06329977334103369,-0.010653512668581786,-0.00019155265632524187
1.05,4.163843973581304,4.528946851981198,4.1628714698526315,4.494138704094663,-0.10904382794708788,-0.0606871327838486,-0.009040472653290202,-0.00017308054531885972
1.1,4.146618306888362,4.513962600713076,4.142944767780797,4.481320010829106,-0.1051967477368288,-0.05821905873117895,-0.007523155058044473,-0.00015512647616074574
1.1500000000000001,4.129064295634652,4.501524466435312,4.124127384423047,4.470527289981178,-0.10151175954662213,-0.05587252367145714,-0.006081014064589308,-0.0001370299360513019
1.2000000000000002,4.111459640446769,4.4931124962826505,4.106846130597996,4.4628031175487,-0.09795353819157855,-0.05362397739002834,-0.00469407807070373,-0.0001181666435884171
1.25,4.09396429520532,4.4900068436783025,4.091432986534312,4.459035388722353,-0.09448611725737628,-0.051449763337662595,-0.0033432507062067535,-9.79424172026832e-05
1.3,4.076603207050966,4.493280164704229,4.0781215812806275,4.45995104394935,-0.09107341136834796,-0.049326553417272524,-0.0020106119127736195,-7.578825805128711e-05
1.35,4.059244797900374,4.503754365833672,4.067040694884068,4.466079063257457,-0.08768039283541983,-0.04723210358178551,-0.0006799655101817231,-5.116112823989975e-05
1.4000000000000001,4.041585719869129,4.521880918925369,4.058214083135593,4.47764677768145,-0.08427671740232216,-0.04514733566385237,0.0006617464533885701,-2.3562128520028027e-05
