time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_pan_joint_torque_Nm,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm,left_knuckle_joint_torque_Nm
0.0,4.276921198014797,4.144963801985201,4.271349767342855,4.150535232657143,3.1890136901673714e-06,-0.2119502127233871,-0.12108626609194358,-0.05427129156314088,-0.0007213093783659827,-3.238826922451618e-05
0.05,4.275848489282406,4.146036510717592,4.270286773384632,4.1515982266153655,3.183923914682636e-06,-0.21139489135470507,-0.12158290102683111,-0.05445073111021427,-0.0007270360989115167,-2.5254602740406623e-05
0.1,4.274431397294905,4.147453602705093,4.268880017898269,4.153004982101729,3.1788721120598025e-06,-0.2106606522042763,-0.12192709027970053,-0.05452497264299531,-0.0007313592246360939,-1.8072229228570112e-05
0.15000000000000002,4.272669902596564,4.149215097403434,4.267129460484437,4.154755539515561,3.1738723312367863e-06,-0.20974747972301697,-0.12211850043450673,-0.05449387273482904,-0.0007342701044635455,-1.085500085522471e-05
0.2,4.270564456589327,4.151320543410671,4.26503553070817,4.156849469291828,3.1689385981813585e-06,-0.20865560297557137,-0.12215703497996827,-0.054357491477168327,-0.0007357628143492429,-3.6168370088815413e-06
0.25,4.26811598131289,4.1537690186871075,4.262599127927156,4.159285872072842,3.1640848839282145e-06,-0.20738549553845623,-0.12204283430367495,-0.05411609236346414,-0.0007358341693050779,3.628302544998652e-06
0.30000000000000004,4.265325868418681,4.156559131581317,4.259821620315394,4.162063379684604,3.1593250726388325e-06,-0.20593787497941587,-0.12177627526965054,-0.05377014178008625,-0.0007344837301342225,1.0866444587220981e-05
0.35000000000000003,4.262195977339614,4.159689022660384,4.256704843084,4.165180156915998,3.154672929860284e-06,-0.20431370191893958,-0.12135797038029285,-0.0533203081052577,-0.0007317138048615225,1.808362939401957e-05
0.4,4.258728632659029,4.163156367340969,4.253251095902412,4.168633904097586,3.1501420709893142e-06,-0.20251417867566912,-0.12078876652438894,-0.05276746041774419,-0.0007275294448556472,2.5265937660193433e-05
0.45,4.254926620683661,4.166958379316337,4.249463139524732,4.172421860475266,3.1457459300526475e-06,-0.20054074749819173,-0.12006974331367114,-0.05211266681779317,-0.0007219384356493583,3.2399517344290216e-05
0.5,4.250793185226976,4.171091814773022,4.2453441916274315,4.176540808372566,3.1414977288640898e-06,-0.1983950883864839,-0.11920221101114807,-0.05135719236356629,-0.0007149512824745188,3.9470610384064425e-05
0.55,4.246332022610686,4.175552977389311,4.240897921866083,4.1809870781339145,3.137410446658562e-06,-0.1960791165070289,-0.11818770805520228,-0.05050249662705248,-0.0007065811905386677,4.6465579230684944e-05
0.6000000000000001,4.241547275893685,4.180337724106312,4.236128446160249,4.185756553839749,3.13349679022388e-06,-0.19359497920638497,-0.11702799818419915,-0.049550230874183115,-0.0006968440400801661,5.337093315051793e-05
0.65,4.236443528339087,4.185441471660911,4.231040320217071,4.190844679782927,3.12976916466282e-06,-0.1909450526287247,-0.11572506716709469,-0.04850223487459779,-0.0006857583562490077,6.017335424375915e-05
0.7000000000000001,4.231025796131449,4.190859203868548,4.225638532305528,4.19624646769447,3.1262396448140745e-06,-0.18813193794359662,-0.11428111914626056,-0.04736053334722378,-0.000673345273870399,6.685972312973488e-05
0.75,4.2252995203576695,4.196585479642328,4.219928495294696,4.201956504705302,3.1229199474116434e-06,-0.1851584571908838,-0.11269857259946596,-0.04612733204853657,-0.0006596284971581192,7.341714424933454e-05
0.8,4.219270558266376,4.202614441733622,4.213916037970738,4.20796896202926,3.1198214040483142e-06,-0.18202764875063882,-0.11098005592866347,-0.04480501351105878,-0.0006446342544544352,7.983297073577611e-05
0.8500000000000001,4.212945173821986,4.208939826178012,4.207607395648627,4.214277604351371,3.116954935027796e-06,-0.17874276244617082,-0.10912840268391642,-0.04339613244033067,-0.0006283912480829801,8.609482880573783e-05
0.9,4.206330027570902,4.2155549724290955,4.201009200095985,4.220875799904013,3.1143310241443876e-06,-0.17530725428943247,-0.10714664643148285,-0.04190341077924528,-0.0006109305994104597,9.219064162381515e-05
0.9500000000000001,4.199432165838583,4.222452834161415,4.194128468787607,4.227756531212391,3.1119596944437073e-06,-0.17172478087841928,-0.10503801527573063,-0.04032973244928397,-0.0005922857892223435,9.810865259427677e-05
1.0,4.192259009277452,4.229625990722546,4.186972593510548,4.23491240648945,3.1098504850640593e-06,-0.16799919345692968,-0.10280592604519632,-0.038678137778811766,-0.0005724925935267458,0.00010383744803519974
1.05,4.1848183407868165,4.2370666592131805,4.179549328340779,4.242335671659219,3.1080124291697478e-06,-0.16413453164766104,-0.10045397815372488,-0.036951817629197845,-0.0005515890149096034,0.00010936597919125216
1.1,4.177118292827103,4.244766707172895,4.171866777013627,4.250018222986371,3.106454033057492e-06,-0.16013501687021076,-0.09798594714822269,-0.0351541072301083,-0.0005296152095728334,0.000114683583542671
1.1500000000000001,4.169167334151843,4.252717665848155,4.163933379711297,4.257951620288701,3.105183256448193e-06,-0.15600504545613653,-0.09540577795513844,-0.033288479735882545,-0.0005066134101955617,0.00011978000536933586
1.2000000000000002,4.160974255981904,4.260910744018093,4.155757899291849,4.2661271007081485,3.104207494123976e-06,-0.1517491814737783,-0.09271757783833742,-0.03135853951544122,-0.0004826278447665891,0.00012464541553028075
1.25,4.152548157647477,4.26933684235252,4.147349406985033,4.274535593014965,3.1035335587444822e-06,-0.1473721492760825,-0.08992560908156833,-0.029368015188690463,-0.00045770465154409506,0.00012927043042049356
1.3,4.1438984317243,4.277986568275697,4.138717267581342,4.283167732418657,3.1031676651330707e-06,-0.14287882578516603,-0.08703428140922286,-0.02732075242287509,-0.000431891790306081,0.0001336461300684461
1.35,4.135034748691537,4.2868502513084605,4.129871124141589,4.292013875858409,3.1031154158656657e-06,-0.13827423252784748,-0.08404814415957294,-0.025220706502799086,-0.00040523895006227217,0.00013776407533944797
1.4000000000000001,4.1259670411395675,4.29591795886043,4.1208208822551695,4.301064117744829,3.1033817883280586e-06,-0.13356352743681474,-0.08097187822511631,-0.02307193468926669,-0.0003777974534050587,0.00014161632421164815
1.4500000000000002,4.116705487556792,4.305179512443206,4.111576693875985,4.310308306124014,3.103971123195583e-06,-0.12875199643253066,-0.07781028777508994,-0.02087858838050825,-0.00034962015768359576,0.000145195447093292
1.5,4.107260495725291,4.314624504274707,4.102148940765787,4.319736059234211,3.104887114414964e-06,-0.12384504480137044,-0.07456829177560345,-0.018644905091734252,-0.0003207613531913575,0.00014849454115169346
1.55,4.097642685755887,4.324242314244111,4.092548217575388,4.32933678242461,3.1061328006924687e-06,-0.11884818838585093,-0.07125091532321154,-0.01637520026831336,-0.00029127665856325236,0.00015150724362628706
