time_s,base_x,base_y,base_z,base_qx,base_qy,base_qz,base_qw,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_roll_joint,left_knuckle_joint,base_vx_body,base_vy_body,base_vz_body,base_wx_body,base_wy_body,base_wz_body,shoulder_pan_joint_velocity,shoulder_lift_joint_velocity,elbow_joint_velocity,wrist_1_joint_velocity,wrist_roll_joint_velocity,left_knuckle_joint_velocity
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0003922114535799154,-0.00019546725399956065,0.9872093143303307,0.014390879483481403,0.01977527876758368,-0.0005722964222543032,0.9997007119204033,0.004394167318537861,-0.16319196933488828,0.030591378930617797,0.03741892894638048,-0.0028822657955987914,-1.1935538385365877e-06,0.01290506672061623,-0.007584627108600333,-0.25555130038256413,0.5756926131308054,0.7910900735544399,-0.02289414091690294,0.08788334637075722,0.7361606133022348,0.6118275786123558,0.7483785789276095,-0.05764531591197582,-2.387107677073175e-05
0.1,0.0013544614938529203,-0.0007615664410176805,0.9653602921751734,0.027674323226587003,0.04182756159019014,-0.0015591638827337265,0.9987402845251392,0.007610665683876807,-0.13133111825450858,0.05533254520127451,0.0692420908101847,-0.0055612893664437925,-3.231750498322585e-07,0.04614439182182892,-0.029592504488211064,-0.43415182903827065,0.5320663288272535,0.8824207815711006,-0.041676204515437784,0.06432996730677892,0.6372170216075941,0.49482332541313423,0.6364632372760846,-0.05358047141690001,1.7407575774086582e-05
0.15000000000000002,0.004002446449381259,-0.002442695422812529,0.9395593351797448,0.03639759133407448,0.057525024972311274,-0.00270672394684825,0.9976766813414495,0.01019186271925857,-0.10298602669634903,0.0764757337135103,0.09791012959596085,-0.007308935107156939,4.80755270046984e-07,0.10398956586082347,-0.0660604247292058,-0.5050369714579737,0.3506285295411359,0.6281948239101638,-0.04869529483844801,0.05162394070763526,0.566901831163191,0.4228637702447156,0.5733607757155228,-0.03495291481426292,1.607860639758485e-05
0.2,0.009374042911032533,-0.0058616907405718765,0.9128540685544083,0.0410249905844062,0.0664485372757914,-0.003846802376299343,0.9969386862555465,0.012118210355199402,-0.07718486312881587,0.09504216870888962,0.12432752023664209,-0.008240492013400847,1.0291502216830393e-06,0.17289925371802767,-0.10798280931026254,-0.5098448471256629,0.1874007785683796,0.3566566082757164,-0.047922034139966506,0.03852695271881662,0.5160232713506632,0.3713286999075866,0.5283478128136246,-0.018631138124878172,1.0967899032721107e-05
0.25,0.018088333765199853,-0.01136653177661616,0.8867530619440502,0.04232010519947696,0.06974908463910356,-0.004862871343424298,0.9966546173927102,0.013418833122680133,-0.05329823514159253,0.11162072811657016,0.148969086519396,-0.008528548047386142,1.3587957684713102e-06,0.2440540168396762,-0.15026745191988106,-0.48255631746361805,0.05430506499279117,0.130904984267144,-0.042536003840054515,0.02601245534961464,0.4777325597444667,0.3315711881536107,0.4928313256550781,-0.005761120679705906,6.5929109357654175e-06
0.30000000000000004,0.030378541784829335,-0.019066492404890764,0.8618565256041464,0.041059105501786486,0.06873483055500776,-0.005691456145831305,0.9967734347638423,0.014160224694850513,-0.030896639044804785,0.12660943096222801,0.17214964883469744,-0.008342571740685329,1.523379390943047e-06,0.31311258149522636,-0.1904672990895909,-0.44469486499607497,-0.047963399185592656,-0.04241387523740042,-0.034810631688489455,0.014827831443407592,0.44803192193575486,0.2997740569131569,0.4636112463060287,0.0037195261340162555,3.291672449434735e-06
0.35000000000000003,0.046199310686714345,-0.02890124419907441,0.8383085876358521,0.0379472197391089,0.06457047247392302,-0.0063087326422869685,0.9971714308437714,0.014423331933857027,-0.009678286441887295,0.14029678313289426,0.19410210448858325,-0.007831430413558172,1.569706991506603e-06,0.37771531262684654,-0.22733578096929408,-0.4077532078684218,-0.12208283153262485,-0.1688541230817333,-0.026237310904979817,0.005262144780130273,0.4243670520583498,0.2737470434133247,0.4390491130777165,0.010222826542543124,9.265520112711202e-07
0.4,0.06532479843245939,-0.040702228249523874,0.8160720527935071,0.03358159987804386,0.058224204159169554,-0.0067156923895099665,0.9977159503964,0.01429204923431046,0.01057536063422208,0.15290090603327455,0.2150087467957389,-0.007116341017833807,1.5345745690320543e-06,0.43630634850531924,-0.2601238948935294,-0.3765430825556156,-0.17230651373714012,-0.2562610283052008,-0.017737788933404976,-0.0026256539909313495,0.40507294152218754,0.2520824580076056,0.4181328461431129,0.014301787914487291,-7.026484494909722e-07
0.45,0.0874193628026676,-0.05423672303414047,0.795074527943596,0.028445253105479903,0.05047572350863585,-0.006927496128051537,0.9982960876961507,0.01384704005308082,0.03002725749295222,0.16459196442079077,0.23501730167233456,-0.006290933939266716,1.4456123713424417e-06,0.48775590008640324,-0.28832712483171924,-0.35195719484095256,-0.20319208055408414,-0.3122512214653906,-0.00985123335478345,-0.008900183624592765,0.3890379371746027,0.23382116775032424,0.40017109753191354,0.01650814157134182,-1.7792439537922531e-06
