sim_time_s,wall_time_s,state,px,py,pz,vx,vy,vz,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,position_error_m,speed_mps,yaw_error_rad,max_joint_error_rad,offboard,armed,q_shoulder_pan_joint,qd_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint
8.486,0.13244348800000694,PRESTREAM_SETPOINTS,0.0,0.0,0.1588459610939026,0.22025497257709503,0.005229918751865625,0.19947700202465057,-0.02105165894142612,0.03811873704401637,-0.06609886452822243,-0.0010719590354710817,0.004061380866914987,-0.005567498039454223,0.8411540389060974,0.29720477676482665,-0.06609886452822243,0.18590256775444125,False,False,0.18590256775444125,0.03349763572035362,0.0,nan,0.00924510492864794,0.0013338719270711017,0.0,nan,0.05666053505697288,0.010919145941248732,0.0,nan,0.019050812448749177,0.005214490017822981,0.0,nan,-0.027153370051390624,0.7284940934027845,0.0,nan,-0.0039418048468684574,-0.066874649734193,0.0,nan
8.495,0.2046617820000023,PRESTREAM_SETPOINTS,0.0,0.0,0.1588459610939026,0.22025497257709503,0.005229918751865625,0.19947700202465057,-0.02105165894142612,0.03811873704401637,-0.06609886452822243,-0.0010719590354710817,0.004061380866914987,-0.005567498039454223,0.8411540389060974,0.29720477676482665,-0.06609886452822243,0.18590256775444125,False,False,0.18590256775444125,0.03349763572035362,0.0,nan,0.00924510492864794,0.0013338719270711017,0.0,nan,0.05666053505697288,0.010919145941248732,0.0,nan,0.019050812448749177,0.005214490017822981,0.0,nan,-0.027153370051390624,0.7284940934027845,0.0,nan,-0.0039418048468684574,-0.066874649734193,0.0,nan
8.503,0.2744839369999994,PRESTREAM_SETPOINTS,0.0,0.0,0.15940098464488983,0.22087550163269043,0.005894132889807224,0.1994144767522812,-0.020991756369231607,0.0381133687674957,-0.06621683845404264,0.0009405982564203441,0.0028579046484082933,-0.003968781791627407,0.8405990153551102,0.2976354507823311,-0.06621683845404264,0.18667651568615984,False,False,0.18667651568615984,0.04027810661333246,0.0,nan,0.00917581685844393,0.001929483480357025,0.0,nan,0.056764834666911845,0.01122276508599877,0.0,nan,0.019038218126478768,0.0064835004822406984,0.0,nan,-0.027961166153398942,-0.1049751411779146,0.0,nan,-0.003925410536127494,-0.05447291245540038,0.0,nan
8.531,0.3497582610000052,PRESTREAM_SETPOINTS,0.0,0.0,0.159704327583313,0.2221211940050125,0.006211578845977783,0.1987612396478653,-0.020987150258089327,0.038072860752481154,-0.06626835247626511,-0.00032982739503495395,0.0018385852454230187,-0.0022832076065242295,0.840295672416687,0.29813157988433286,-0.06626835247626511,0.18452567363901728,False,False,0.18452567363901728,-0.23211314915536016,0.0,nan,0.009240311333291729,0.01620841902101158,0.0,nan,0.055958412914601574,-0.06327559203790825,0.0,nan,0.018908042842787687,0.004520779261504352,0.0,nan,-0.027987230044585587,0.12737654238314183,0.0,nan,-0.0038494731305824814,0.01050960635332332,0.0,nan
8.564,0.42792643399999974,PRESTREAM_SETPOINTS,0.0,0.0,0.16058358550071716,0.2203972041606903,0.006476412992924452,0.19822575151920319,-0.02117627180503802,0.038075104973064586,-0.06649778646594783,-0.003206192748621106,0.0037754001095890995,-0.002678249962627888,0.8394164144992828,0.29649674550061556,-0.06649778646594783,0.17202806317194153,False,False,0.17202806317194153,-0.33847164241478234,0.0,nan,0.01060831840946097,0.03320847862120079,0.0,nan,0.054153070299826744,-0.042842099610941695,0.0,nan,0.019518300529066224,0.01695061595230036,0.0,nan,0.010351071563811765,0.2872870352880283,0.0,nan,-0.0031613959208875997,0.0009265688627587143,0.0,nan
8.596,0.5022172350000034,PRESTREAM_SETPOINTS,0.0,0.0,0.16107049584388733,0.2199983149766922,0.0071084219962358475,0.1974238157272339,-0.021200041903273934,0.03815730340771102,-0.06673774436538338,-0.0024340744130313396,0.006458016578108072,-0.0034072264097630986,0.8389295041561127,0.2956787974680654,-0.06673774436538338,0.16534328935600762,False,False,0.16534328935600762,-0.3131513605457403,0.0,nan,0.01125224721443896,0.032044064021074826,0.0,nan,0.053302831450051436,-0.0416765463234825,0.0,nan,0.019806904316193474,0.01711157373142143,0.0,nan,0.010238560905110994,0.21543967779262263,0.0,nan,-0.002833443457330276,0.0074032381463534636,0.0,nan
8.608,0.576890461000005,PRESTREAM_SETPOINTS,0.0,0.0,0.16107049584388733,0.2199983149766922,0.0071084219962358475,0.1974238157272339,-0.021200041903273934,0.03815730340771102,-0.06673774436538338,-0.0008684146450832486,0.006458052434027194,-0.004241063259541989,0.8389295041561127,0.2956787974680654,-0.06673774436538338,0.15938637519397147,False,False,0.15938637519397147,-0.2871658531938523,0.0,nan,0.011877861415272584,0.03780799586532165,0.0,nan,0.05247987554095612,-0.035213422999263305,0.0,nan,0.020067358304655336,0.016466709443010666,0.0,nan,0.009864688772353247,-0.6482918634508141,0.0,nan,-0.002552747561849422,0.0006663253486345888,0.0,nan
8.614,0.6518737890000068,PRESTREAM_SETPOINTS,0.0,0.0,0.16107049584388733,0.2199983149766922,0.0071084219962358475,0.1974238157272339,-0.021200041903273934,0.03815730340771102,-0.06673774436538338,-0.0008684146450832486,0.006458052434027194,-0.004241063259541989,0.8389295041561127,0.2956787974680654,-0.06673774436538338,0.15938637519397147,False,False,0.15938637519397147,-0.2871658531938523,0.0,nan,0.011877861415272584,0.03780799586532165,0.0,nan,0.05247987554095612,-0.035213422999263305,0.0,nan,0.020067358304655336,0.016466709443010666,0.0,nan,0.009864688772353247,-0.6482918634508141,0.0,nan,-0.002552747561849422,0.0006663253486345888,0.0,nan
8.617,0.7263166390000038,PRESTREAM_SETPOINTS,0.0,0.0,0.1611822098493576,0.21945862472057343,0.00673622777685523,0.19595967233181,-0.021201298723943395,0.038086173165631176,-0.06687017290199608,-0.0008684146450832486,0.006458052434027194,-0.004241063259541989,0.8388177901506424,0.29429179042116943,-0.06687017290199608,0.15938637519397147,False,False,0.15938637519397147,-0.2871658531938523,0.0,nan,0.011877861415272584,0.03780799586532165,0.0,nan,0.05247987554095612,-0.035213422999263305,0.0,nan,0.020067358304655336,0.016466709443010666,0.0,nan,0.009864688772353247,-0.6482918634508141,0.0,nan,-0.002552747561849422,0.0006663253486345888,0.0,nan
8.63,0.802923100000001,PRESTREAM_SETPOINTS,0.0,0.0,0.1611822098493576,0.21945862472057343,0.00673622777685523,0.19595967233181,-0.021201298723943395,0.038086173165631176,-0.06687017290199608,-0.00047500390792265534,0.004659643862396479,-0.0021452207583934073,0.8388177901506424,0.29429179042116943,-0.06687017290199608,0.15365790489852138,False,False,0.15365790489852138,-0.27690473953276185,0.0,nan,0.012391039234206147,0.02679660132781242,0.0,nan,0.051606326568824024,-0.04072224408997551,0.0,nan,0.02024190709026108,0.013300887965271041,0.0,nan,0.010354828325900733,0.05302269980619093,0.0,nan,-0.0022818715191768035,0.013628365526510144,0.0,nan
