time_s,rotor_0_thrust_N,rotor_1_thrust_N,rotor_2_thrust_N,rotor_3_thrust_N,shoulder_pan_joint_torque_Nm,shoulder_lift_joint_torque_Nm,elbow_joint_torque_Nm,wrist_1_joint_torque_Nm,wrist_roll_joint_torque_Nm,left_knuckle_joint_torque_Nm
0.0,0.26655239272708814,4.236970352116423,1.2556773039834404,3.1977171949877308,-0.014323834040033977,0.16639054240863357,0.10595123560236228,0.05823780222415175,0.0010648253926732177,5.1088680992102786e-05
0.05,2.8179288370661237,3.1945980442369435,2.714820890837536,3.194547902044525,-0.012748301804217795,-0.16794359566691727,-0.10875591345118873,-0.047762457945271106,-0.00043878121827851843,8.871605493963303e-05
0.1,4.52924883248893,3.1388598981906712,4.093831510317498,3.5141233865810246,0.005215620048303162,-0.2342853716222174,-0.1421987474396576,-0.0633042252712738,-0.0011145638520193646,4.407953371357329e-05
0.15000000000000002,5.074942320320435,3.518339519720392,4.700361005268173,3.905741590159322,0.00795565810981746,-0.25259688850566603,-0.15102277163774316,-0.06647210790502955,-0.0012581690732642531,4.087304824485155e-05
0.2,5.126255754897741,3.835800427649126,4.856738428979495,4.171489949360997,0.006922899079134371,-0.24799478290674237,-0.14769562631933003,-0.06348757298022399,-0.0012177409345248318,5.388215052780882e-05
0.25,4.975972628696816,4.0409808789092905,4.801462915863619,4.3102312035663655,0.004860865727925368,-0.23357586807008326,-0.13893523777326788,-0.057739663792718436,-0.0011019972825058748,7.206292897055959e-05
0.30000000000000004,4.770404326440337,4.166602655937423,4.669945882697358,4.369967986589061,0.0027775203685289182,-0.216184306260805,-0.1284171712856587,-0.05110366972410584,-0.0009628374948823788,9.035759619325566e-05
0.35000000000000003,4.578909561937932,4.248232801878674,4.530721303523728,4.393057213577117,0.0010861322092512254,-0.19914596828899808,-0.11800887204063268,-0.044539247573224056,-0.0008268147838661633,0.00010667118822049068
0.4,4.427791344378893,4.309106830014539,4.413191973369825,4.4051725194960705,-0.00011552150708092604,-0.18384335218004974,-0.1085313139803055,-0.038471911504254275,-0.000705302150907626,0.00012043438815211347
0.45,4.320727570131093,4.360794894353356,4.325430251424229,4.418016017722238,-0.000880282343803714,-0.1706329459668064,-0.10022942691427197,-0.03303570576273526,-0.0006011895422239973,0.00013174610705688606
