scenario,case,open_spectral_radius,closed_spectral_radius,controllability_rank,stabilizable,open_recovered,closed_recovered,closed_recovery_time_s,closed_saturation_ratio,closed_max_rotor_occupancy,closed_max_joint_occupancy,open_position_terminal,closed_position_terminal,closed_position_peak,open_rotation_terminal,closed_rotation_terminal,closed_rotation_peak,open_arm_position_terminal,closed_arm_position_terminal,closed_arm_position_peak,open_velocity_terminal,closed_velocity_terminal,closed_velocity_peak
neutral,body_pose,1.0406794982989096,0.9902571141857062,24,True,False,True,2.21,0.0,0.425157939576416,0.238984382972835,5.826462761098988,0.0011792390323232416,0.08660254037844384,0.0818631983229557,6.690398870225866e-05,0.0818631982963504,6.365457951811087e-08,5.9216169537563584e-05,0.02319193040277828,2.904834158568256,0.0005377681987594388,0.3182628438874683
neutral,arm_configuration,1.0406794982989096,0.9902571141857062,24,True,False,True,1.12,0.0,0.41253332394782205,0.20576310695413372,nan,1.765667222727144e-05,0.0015483178572377068,nan,6.156911252526399e-06,0.0020299513479308793,nan,1.7518273362435293e-06,0.21375830502697735,nan,2.4565106692067693e-05,0.6897878583137765
neutral,velocity,1.0406794982989096,0.9902571141857062,24,True,False,True,1.85,0.0,0.41763567822837877,0.20135596717395798,nan,0.00020488620148821824,0.029558558303497583,nan,7.356814445163254e-05,0.018534247138766214,nan,2.2311485266934892e-05,0.0029996384412093696,nan,0.0007898805838561755,0.14936806243263992
neutral,combined,1.0406794982989096,0.9902571141857062,24,True,False,True,1.68,0.0,0.41709229718732144,0.20290720231792367,nan,0.0005026090019318635,0.043301270189221905,nan,6.457518538564853e-05,0.04103952730384494,nan,2.3192860360182563e-05,0.10687915251348867,nan,0.0005979756452881658,0.3542561250186313
fully_extended,body_pose,1.2677371015070216,0.9902551349353982,24,True,False,True,2.18,0.0,0.4343696904378994,0.15085738598618006,nan,0.0011706762213065788,0.08660254037844384,nan,5.447181539493589e-05,0.0818631982963504,nan,1.5219650923545046e-05,0.019488247267035165,nan,0.0005145805630054732,0.3412362578959943
fully_extended,arm_configuration,1.2677371015070216,0.9902551349353982,24,True,False,True,1.1300000000000001,0.0,0.4161379971417107,0.1501862510516811,nan,1.528798982535899e-05,0.0017257018742484636,nan,2.516897038082575e-06,0.0008352804046536437,nan,1.029691287320154e-06,0.2137583050269773,nan,1.0522466418149663e-05,0.7404456853940783
fully_extended,velocity,1.2677371015070216,0.9902551349353982,24,True,False,True,1.86,0.0,0.4205801990464557,0.15292277386897565,nan,0.00020674637118590775,0.028866218127518488,nan,6.638995872251681e-05,0.018550079288019116,nan,1.1084040613637474e-05,0.0055534023250648264,nan,0.0007890274153814956,0.14936806243263992
fully_extended,combined,1.2677371015070216,0.9902551349353982,24,True,False,True,1.6500000000000001,0.0,0.4250695022670256,0.15042617153683147,nan,0.0004966858886765484,0.043301270189221905,nan,5.58508938909627e-05,0.04119772472527701,nan,7.0336554861895005e-06,0.10687915251348865,nan,0.0005934378148170677,0.3479708219116375
p2_terminal,body_pose,1.1006890518372536,0.990257706060025,24,True,False,True,2.2,0.0,0.42317970118677856,0.24243486577571075,5.826382501536544,0.0011803398099031117,0.08660254037844384,0.13103627987996772,6.680191264665351e-05,0.0818631982963504,3.504797067233511,5.4704972764227165e-05,0.01956216787394248,63.79171943996106,0.0005323980005709617,0.32395582701984776
p2_terminal,arm_configuration,1.1006890518372536,0.990257706060025,24,True,False,True,1.1300000000000001,0.0,0.4144871195709919,0.21567277026217072,nan,1.922946055627393e-05,0.0014570461060102635,nan,6.8893998844686714e-06,0.002031274638744,nan,1.6168722873258835e-06,0.21375830502697735,nan,2.6138839615452785e-05,0.6851094525947604
p2_terminal,velocity,1.1006890518372536,0.990257706060025,24,True,False,True,1.85,0.0,0.41981595632787033,0.21312507948519255,nan,0.00020409768887021703,0.029408980148898176,nan,7.425304286035189e-05,0.01851369022584383,nan,2.043507745020823e-05,0.0031371494670277816,nan,0.0007887105477720794,0.14936806243263992
p2_terminal,combined,1.1006890518372536,0.990257706060025,24,True,False,True,1.67,0.0,0.4192599897351135,0.21271974479233532,nan,0.0005044158172781825,0.043301270189221905,nan,6.449923763458027e-05,0.04106208917054022,nan,2.2592585378651324e-05,0.10687915251348867,nan,0.0005962850058086474,0.3442903043561187
left_offset,body_pose,1.1298149130769177,0.9902621586068213,24,True,False,True,2.19,0.0,0.4486343024842186,0.23853334840063484,nan,0.001163949468940988,0.08660254037844384,nan,6.808657133814819e-05,0.0818631982963504,nan,3.8580472354600624e-05,0.017247764750559003,nan,0.0005328733153813137,0.32537501466181035
left_offset,arm_configuration,1.1298149130769177,0.9902621586068213,24,True,False,True,1.1400000000000001,0.0,0.4314010991980853,0.23015545963959178,nan,2.2289736585097505e-05,0.0013424079527255466,nan,9.258523537050597e-06,0.0029369009785832198,nan,8.021026773561044e-07,0.21375830502697735,nan,3.810325464292165e-05,0.614419758340944
left_offset,velocity,1.1298149130769177,0.9902621586068213,24,True,False,True,1.87,0.0,0.43092160198701057,0.23127102850587233,nan,0.0002086016821845637,0.029419876258649752,nan,8.327196743917781e-05,0.018436367096088074,nan,3.625588443947651e-05,0.006704433128430351,nan,0.0008027309879415736,0.14936806243263992
left_offset,combined,1.1298149130769177,0.9902621586068213,24,True,False,True,1.6500000000000001,0.0,0.4397267262255037,0.2344080554083677,nan,0.0004948955219243309,0.043301270189221905,nan,6.988927584782849e-05,0.04100691660655101,nan,2.5306734526744805e-05,0.10687915251348862,nan,0.0006062014040979648,0.37161002636293333
