stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,false_valid
28.584000000,socket,0.150018565,179.999271,0.039961,-1.000000,1,4,0,0
28.584000000,socket,0.150018565,179.999271,0.039961,-1.000000,1,4,0,0
28.716000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
28.782000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
28.950000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
28.950000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.116000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.248000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.349000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.516000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.616000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.749000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.850000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.887000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.887000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
29.982000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.115000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.248000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.384000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.482000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.550000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.550000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.749000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.848000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
30.948000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.083000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.182000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.317000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.382000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.548000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.548000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.649000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.748000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.848000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
31.949000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
32.082000000,socket,0.150018565,179.999271,0.039961,0.014777,1,4,0,0
