stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
1.133333,socket,0.000543917,0.029662,0.025544,0.036860,1,4,0,1,0
1.133333,bulb,0.000200017,0.006081,0.005980,0.056839,4,16,1,0,0
1.166667,socket,0.000055585,0.078150,0.074710,0.003551,1,4,0,1,0
1.166667,bulb,0.000226829,0.030277,0.026815,0.082053,4,16,1,0,0
1.200000,socket,0.000134838,0.057601,0.053100,0.084048,1,4,0,1,0
1.200000,bulb,0.000028951,0.028370,0.028044,0.060117,4,16,1,0,0
1.233333,socket,0.000177726,0.057938,0.034504,0.011587,1,4,0,1,0
1.233333,bulb,0.000039608,0.017950,0.017948,0.065972,4,16,1,0,0
1.266667,socket,0.000446217,0.049282,0.028028,0.050431,1,4,0,1,0
1.266667,bulb,0.000060039,0.054484,0.054382,0.059416,4,16,1,0,0
1.300000,socket,0.000477003,0.051663,0.051662,0.038064,1,4,0,1,0
1.300000,bulb,0.000087061,0.064704,0.064673,0.078680,4,16,1,0,0
1.333333,socket,0.000120704,0.056169,0.054087,0.047094,1,4,0,1,0
1.333333,bulb,0.000081662,0.025600,0.025431,0.071352,4,16,1,0,0
1.366667,socket,0.000211180,0.067206,0.067115,0.034032,1,4,0,1,0
1.366667,bulb,0.000269902,0.058063,0.055774,0.050847,4,16,1,0,0
1.400000,socket,0.000556781,0.040102,0.011822,0.025615,1,4,0,1,0
1.400000,bulb,0.000272962,0.008033,0.004467,0.066900,4,16,1,0,0
1.433333,socket,0.000148426,0.037914,0.018579,0.002701,1,4,0,1,0
1.433333,bulb,0.000083525,0.028924,0.021340,0.058806,4,16,1,0,0
1.466667,socket,0.000438287,0.030051,0.029793,0.026142,1,4,0,1,0
1.466667,bulb,0.000039833,0.030433,0.030223,0.051986,4,16,1,0,0
1.500000,socket,0.000258984,0.048071,0.044485,0.031766,1,4,0,1,0
1.500000,bulb,0.000109912,0.014382,0.014378,0.059191,4,16,1,0,0
1.533333,socket,0.000124428,0.024680,0.024670,0.009180,1,4,0,1,0
1.533333,bulb,0.000071557,0.032567,0.032540,0.087617,4,16,1,0,0
1.566667,socket,0.000224481,0.069994,0.067285,0.015593,1,4,0,1,0
1.566667,bulb,0.000155164,0.037591,0.030723,0.046959,4,16,1,0,0
1.600000,socket,0.000401978,0.073914,0.073563,0.034703,1,4,0,1,0
1.600000,bulb,0.000075338,0.027623,0.026884,0.056009,4,16,1,0,0
1.633333,socket,0.000470950,0.040878,0.036383,0.024685,1,4,0,1,0
1.633333,bulb,0.000023352,0.027007,0.026639,0.072365,4,16,1,0,0
