stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
1.133333,socket,0.000032255,0.055815,0.055264,0.104066,4,16,1,0,0
1.133333,bulb,0.000124453,0.068003,0.047538,0.103387,4,16,1,0,0
1.166667,socket,0.000026900,0.034709,0.034631,0.110156,4,16,1,0,0
1.166667,bulb,0.000189177,0.167972,0.166947,0.106460,4,16,1,0,0
1.200000,socket,0.000018383,0.033067,0.031153,0.102580,4,16,1,0,0
1.200000,bulb,0.000362474,0.118426,0.118118,0.097045,4,16,1,0,0
1.233333,socket,0.000051436,0.027024,0.027009,0.090330,4,16,1,0,0
1.233333,bulb,0.000268849,0.106165,0.105944,0.111293,4,16,1,0,0
1.266667,socket,0.000065663,0.053805,0.049401,0.096746,4,16,1,0,0
1.266667,bulb,0.000245581,0.041201,0.025616,0.105457,4,16,1,0,0
1.300000,socket,0.000132080,0.030773,0.028379,0.089253,4,16,1,0,0
1.300000,bulb,0.000181632,0.114945,0.109556,0.089048,4,16,1,0,0
1.333333,socket,0.000141233,0.027220,0.027048,0.106449,4,16,1,0,0
1.333333,bulb,0.000106358,0.089185,0.087747,0.092326,4,16,1,0,0
1.366667,socket,0.000240547,0.029283,0.027215,0.094398,4,16,1,0,0
1.366667,bulb,0.000172927,0.077481,0.062221,0.107948,4,16,1,0,0
1.400000,socket,0.000031061,0.069726,0.067883,0.119316,4,16,1,0,0
1.400000,bulb,0.000205510,0.094673,0.090280,0.104180,4,16,1,0,0
1.433333,socket,0.000154973,0.041403,0.041358,0.093246,4,16,1,0,0
1.433333,bulb,0.000425374,0.088137,0.087691,0.090007,4,16,1,0,0
1.466667,socket,0.000248212,0.028873,0.028860,0.093828,4,16,1,0,0
1.466667,bulb,0.000226978,0.071936,0.059535,0.084043,4,16,1,0,0
1.500000,socket,0.000112407,0.041714,0.041370,0.110188,4,16,1,0,0
1.500000,bulb,0.000123834,0.063608,0.056716,0.118966,4,16,1,0,0
1.533333,socket,0.000116656,0.051421,0.051382,0.107192,4,16,1,0,0
1.533333,bulb,0.000417499,0.053179,0.052909,0.090531,4,16,1,0,0
1.566667,socket,0.000024975,0.076544,0.076350,0.074509,4,16,1,0,0
1.566667,bulb,0.000174838,0.055425,0.051256,0.098761,4,16,1,0,0
1.600000,socket,0.000036008,0.047175,0.043534,0.080149,4,16,1,0,0
1.600000,bulb,0.000068326,0.018790,0.010859,0.114654,4,16,1,0,0
1.633333,socket,0.000053301,0.047424,0.046863,0.101129,4,16,1,0,0
1.633333,bulb,0.000124048,0.137047,0.136839,0.072221,4,16,1,0,0
1.666667,socket,0.000198406,0.019519,0.019184,0.105449,4,16,1,0,0
1.666667,bulb,0.000270873,0.160408,0.159876,0.092773,4,16,1,0,0
1.700000,socket,0.000286504,0.014043,0.014024,0.095243,4,16,1,0,0
1.700000,bulb,0.000117698,0.069270,0.059603,0.113859,4,16,1,0,0
1.733333,socket,0.000213242,0.025018,0.024959,0.114348,4,16,1,0,0
1.733333,bulb,0.000294068,0.140383,0.139877,0.124775,4,16,1,0,0
1.766667,socket,0.000107539,0.026042,0.026005,0.100252,4,16,1,0,0
1.766667,bulb,0.000597556,0.159066,0.158123,0.107313,4,16,1,0,0
1.800000,socket,0.000051121,0.017048,0.013705,0.082717,4,16,1,0,0
1.800000,bulb,0.000169554,0.132670,0.132495,0.108212,4,16,1,0,0
1.833333,socket,0.000045675,0.030210,0.028061,0.096008,4,16,1,0,0
1.833333,bulb,0.000459256,0.055055,0.047641,0.105117,4,16,1,0,0
1.866667,socket,0.000102396,0.019639,0.012601,0.089772,4,16,1,0,0
1.866667,bulb,0.000072358,0.070132,0.059357,0.100023,4,16,1,0,0
1.900000,socket,0.000040054,0.079669,0.079535,0.118542,4,16,1,0,0
1.900000,bulb,0.000077003,0.050885,0.045591,0.088056,4,16,1,0,0
1.933333,socket,0.000212081,0.038571,0.037087,0.101206,4,16,1,0,0
1.933333,bulb,0.000433413,0.062670,0.050851,0.091335,4,16,1,0,0
1.966667,socket,0.000090773,0.030050,0.029031,0.084527,4,16,1,0,0
1.966667,bulb,0.000307830,0.072761,0.062958,0.095365,4,16,1,0,0
2.000000,socket,0.000066297,0.043171,0.043088,0.104638,4,16,1,0,0
2.000000,bulb,0.000058945,0.043001,0.037162,0.096328,4,16,1,0,0
2.033333,socket,0.000095776,0.045556,0.045438,0.082278,4,16,1,0,0
2.033333,bulb,0.000109571,0.083105,0.082267,0.128978,4,16,1,0,0
2.066667,socket,0.000097550,0.031001,0.026314,0.091847,4,16,1,0,0
2.066667,bulb,0.000627858,0.116300,0.115990,0.095866,4,16,1,0,0
2.100000,socket,0.000049375,0.018462,0.015935,0.096358,4,16,1,0,0
2.100000,bulb,0.000254399,0.093214,0.092974,0.096329,4,16,1,0,0
2.133333,socket,0.000123410,0.061755,0.061755,0.117373,4,16,1,0,0
2.133333,bulb,0.000166919,0.052505,0.051259,0.109419,4,16,1,0,0
2.166667,socket,0.000056542,0.045057,0.045038,0.104012,4,16,1,0,0
2.166667,bulb,0.000477776,0.121444,0.121428,0.102017,4,16,1,0,0
2.200000,socket,0.000093064,0.041649,0.041389,0.085580,4,16,1,0,0
2.200000,bulb,0.000317165,0.205752,0.205716,0.096333,4,16,1,0,0
2.233333,socket,0.000113760,0.032773,0.029586,0.091743,4,16,1,0,0
2.233333,bulb,0.000364976,0.010220,0.008079,0.109537,4,16,1,0,0
