stamp,object,position_error_m,rotation_error_deg,axis_error_deg,reprojection_rmse_px,visible_tag_count,inlier_corner_count,precision_valid,degraded_pose_valid,false_valid
1.266667,bulb,0.000154029,0.056628,0.055865,0.047530,4,16,1,0,0
1.300000,socket,nan,nan,nan,inf,0,0,0,0,0
1.300000,bulb,0.000176954,0.006171,0.005508,0.063884,4,16,1,0,0
1.333333,socket,nan,nan,nan,inf,0,0,0,0,0
1.333333,bulb,0.000046128,0.048223,0.048218,0.071308,4,16,1,0,0
1.366667,socket,nan,nan,nan,inf,0,0,0,0,0
1.366667,bulb,0.000117816,0.046705,0.046645,0.068037,4,16,1,0,0
1.400000,socket,nan,nan,nan,inf,0,0,0,0,0
1.400000,bulb,0.000048111,0.023005,0.022943,0.057237,4,16,1,0,0
1.433333,socket,nan,nan,nan,inf,0,0,0,0,0
1.433333,bulb,0.000094800,0.035326,0.033020,0.068016,4,16,1,0,0
1.466667,socket,nan,nan,nan,inf,0,0,0,0,0
1.466667,bulb,0.000227470,0.030338,0.026915,0.082043,4,16,1,0,0
1.500000,socket,nan,nan,nan,inf,0,0,0,0,0
1.500000,bulb,0.000142892,0.039729,0.039554,0.070392,4,16,1,0,0
1.533333,socket,nan,nan,nan,inf,0,0,0,0,0
1.533333,bulb,0.000114888,0.045776,0.045556,0.059296,4,16,1,0,0
1.566667,socket,nan,nan,nan,inf,0,0,0,0,0
1.566667,bulb,0.000017775,0.024298,0.023886,0.067266,4,16,1,0,0
1.600000,socket,nan,nan,nan,inf,0,0,0,0,0
1.600000,bulb,0.000092462,0.039273,0.039270,0.068710,4,16,1,0,0
1.633333,socket,nan,nan,nan,inf,0,0,0,0,0
1.633333,bulb,0.000088114,0.064823,0.064793,0.078656,4,16,1,0,0
1.666667,socket,nan,nan,nan,inf,0,0,0,0,0
1.666667,bulb,0.000126049,0.028557,0.028409,0.072754,4,16,1,0,0
1.700000,socket,nan,nan,nan,inf,0,0,0,0,0
1.700000,bulb,0.000085636,0.025137,0.024659,0.067915,4,16,1,0,0
1.733333,socket,nan,nan,nan,inf,0,0,0,0,0
1.733333,bulb,0.000032712,0.022833,0.022827,0.056610,4,16,1,0,0
1.766667,socket,nan,nan,nan,inf,0,0,0,0,0
1.766667,bulb,0.000050780,0.027857,0.024100,0.064936,4,16,1,0,0
1.800000,socket,nan,nan,nan,inf,0,0,0,0,0
1.800000,bulb,0.000081955,0.029142,0.021611,0.058785,4,16,1,0,0
1.833333,socket,nan,nan,nan,inf,0,0,0,0,0
1.833333,bulb,0.000134836,0.033952,0.033940,0.051598,4,16,1,0,0
1.866667,socket,nan,nan,nan,inf,0,0,0,0,0
1.866667,bulb,0.000050661,0.029716,0.029675,0.056027,4,16,1,0,0
1.900000,socket,nan,nan,nan,inf,0,0,0,0,0
1.900000,bulb,0.000075717,0.032921,0.029777,0.074137,4,16,1,0,0
1.933333,socket,nan,nan,nan,inf,0,0,0,0,0
1.933333,bulb,0.000068008,0.014255,0.013986,0.080808,4,16,1,0,0
1.966667,socket,nan,nan,nan,inf,0,0,0,0,0
