time_s,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz,position_error,orientation_error
0.0,0.12112216647170818,-0.0038521757723641798,0.8350956448921654,0.6339053888772125,-0.0005047960390691492,0.7734101911767679,0.0006158874120459006,0.0,0.0,0.0,0.0,0.0,0.0,0.8128378848320157,1.768407866163549
0.05,0.11274580194031604,0.0007099895730666127,0.7961303428464586,0.7075601305247414,-0.012664848011072954,0.7064975498668987,-0.007712026240638751,-0.21921743242845262,0.11011394299846095,-0.7734368768431698,0.600096219212274,3.98153939127033,-0.001638098721019124,0.7930228192318303,1.5695136498267954
0.1,0.0999157323566712,0.006006253933927976,0.751877132232854,0.7691905822640075,-0.022625740784187078,0.6383829553184763,-0.017352993089734817,-0.306317832341621,0.12419659271420283,-0.8714624716248005,0.5792154541268216,3.6715387716911625,0.08139444418022876,0.7746184992100071,1.3864455968912055
0.15000000000000002,0.08939606441568515,0.008888117113220444,0.7087220723253309,0.816225629493098,-0.028577398845796114,0.5764889261358275,-0.024891204803397977,-0.24560255102749132,0.06861356361450936,-0.8518680256218734,0.41394875960810634,3.104622208106016,0.11450650697602299,0.7566047927573689,1.2318977094119385
0.2,0.08419691482134367,0.008321326569403674,0.6688275418732128,0.8514658701638154,-0.031422098186916325,0.5226092702987842,-0.02996788763795387,-0.12565883654145144,-0.006613096745148855,-0.7903275231409,0.26061779886536673,2.570027984352109,0.12447355848645517,0.7372861223886306,1.1040441383387851
0.25,0.08534776667377597,0.004028865246715933,0.6326288399262575,0.8779789010957019,-0.032073199690463294,0.47649894292138817,-0.032758456727987786,0.011134101531691365,-0.08548586502960803,-0.7184337630643123,0.13383980509395416,2.123145260704527,0.1228468034741876,0.7152574138247045,0.9983453547844872
0.30000000000000004,0.0928261070407504,-0.0038272667879672845,0.5998676780189196,0.8981907996938597,-0.03126196864875543,0.4372024210860787,-0.033615765021490135,0.144101786924004,-0.1594610075842166,-0.6499363513439893,0.034578377349809994,1.7643850125030132,0.11559442879886941,0.6897465993915671,0.9103195587732472
0.35000000000000003,0.10607666992876436,-0.014846792776513634,0.5700714712397068,0.9138650920245703,-0.0295377016620376,0.4035997159348438,-0.03294521295668894,0.2635239996915333,-0.22421111402792904,-0.589815002176431,-0.03943753339718591,1.4811790767153512,0.10593668602820178,0.660568242179616,0.8361849493521821
0.4,0.1243035014980721,-0.02852722294879812,0.54277148453001,0.9262504024905446,-0.027294438063426036,0.37462741579825054,-0.031136873144724533,0.36539407292234094,-0.27809149517059234,-0.5386952195070176,-0.09190287031756014,1.2594269578129138,0.0956252919785888,0.6279569982156133,0.7729132411302199
0.45,0.14662981277750461,-0.04434377785964367,0.5175897799988531,0.9362258802841283,-0.024804790908157945,0.3493589451728496,-0.028533328966763208,0.4486647941468743,-0.32095493308162565,-0.4952424362898842,-0.12684011407140053,1.0865272202283518,0.08557275268306666,0.5924066178475137,0.718129491528038
0.5,0.17218208193159573,-0.061790822621830006,0.49425858859691046,0.9444125669847339,-0.022251574506589458,0.3270223547317699,-0.025419485812498702,0.5137771282273736,-0.3533890925293084,-0.45750802759012216,-0.14798786306768985,0.9520029347304907,0.07620811876365102,0.5545483155647539,0.6699862677248398
0.55,0.20013298642494365,-0.08040121379948562,0.47260666652010197,0.9512522345415535,-0.019753297269208707,0.3069917886101809,-0.02202351590045813,0.5619008963433128,-0.376300258474497,-0.4236480296379971,-0.15856781360985112,0.8473947498838047,0.06769115424228134,0.5150667050021708,0.6270505785334233
0.6000000000000001,0.2297231742819236,-0.09975445467736976,0.452532559712855,0.9570615816170751,-0.01738318143779836,0.2887695979505337,-0.018522237856437494,0.5945607476910147,-0.3907123969856799,-0.39224674633234524,-0.16126229743297965,0.7659506312878105,0.060038653362614144,0.47464344486912025,0.5882126881360489
0.65,0.2602723291526426,-0.1194795749066495,0.4339761819160271,0.9620692196044115,-0.015182877911445517,0.2719666646703742,-0.015047598351803871,0.6134525885836083,-0.39767710862179634,-0.3623989437913698,-0.1582763343982499,0.7022992339649197,0.053195180927310196,0.4339201421641702,0.5526157906374525
0.7000000000000001,0.2911843141557411,-0.13925541183259338,0.41689463728961756,0.9664410629752759,-0.013172294246623929,0.25628389848493804,-0.01169298237667478,0.6203420196972538,-0.39823094144452453,-0.33365906246588106,-0.1514151099326203,0.6521709943226194,0.04707114073627916,0.3934750393302706,0.5196024286198574
0.75,0.32194827985415425,-0.15880927384842505,0.4012446493755503,0.9702980193733455,-0.011356696799009455,0.24149576437856468,-0.008519085936362214,0.6169925281257598,-0.39336855819990063,-0.30593156943807376,-0.14214853756596849,0.6121804442834116,0.041563488638982515,0.3538101585311449,0.48867323286189523
0.8,0.35213644498366764,-0.177914278006308,0.38697177817905387,0.9737285632358034,-0.009731896089174262,0.22743585443056352,-0.00555944751636001,0.6051040809808208,-0.38401988525468905,-0.27934883727109244,-0.13165696041487338,0.579662861729644,0.03656802569793611,0.31534667179445114,0.4594542929100376
0.8500000000000001,0.38139898217881907,-0.1963854977998588,0.3740054542433344,0.9767978599868749,-0.008288040411357002,0.21398426126647044,-0.002825781563459351,0.5862589683480322,-0.37102916983970036,-0.2541618104528651,-0.1208615027901645,0.55255237829657,0.03198765451927743,0.2784267035423209,0.43167045341015775
0.9,0.40945652092995105,-0.21407511130576987,0.3622584126783105,0.979554499657968,-0.007012357608958654,0.20105648696402612,-0.0003131936723708249,0.5618775148362761,-0.35513745308695177,-0.2306541693130189,-0.1104447882976614,0.5292892988679597,0.02773830892778112,0.2433199458975617,0.40512272168052293
