sim_time_s,wall_time_s,state,active_position_reference_kind,active_joint_reference_kind,px,py,pz,ref_px,ref_py,ref_pz,hold_ref_px,hold_ref_py,hold_ref_pz,position_error_m,position_error_to_active_reference_m,position_error_to_final_hold_m,position_error_to_initial_m,takeoff_transition_error_m,vx,vy,vz,speed_mps,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,yaw_error_rad,max_joint_error_rad,max_joint_error_to_active_reference_deg,max_joint_error_to_neutral_deg,offboard,armed,mavros_state_age_sim_s,mavros_state_age_wall_s,mavros_state_receive_count,q_shoulder_pan_joint,qd_shoulder_pan_joint,qref_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qref_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qref_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qref_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qref_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qref_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint
7.391,0.14218927599904418,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.0,0.0,0.9637997423800428,0.0,nan,0.08108405768871307,0.009272131137549877,0.06591491401195526,0.1049064951101786,-0.021234847302612887,0.031031771918350704,-0.0717742453660859,-0.0007441321504302323,-0.003120439592748881,-0.0035576722584664817,-0.0717742453660859,0.0,0.0,12.11121154343857,False,False,0.0,0.0,1,0.21138051783854728,0.040703372870633386,0.21138051783854728,0.21138051783854728,nan,-0.10955737976024604,-0.0077683257438136265,-0.10955737976024604,-0.10955737976024604,nan,0.16832354284110718,-0.0005968612328227773,0.16832354284110718,0.16832354284110718,nan,0.13221533483296533,-0.00285549659289166,0.13221533483296533,0.13221533483296533,nan,-0.02616994684252294,-0.05365137310091764,-0.02616994684252294,-0.02616994684252294,nan,-0.0006881665464311126,-0.04760375804638111,-0.0006881665464311126,-0.0006881665464311126,nan
7.426,0.21473951499865507,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03198973834514618,0.010491898283362389,0.03814255818724632,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.0018007933166115802,0.0018007933166115802,0.9624464461254736,0.0018007933166115802,nan,0.07920514792203903,0.0090830959379673,0.06760265678167343,0.1045278780666246,-0.02124754451841467,0.030782170083540866,-0.07170239406481005,-0.0009128398960456252,-0.0024805958382785325,-0.00405791075900197,-0.07170239406481005,0.0,0.0,12.199394833864087,False,False,0.03500000000000014,0.07969341399984842,1,0.21291960660171494,0.03999455718153551,0.21291960660171494,0.21291960660171494,nan,-0.10971470664675476,-0.0027034055919518112,-0.10971470664675476,-0.10971470664675476,nan,0.16850215298427162,0.006358784216604566,0.16850215298427162,0.16850215298427162,nan,0.1323581878062905,0.006214472410930984,0.1323581878062905,0.1323581878062905,nan,-0.0254749723961174,0.7025290625272923,-0.0254749723961174,-0.0254749723961174,nan,-0.0007015199195707922,-0.05670315446522173,-0.0007015199195707922,-0.0007015199195707922,nan
7.445,0.2902114589996927,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.031438615173101425,0.010431788861751556,0.038903698325157166,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.0027375435394784925,0.0027375435394784925,0.9616669432999758,0.0027375435394784925,nan,0.07747947424650192,0.0094698965549469,0.06854183971881866,0.10387844657250116,-0.021263868147586757,0.030631397002337243,-0.07165068364256122,-4.675625677919015e-05,-0.002575634047389031,-0.004042881540954113,-0.07165068364256122,0.0,0.0,12.2430994528593,False,False,0.05400000000000027,0.15275380300045072,1,0.21368239610151107,0.041649994463429506,0.21368239610151107,0.21368239610151107,nan,-0.10979919371805025,-0.021783835041475994,-0.10979919371805025,-0.10979919371805025,nan,0.16858362049313413,-0.016156576338150798,0.16858362049313413,0.16858362049313413,nan,0.13241597238339775,-0.020013688349793977,0.13241597238339775,0.13241597238339775,nan,-0.026088848759708405,-0.03873737746299595,-0.026088848759708405,-0.026088848759708405,nan,-0.0006618033779446364,-0.052025648998342534,-0.0006618033779446364,-0.0006618033779446364,nan
7.449,0.3655421169987676,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.031438615173101425,0.010431788861751556,0.038903698325157166,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.0027375435394784925,0.0027375435394784925,0.9616669432999758,0.0027375435394784925,nan,0.07747947424650192,0.0094698965549469,0.06854183971881866,0.10387844657250116,-0.021263868147586757,0.030631397002337243,-0.07165068364256122,-0.0014671743847429752,-0.0030407537706196312,-0.0042409044690430164,-0.07165068364256122,0.0,0.0,12.2430994528593,False,False,0.05799999999999983,0.22912435500074935,1,0.21368239610151107,0.041649994463429506,0.21368239610151107,0.21368239610151107,nan,-0.10979919371805025,-0.021783835041475994,-0.10979919371805025,-0.10979919371805025,nan,0.16858362049313413,-0.016156576338150798,0.16858362049313413,0.16858362049313413,nan,0.13241597238339775,-0.020013688349793977,0.13241597238339775,0.13241597238339775,nan,-0.026088848759708405,-0.03873737746299595,-0.026088848759708405,-0.026088848759708405,nan,-0.0006618033779446364,-0.052025648998342534,-0.0006618033779446364,-0.0006618033779446364,nan
7.475,0.4415870029988582,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.031135573983192444,0.010414397343993187,0.03941788896918297,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.003326594374993351,0.003326594374993351,0.9611430047977888,0.003326594374993351,nan,0.0760103240609169,0.010220713913440704,0.06854178011417389,0.10285916574601296,-0.021311008211160092,0.030519933637879193,-0.07158639954009777,-0.0011303029023110867,-0.004407130181789398,-0.0024755550548434253,-0.07158639954009777,0.0,0.0,12.287005000220795,False,False,0.08399999999999963,0.3051550420004787,1,0.21444869246285947,0.039216645512270346,0.21444869246285947,0.21444869246285947,nan,-0.10986998010802207,0.0013365242899762864,-0.10986998010802207,-0.10986998010802207,nan,0.16868046689681204,0.010111421647481323,0.16868046689681204,0.16868046689681204,nan,0.13249132653369067,0.009951424646413338,0.13249132653369067,0.13249132653369067,nan,-0.026165387451436928,-0.06986897471038465,-0.026165387451436928,-0.026165387451436928,nan,-0.000699363857202151,-0.04500009408110801,-0.000699363857202151,-0.000699363857202151,nan
7.475,0.5130408889999671,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.031135573983192444,0.010414397343993187,0.03941788896918297,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.003326594374993351,0.003326594374993351,0.9611430047977888,0.003326594374993351,nan,0.0760103240609169,0.010220713913440704,0.06854178011417389,0.10285916574601296,-0.021311008211160092,0.030519933637879193,-0.07158639954009777,-0.0011303029023110867,-0.004407130181789398,-0.0024755550548434253,-0.07158639954009777,0.0,0.0,12.287005000220795,False,False,0.08399999999999963,0.37851353299993207,1,0.21444869246285947,0.039216645512270346,0.21444869246285947,0.21444869246285947,nan,-0.10986998010802207,0.0013365242899762864,-0.10986998010802207,-0.10986998010802207,nan,0.16868046689681204,0.010111421647481323,0.16868046689681204,0.16868046689681204,nan,0.13249132653369067,0.009951424646413338,0.13249132653369067,0.13249132653369067,nan,-0.026165387451436928,-0.06986897471038465,-0.026165387451436928,-0.026165387451436928,nan,-0.000699363857202151,-0.04500009408110801,-0.000699363857202151,-0.000699363857202151,nan
7.499,0.5845289959997899,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.030784735456109047,0.010409447364509106,0.04021962359547615,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.0041763410281405195,0.0041763410281405195,0.9603303741227529,0.0041763410281405195,nan,0.07554829865694046,0.010675111785531044,0.06826639175415039,0.10238068023178488,-0.021312358751784083,0.030342042756157907,-0.07146049702646598,-0.0019476136658340693,-0.005307748448103666,-0.0009904542239382857,-0.07146049702646598,0.0,0.0,12.373726240237797,False,False,0.0,0.0,2,0.21596226363256843,0.035248053288191014,0.21596226363256843,0.21596226363256843,nan,-0.11000950353636263,-0.008800291993104054,-0.11000950353636263,-0.11000950353636263,nan,0.16887048916928116,-0.0016724147837241608,0.16887048916928116,0.16887048916928116,nan,0.13262258057640786,-0.0041302242773597515,0.13262258057640786,0.13262258057640786,nan,-0.025527746708753796,-0.03478265917472169,-0.025527746708753796,-0.025527746708753796,nan,-0.0006423420793835177,-0.040499948890961465,-0.0006423420793835177,-0.0006423420793835177,nan
7.532,0.661540047998642,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.028424590826034546,0.010188457556068897,0.04091520607471466,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.006311444354656702,0.006311444354656702,0.9595600054033653,0.006311444354656702,nan,0.07131321728229523,0.009671692736446857,0.06789457052946091,0.09893831061282596,-0.021363488126665418,0.030102568995954794,-0.07133442848691175,-0.000175724970176816,-0.003953953273594379,-0.002267406322062015,-0.07133442848691175,0.0,0.0,12.417615504192113,False,False,0.03300000000000036,0.07148480800060497,2,0.2167282757948481,0.03925408222779755,0.2167282757948481,0.2167282757948481,nan,-0.11007517514722398,0.0005791732492036214,-0.11007517514722398,-0.11007517514722398,nan,0.16896663080582464,0.009231072048684986,0.16896663080582464,0.16896663080582464,nan,0.13269657584923777,0.00903682368006623,0.13269657584923777,0.13269657584923777,nan,-0.025587034506407313,-0.05202154818850195,-0.025587034506407313,-0.025587034506407313,nan,-0.0006884236491826456,-0.04259334246796692,-0.0006884236491826456,-0.0006884236491826456,nan
7.571,0.7403916139992361,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.026471618562936783,0.010010432451963425,0.04177442938089371,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.008385118930928083,0.008385118930928083,0.9586434162583753,0.008385118930928083,nan,0.06755062192678452,0.009660094976425171,0.068381167948246,0.09660428607269536,-0.02121226913131148,0.029943649680231697,-0.0712949789701393,0.0014270363608375192,-0.0005455135833472018,-0.003666934557259083,-0.0712949789701393,0.0,0.0,12.505751629983054,False,False,0.07200000000000006,0.15144156300084433,2,0.2182665413798519,0.03584591032853154,0.2182665413798519,0.2182665413798519,nan,-0.11025060397433872,-0.009205200008376858,-0.11025060397433872,-0.11025060397433872,nan,0.16912031354518753,-0.0017383141397967102,0.16912031354518753,0.16912031354518753,nan,0.13280807340502676,-0.0032113173354674784,0.13280807340502676,0.13280807340502676,nan,-0.02563551779088513,-0.0780385273945886,-0.02563551779088513,-0.02563551779088513,nan,-0.0007399262532121753,-0.04777452237465468,-0.0007399262532121753,-0.0007399262532121753,nan
7.605,0.8133853700001055,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.024903610348701477,0.009893235750496387,0.042727578431367874,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.0,0.0,1.0,0.010218184846080421,0.010218184846080421,0.9576474064173556,0.010218184846080421,nan,0.06404439359903336,0.009433713741600513,0.06756768375635147,0.09357388094241197,-0.02111978909543679,0.029723982155258236,-0.07122624699007056,0.001677235821262002,-0.0015889964997768406,-0.0038097426295280457,-0.07122624699007056,0.0,0.0,12.592802849729473,False,False,0.10600000000000076,0.22834042500107898,2,0.21978587178230402,0.03918381869155195,0.21978587178230402,0.21978587178230402,nan,-0.11037992027332422,0.0009592251354342738,-0.11037992027332422,-0.11037992027332422,nan,0.169309828783601,0.00949259316274011,0.169309828783601,0.169309828783601,nan,0.13293687390789444,0.009172334659328239,0.13293687390789444,0.13293687390789444,nan,-0.02561507236028504,-0.0516340034453043,-0.02561507236028504,-0.02561507236028504,nan,-0.0007329067790804444,-0.043597838126442544,-0.0007329067790804444,-0.0007329067790804444,nan
