sim_time_s,state,active_position_reference_kind,active_joint_reference_kind,ref_px,ref_py,ref_pz,qcmd_shoulder_pan_joint,qdcmd_shoulder_pan_joint,qcmd_shoulder_lift_joint,qdcmd_shoulder_lift_joint,qcmd_elbow_joint,qdcmd_elbow_joint,qcmd_wrist_1_joint,qdcmd_wrist_1_joint,qcmd_wrist_roll_joint,qdcmd_wrist_roll_joint,qcmd_left_knuckle_joint,qdcmd_left_knuckle_joint
7.391,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21138051783854728,0.0,-0.10955737976024604,0.0,0.16832354284110718,0.0,0.13221533483296533,0.0,-0.02616994684252294,0.0,-0.0006881665464311126,0.0
7.426,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21291960660171494,0.0,-0.10971470664675476,0.0,0.16850215298427162,0.0,0.1323581878062905,0.0,-0.0254749723961174,0.0,-0.0007015199195707922,0.0
7.445,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21368239610151107,0.0,-0.10979919371805025,0.0,0.16858362049313413,0.0,0.13241597238339775,0.0,-0.026088848759708405,0.0,-0.0006618033779446364,0.0
7.449,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21368239610151107,0.0,-0.10979919371805025,0.0,0.16858362049313413,0.0,0.13241597238339775,0.0,-0.026088848759708405,0.0,-0.0006618033779446364,0.0
7.475,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21444869246285947,0.0,-0.10986998010802207,0.0,0.16868046689681204,0.0,0.13249132653369067,0.0,-0.026165387451436928,0.0,-0.000699363857202151,0.0
7.475,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21444869246285947,0.0,-0.10986998010802207,0.0,0.16868046689681204,0.0,0.13249132653369067,0.0,-0.026165387451436928,0.0,-0.000699363857202151,0.0
7.499,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21596226363256843,0.0,-0.11000950353636263,0.0,0.16887048916928116,0.0,0.13262258057640786,0.0,-0.025527746708753796,0.0,-0.0006423420793835177,0.0
7.532,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.2167282757948481,0.0,-0.11007517514722398,0.0,0.16896663080582464,0.0,0.13269657584923777,0.0,-0.025587034506407313,0.0,-0.0006884236491826456,0.0
7.571,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.2182665413798519,0.0,-0.11025060397433872,0.0,0.16912031354518753,0.0,0.13280807340502676,0.0,-0.02563551779088513,0.0,-0.0007399262532121753,0.0
7.605,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.21978587178230402,0.0,-0.11037992027332422,0.0,0.169309828783601,0.0,0.13293687390789444,0.0,-0.02561507236028504,0.0,-0.0007329067790804444,0.0
7.639,PRESTREAM_SETPOINTS,INITIAL_HOLD,MEASURED_JOINT_HOLD,0.03321676328778267,0.010627031326293945,0.03683144971728325,0.22132333422799544,0.0,-0.11054850097051183,0.0,0.16947278736285387,0.0,0.13306070000452053,0.0,-0.024909545478020156,0.0,-0.0006902828471471167,0.0
