sim_time_s,wall_time_s,state,px,py,pz,vx,vy,vz,roll_rad,pitch_rad,yaw_rad,wx,wy,wz,position_error_m,speed_mps,yaw_error_rad,max_joint_error_rad,offboard,armed,q_shoulder_pan_joint,qd_shoulder_pan_joint,qcmd_shoulder_pan_joint,effort_shoulder_pan_joint,q_shoulder_lift_joint,qd_shoulder_lift_joint,qcmd_shoulder_lift_joint,effort_shoulder_lift_joint,q_elbow_joint,qd_elbow_joint,qcmd_elbow_joint,effort_elbow_joint,q_wrist_1_joint,qd_wrist_1_joint,qcmd_wrist_1_joint,effort_wrist_1_joint,q_wrist_roll_joint,qd_wrist_roll_joint,qcmd_wrist_roll_joint,effort_wrist_roll_joint,q_left_knuckle_joint,qd_left_knuckle_joint,qcmd_left_knuckle_joint,effort_left_knuckle_joint
51.526,0.14995718002319336,PRESTREAM_SETPOINTS,-0.007945865392684937,-0.18210464715957642,-0.7402666807174683,0.17407941818237305,-0.122443288564682,-0.5548046827316284,-0.024284270606324654,0.04188760712873946,-0.018900999020392776,-0.0032852801959961653,-0.00232042046263814,-0.0018091541714966295,1.7497866610845298,0.594225747279761,-0.018900999020392776,1.567332074134506,False,False,1.567332074134506,0.043065507791791274,0.0,nan,-0.30869391733432305,-0.0016440784422399714,0.0,nan,0.33302471491594243,0.00610626314411325,0.0,nan,0.43491807042097363,0.010118947952469311,0.0,nan,-0.012640956988655638,0.5954587367442573,0.0,nan,-0.00040853388960382375,-0.017154599512618246,0.0,nan
51.555,0.20522809028625488,PRESTREAM_SETPOINTS,-0.004719424061477184,-0.1787234991788864,-0.743061900138855,0.17823678255081177,-0.11820480972528458,-0.5522584319114685,-0.024368959419516983,0.04192608254727866,-0.018988256583464813,-0.00010528744314797223,-0.007561973296105862,-0.003488356713205575,1.7522069369335043,0.5922247067740168,-0.018988256583464817,1.5680618405186326,False,False,1.5680618405186326,0.04366893647771107,0.0,nan,-0.308776540929939,-0.0017244844201964884,0.0,nan,0.3330851330688196,0.006044271652634174,0.0,nan,0.4350713183824215,0.010110008469786831,0.0,nan,-0.01263556119301068,0.6023984856470965,0.0,nan,-0.0004073737596224092,-0.01708393837611552,0.0,nan
51.591,0.28166770935058594,PRESTREAM_SETPOINTS,0.0007446248782798648,-0.17399874329566956,-0.7481961846351624,0.18423853814601898,-0.11100496351718903,-0.5492756366729736,-0.02438802596545221,0.04181098208883947,-0.019063205827378298,-0.00327151152305305,-0.006798571906983853,-0.005805967841297387,1.756834089237689,0.5898895370373466,-0.019063205827378298,1.5695156049575845,False,False,1.5695156049575845,0.028462237773483248,0.0,nan,-0.3089393465779402,-0.009999353169941105,0.0,nan,0.3332075538377408,-0.0029425092241335098,0.0,nan,0.43538171411277915,0.0035329662652662137,0.0,nan,-0.013202811396362257,-0.045126955040393046,0.0,nan,-0.0004162671982843591,-0.0048046946259025225,0.0,nan
51.623,0.3335273265838623,PRESTREAM_SETPOINTS,0.012916957959532738,-0.1744004637002945,-0.7510281205177307,0.4828183054924011,-0.3070337772369385,-0.4317951202392578,-0.027267596894307973,0.03814624764795841,-0.021470093930770165,-0.18477283418178558,-0.2061509341001511,-0.14056038856506345,1.759739142141716,0.7168195605208961,-0.021470093930770165,1.4429556506364376,False,False,1.4429556506364376,-2.5319997948847583,0.0,nan,-0.32432172019677985,0.5207050032544547,0.0,nan,0.30503920074936186,-0.8699813998235605,0.0,nan,0.42533084571323254,-1.07667110567351,0.0,nan,0.1905611529600586,-6.5944570274731475,0.0,nan,-0.0006724293596302999,-0.12933443455125904,0.0,nan
51.655,0.48564863204956055,PRESTREAM_SETPOINTS,0.020040474832057953,-0.17656263709068298,-0.7519835233688354,0.5111606121063232,-0.3387787640094757,-0.5065913796424866,-0.027657323342243783,0.025810627010834402,-0.01920734243912528,0.2638542652130127,-0.1952733993530273,0.5528151988983154,1.7609719621855964,0.7954187879606421,-0.01920734243912528,1.424149466417572,False,False,1.424149466417572,-0.5984983318055801,0.0,nan,-0.3114841179648913,0.8504431533825397,0.0,nan,0.29209484563195165,-0.37122969089380176,0.0,nan,0.40859286325517363,-0.6309609919182518,0.0,nan,0.060615535731921355,1.7321861242845307,0.0,nan,-0.00025658945482742723,0.14873896939662667,0.0,nan
51.689,0.540722131729126,PRESTREAM_SETPOINTS,0.03954046964645386,-0.1804468184709549,-0.7577853798866272,0.6190806031227112,-0.3370837867259979,-0.6441293358802795,-0.022968714058128763,0.030872521074770957,-0.002973832685561199,-0.004318291321396828,0.494088351726532,-0.005736711435020031,1.7674654012962534,0.9548763657028526,-0.002973832685561199,1.3871350157279432,False,False,1.3871350157279432,-1.1708550328835916,0.0,nan,-0.28127359310143163,0.7012429105484785,0.0,nan,0.27445742353163904,-0.4896158066531204,0.0,nan,0.3809054384817516,-0.7702983102380982,0.0,nan,0.009524797565249266,-0.5187576206824391,0.0,nan,-0.00026626691508191414,-0.0022222704748821043,0.0,nan
51.722,0.6179032325744629,PRESTREAM_SETPOINTS,0.05593562871217728,-0.18642102181911469,-0.7586711049079895,0.4203668236732483,-0.3984752893447876,-0.47589075565338135,-0.02325879341192064,0.045585759869701994,-0.0029628362972094523,0.0007614652859047055,0.20938384532928467,-0.0017551240744069475,1.7694082759990126,0.7496418037835766,-0.0029628362972094523,1.345586540096547,False,False,1.345586540096547,-0.9896300920726492,0.0,nan,-0.2557946350846496,0.6094710978614006,0.0,nan,0.2546515044875184,-0.4914195138263466,0.0,nan,0.35196493979261323,-0.7129562344801742,0.0,nan,0.007829945848514264,-0.41021143357745815,0.0,nan,-0.00021238716950033876,0.0003875479883039823,0.0,nan
51.755,0.7683696746826172,PRESTREAM_SETPOINTS,0.06300506740808487,-0.19071727991104126,-0.7600209712982178,0.3382510840892792,-0.394381046295166,-0.5073381066322327,-0.023418199541476135,0.04552538463587991,-0.003173194661089372,0.0037047674413770437,-0.3033500015735626,3.9018603274635865e-05,1.7714447602974488,0.7261832826536433,-0.003173194661089372,1.3252441228926797,False,False,1.3252441228926797,-1.0076704938518963,0.0,nan,-0.2441717211225729,0.5648051418870481,0.0,nan,0.24523161759522605,-0.4435689949247268,0.0,nan,0.33833441917626406,-0.647143538229795,0.0,nan,0.00866096441084796,-0.39527056558412976,0.0,nan,-0.00019289717379145088,-0.001989170415443331,0.0,nan
51.79,0.8274157047271729,PRESTREAM_SETPOINTS,0.07694069296121597,-0.2022780179977417,-0.7563522458076477,0.5152938365936279,-0.502679169178009,-0.3349747955799103,-0.022756561020575022,0.03594211780330637,-0.0030632721465965033,0.0012827891623601317,0.13937172293663025,-0.003989956341683882,1.7696354082556143,0.7939913090397631,-0.0030632721465965033,1.285584201895504,False,False,1.285584201895504,-0.9532581708043436,0.0,nan,-0.2211045655575541,0.5476511225288911,0.0,nan,0.22911793584470797,-0.41805978245243736,0.0,nan,0.31404191691853445,-0.6189929216843726,0.0,nan,0.011551609908138971,-0.5643911275382234,0.0,nan,-0.00015224252501422342,-0.0008640212075153864,0.0,nan
51.822,0.8959579467773438,PRESTREAM_SETPOINTS,0.093777596950531,-0.21583737432956696,-0.7534927725791931,0.45604121685028076,-0.49996381998062134,-0.38998693227767944,-0.02277825687487812,0.039433762080463314,-0.0032865817592999573,0.0015109707601368427,0.09995126724243164,0.0015195354353636382,1.769213642648836,0.7810423932817318,-0.0032865817592999573,1.245318682356797,False,False,1.245318682356797,-1.0281222743417064,0.0,nan,-0.20027454656241428,0.5015684277880034,0.0,nan,0.21323518839223876,-0.37551916832713816,0.0,nan,0.2906652202882709,-0.5603788169527972,0.0,nan,0.010761155870125272,0.786363852820759,0.0,nan,-0.00011493248630944919,0.002995647981551608,0.0,nan
